X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;Y
1;0;38.5;66;28;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;4.962319;0;0;1;0;0;0;0;0;1;45;8.4;0;1;0;2.94812;0;1;0;0
0;0;39.2;88;20;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;4.962319;0;0;0;1;0;1;0;0;0;50;85;0;1;0;2;0;0;1;0
1;0;38.3;40;24;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4.962319;1;0;0;0;1;0;0;0;0;33;6.7;0;1;0;2.94812;1;0;0;0
0;1;39.1;164;84;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;5;0;0;1;0;0;0;0;0;1;48;7.2;0;0;1;5.3;0;1;0;1
1;0;37.3;104;35;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4.962319;0;0;0;1;0;0;0;0;1;74;7.4;0;1;0;2.94812;0;1;0;0
1;0;38.13445;70.75731;30.52189;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;4.962319;0;0;1;0;0;0;1;0;0;45.6568;24.77108;0;1;0;2.94812;1;0;0;0
0;0;37.9;48;16;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;4.962319;0;0;1;0;0;0;0;0;1;37;7;0;1;0;2.94812;1;0;0;1
0;0;38.13445;60;30.52189;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;4.962319;0;0;1;0;0;0;0;1;0;44;8.3;0;1;0;2.94812;0;1;0;1
1;0;38.13445;80;36;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;4.962319;0;0;1;0;0;0;0;0;1;38;6.2;0;1;0;2.94812;0;0;1;1
1;1;38.3;90;30.52189;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4.962319;0;0;1;0;0;0;0;0;1;40;6.2;1;0;0;2.2;1;0;0;0
0;0;38.1;66;12;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;3;0;1;0;0;0;0;0;0;1;44;6;0;1;0;3.6;1;0;0;1
1;0;39.1;72;52;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;4.962319;0;0;0;1;0;0;0;1;0;50;7.8;0;1;0;2.94812;1;0;0;1
0;0;37.2;42;12;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;4.962319;0;0;0;1;0;0;0;0;1;45.6568;7;0;1;0;2.94812;1;0;0;0
1;1;38;92;28;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;7.2;1;0;0;0;1;0;0;0;0;37;6.1;1;0;0;2.94812;0;1;0;0
0;0;38.2;76;28;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;4.962319;0;0;0;1;0;0;0;1;0;46;81;1;0;0;2;1;0;0;1
0;0;37.6;96;48;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;4.5;0;0;0;1;0;0;0;0;1;45;6.8;0;1;0;2.94812;0;1;0;1
0;1;38.13445;128;36;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;4.962319;0;0;0;1;0;0;0;0;1;53;7.8;0;0;1;4.7;0;1;0;0
1;0;37.5;48;24;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4.962319;0;0;0;1;0;0;0;0;1;45.6568;24.77108;0;1;0;2.94812;1;0;0;0
0;0;37.6;64;21;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4.962319;0;1;0;0;0;0;0;0;1;40;7;1;0;0;2.94812;1;0;0;1
1;0;39.4;110;35;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;4.962319;0;0;0;1;0;0;0;0;1;55;8.7;0;1;0;2.94812;1;0;0;0
0;0;39.9;72;60;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;4.962319;0;0;0;1;0;0;0;1;0;46;6.1;0;1;0;2.94812;1;0;0;1
1;0;38.4;48;16;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;5.5;0;0;0;1;0;0;1;0;0;49;6.8;0;1;0;2.94812;1;0;0;0
0;0;38.6;42;34;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4.962319;1;0;0;0;0;0;0;0;1;48;7.2;0;1;0;2.94812;1;0;0;1
0;1;38.3;130;60;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;4.962319;0;0;0;1;0;0;0;0;1;50;70;0;1;0;2.94812;1;0;0;1
0;0;38.1;60;12;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;1;51;65;0;1;0;2.94812;1;0;0;1
