X1;X2;X3;X4;X5;X6;X7;X8;Y
4;0;2;1;4;0;4;7;0
5;1;4;9;17;80;5;133;1
3;6;0;26;630;46;1;465;1
2;1;0;14;14;50;1;82;1
4;1;0;15;16;25;4;61;1
4;1;0;3;16;0;4;17;0
5;2;0;17;75;51;3;92;1
1;1;0;8;13;0;1;30;1
4;2;0;4;24;33;0;25;0
3;0;6;0;3;100;0;6;0
6;1;0;5;18;62;5;45;0
3;2;0;5;23;33;0;28;0
5;2;0;5;25;72;0;91;0
5;3;0;5;36;70;5;54;0
4;1;0;1;16;0;3;18;0
4;3;0;5;41;91;3;37;0
5;1;0;5;17;60;3;91;0
3;2;0;5;23;16;0;43;0
8;1;0;5;20;96;8;177;0
4;1;0;0;16;0;3;18;0
3;3;0;3;69;0;3;15;0
5;3;0;5;38;70;5;54;0
3;2;0;4;23;0;0;37;0
3;2;0;5;23;33;0;38;0
5;2;0;7;25;9;0;72;0
3;2;0;3;23;0;0;11;0
5;2;0;5;25;30;0;38;0
5;1;0;5;17;62;3;83;0
4;1;0;1;16;16;3;20;0
3;2;0;3;23;33;0;25;0
4;2;0;3;24;50;0;25;0
14;1;0;6;26;65;10;104;0
7;2;0;5;27;46;0;123;0
8;1;13;3;20;75;0;35;0
46;2;1;34;66;95;26;666;0
2;2;0;12;33;0;1;75;0
6;0;1;3;6;0;6;8;0
2;2;0;13;33;0;1;32;0
12;1;0;4;24;48;0;80;0
2;2;0;7;33;100;1;24;0
3;2;0;9;34;58;2;49;0
2;2;0;6;33;66;1;16;0
4;2;0;10;35;0;2;67;0
4;2;0;9;26;75;2;70;0
2;2;0;5;33;0;1;12;0
4;3;0;6;37;75;4;41;0
7;1;1;0;7;0;7;10;0
6;2;0;8;37;55;5;46;0
0;0;1;1;0;0;0;77;0
4;1;0;5;16;0;4;57;0
2;2;0;6;33;0;2;53;0
2;2;0;4;33;0;1;15;0
2;2;0;6;33;50;1;47;0
43;1;0;16;55;87;28;536;1
2;2;0;3;33;0;1;12;0
10;1;2;11;22;66;7;73;0
86;2;0;37;108;0;84;146;0
8;2;0;20;39;0;1;113;0
49;1;0;6;61;89;6;2001;0
10;1;0;5;22;19;10;50;0
2;2;0;5;33;50;1;15;0
4;2;0;9;35;58;3;63;0
3;2;0;6;34;0;2;35;0
0;0;12;1;0;0;0;246;0
2;2;0;6;33;50;1;22;0
407;1;0;63;419;87;83;6191;0
4;1;0;14;16;41;3;100;0
18;1;0;23;30;77;9;423;0
7;2;0;4;71;0;5;29;0
2;2;0;1;33;50;1;6;0
7;2;0;9;38;71;6;33;0
2;2;0;5;33;0;1;19;0
52;1;1;32;64;93;38;617;1
53;1;0;39;65;93;45;536;1
36;1;0;46;48;0;14;602;1
19;1;35;11;31;87;19;97;0
3;2;0;13;34;66;1;46;0
11;4;0;8;63;68;11;73;0
1;2;0;1;16;0;1;11;0
2;1;0;1;14;93;2;18;0
8;1;0;17;20;52;3;129;0
6;3;0;3;43;96;4;71;0
5;1;0;4;17;70;5;35;0
5;2;0;9;36;40;2;80;0
1;1;0;0;13;0;1;8;0
4;2;0;13;35;75;1;84;0
11;4;0;5;63;72;10;146;0
4;1;0;10;16;75;4;86;0
2;2;0;3;33;50;2;12;0
2;2;0;4;33;50;1;12;0
1;4;0;1;42;0;1;7;0
1;4;0;1;53;0;1;3;0
3;1;1;4;15;66;3;25;0
6;2;0;20;37;85;1;130;0
15;3;3;2;52;63;11;73;1
2;0;1;2;2;0;2;8;0
2;2;0;8;33;56;1;67;0
2;2;0;8;33;50;1;22;0
3;2;0;7;34;0;2;35;0
24;1;0;16;36;92;22;109;1
2;3;0;1;39;0;2;5;0
3;2;0;11;34;66;1;84;0
5;2;0;17;36;70;1;70;0
6;2;0;25;37;0;6;98;0
9;1;0;6;21;44;9;66;1
13;1;0;11;25;75;13;128;1
5;2;0;8;30;53;4;78;0
12;2;0;27;88;71;8;364;1
11;1;0;9;23;87;11;461;1
20;1;0;9;32;88;20;123;1
10;1;0;8;22;62;8;109;1
17;2;0;19;42;85;8;504;1
2;1;0;2;14;88;2;34;0
4;1;0;2;16;50;4;24;1
1;1;0;0;13;19;0;15;1
9;1;0;16;21;80;7;642;1
7;1;0;2;19;53;2;41;0
39;1;0;60;51;97;35;624;1
16;1;0;28;28;72;9;377;1
2;2;0;2;21;0;2;50;1
2;2;0;2;21;0;2;39;0
11;1;0;5;23;54;11;48;0
12;1;0;11;24;69;11;276;1
11;1;0;4;23;72;11;50;0
10;1;0;3;22;25;8;117;1
4;1;0;1;16;0;4;11;1
2;2;0;2;21;0;2;11;0
7;1;3;11;19;64;6;56;1
4;0;2;1;4;0;0;9;1
12;1;4;5;24;66;12;59;1
1;1;0;12;13;0;1;73;1
8;1;0;5;20;79;8;76;1
10;5;21;11;644;72;8;93;1
4;0;1;2;4;0;0;7;1
2;2;1;1;20;0;1;5;1
9;1;0;10;21;63;8;103;1
2;6;0;26;652;18;1;331;1
12;2;0;13;37;81;8;202;0
5;1;0;4;17;0;0;235;1
5;1;0;17;17;40;0;300;1
9;6;0;21;659;84;8;188;1
3;1;0;9;15;33;3;82;1
5;2;0;19;21;63;2;161;1
4;2;0;10;22;0;3;41;0
31;1;0;35;43;77;29;620;1
4;1;0;1;16;8;3;30;0
2;0;2;3;2;0;0;6;1
5;1;0;4;17;60;5;43;1
6;2;0;2;24;33;5;34;0
5;0;2;2;5;0;0;8;1
5;1;0;3;17;0;5;26;0
6;1;2;3;18;33;5;62;1
10;5;0;23;644;76;8;242;1
15;7;0;49;668;79;8;629;1
7;1;0;6;19;68;4;151;1
7;5;0;29;641;64;4;255;1
5;2;0;9;44;66;5;59;1
5;2;0;11;44;0;5;50;0
11;2;0;35;27;76;3;583;1
19;1;0;27;31;87;18;204;1
20;2;0;26;59;90;20;322;1
27;1;4;22;39;92;26;285;1
10;2;0;6;49;57;10;101;1
20;1;0;36;32;84;16;374;1
11;2;0;9;36;77;7;110;0
135;1;0;71;147;96;116;2115;1
6;1;3;3;18;58;6;40;1
6;1;4;5;18;83;6;75;1
12;1;0;10;24;58;11;218;1
4;1;0;27;16;59;1;184;1
7;2;0;8;31;69;7;83;1
17;5;0;27;651;72;12;379;1
40;5;0;61;674;93;27;1033;1
8;7;0;33;661;76;7;267;1
14;5;0;37;648;76;11;578;1
4;5;0;14;698;68;2;196;1
7;2;0;11;23;49;3;223;1
5;6;0;16;710;68;3;94;0
2;1;1;2;2;0;0;5;0
4;2;0;9;74;41;4;90;1
1;2;0;4;25;0;1;10;0
13;1;0;5;25;50;12;68;1
9;1;0;25;21;70;5;252;1
4;1;0;4;16;50;3;38;1
54;6;0;55;681;95;42;755;1
23;1;0;30;35;88;21;516;1
5;1;0;7;17;0;0;88;1
11;1;2;5;23;72;8;124;1
213;4;0;71;836;95;193;4204;1
37;4;0;32;660;93;37;553;1
2;1;1;1;2;0;0;5;0
18;1;0;26;30;70;5;647;1
50;4;0;36;673;94;47;611;1
3;1;5;2;15;0;3;11;1
4;3;0;3;24;75;4;25;0
5;3;0;4;25;90;5;41;1
1;3;0;1;21;0;1;7;0
3;2;0;2;21;0;3;19;0
2;3;0;1;22;0;2;11;0
4;3;0;3;24;81;4;26;0
3;6;0;5;647;33;3;107;1
7;6;0;24;651;71;1;270;1
3;6;0;7;647;33;3;53;0
3;6;0;5;647;33;3;99;0
3;6;0;6;647;33;1;48;1
3;6;0;9;647;33;3;92;1
3;6;0;10;647;33;1;124;1
5;6;0;28;649;60;1;207;1
4;6;0;26;648;53;1;236;1
4;6;0;20;648;56;1;93;0
4;6;0;11;648;35;1;89;1
4;6;0;19;648;50;1;170;1
5;6;0;19;649;70;3;88;0
3;6;0;9;647;33;1;101;1
1;0;14;1;1;0;0;4;1
108;1;0;105;120;95;79;2128;1
36;1;0;27;48;0;33;689;1
2;1;0;8;14;0;1;39;1
10;3;0;18;43;35;10;279;1
3;7;0;25;656;66;3;120;0
8;5;0;28;593;77;3;321;1
8;6;0;5;635;75;8;51;1
3;1;0;6;15;33;2;165;1
11;7;0;55;664;80;8;408;1
12;6;0;26;662;86;8;370;1
5;7;0;28;658;56;4;113;0
3;7;0;29;656;37;3;284;1
9;1;0;17;21;66;8;134;1
4;4;0;13;627;33;3;52;1
5;7;0;21;658;75;4;164;1
11;5;0;27;645;84;11;416;1
1;7;6;6;843;0;1;39;1
3;6;0;16;653;46;3;79;1
1;6;0;16;651;0;1;86;0
3;6;0;14;630;44;2;128;1
20;5;0;25;654;84;20;739;1
1;5;0;15;635;0;1;54;1
8;5;0;9;834;0;7;82;1
22;6;0;21;783;81;15;356;1
4;6;0;13;780;58;3;110;0
6;0;2;1;6;0;0;9;1
2;5;0;5;704;25;2;49;0
5;1;0;9;17;40;3;100;0
18;2;1;14;33;74;16;213;1
9;6;0;53;636;77;6;496;0
3;7;0;19;656;0;3;52;1
4;7;0;27;657;70;3;96;0
3;7;0;22;656;66;3;101;1
5;7;0;14;796;66;4;134;0
12;1;0;26;24;75;8;636;1
5;3;0;15;326;68;5;72;1
17;1;0;8;29;82;16;184;1
3;6;17;5;653;66;3;97;0
2;6;0;6;744;50;2;42;1
3;7;0;13;656;66;3;134;1
8;5;0;12;642;50;8;165;0
2;6;0;4;744;0;1;47;1
6;2;0;24;76;66;3;159;1
4;2;0;1;34;0;3;30;0
10;1;0;14;22;78;6;215;1
13;2;0;9;83;75;11;143;1
8;1;0;5;20;66;5;106;1
4;1;3;3;16;0;4;27;1
2;1;3;1;2;0;0;5;0
17;1;0;16;29;83;9;290;1
6;1;0;1;18;41;6;35;0
13;1;7;3;25;0;13;56;0
117;1;0;16;129;96;27;2373;1
13;0;1;2;13;0;13;28;0
5;3;0;1;42;60;5;30;0
