REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
2.3,0,1,0,0,1,1953,1
2.3,0,0,0,0,1,1953,0
2.3,0,0,0,0,0,1953,0
2.3,0,0,0,0,1,1953,1
2.3,0,1,0,0,0,1953,0
2.3,0,0,0,0,1,1953,1
2.3,0,1,0,0,0,1953,0
2.3,0,1,0,0,1,1953,1
2.3,1,0,0,0,0,1953,0
2.3,1,0,0,0,0,1953,0
2.3,0,1,0,0,1,1953,0
2.3,0,1,0,0,0,1953,0
2.3,1,0,0,0,0,1953,0
2.3,0,1,0,0,0,1953,0
2.3,0,1,0,0,1,1953,0
2.3,0,1,0,0,0,1953,0
2.3,0,1,0,0,0,1953,0
2.3,0,0,0,0,0,1953,1
2.3,0,0,0,0,1,1953,1
2.3,0,1,0,0,0,1953,0
2.3,0,0,0,0,0,1953,0
2.3,0,0,0,0,1,1953,1
2.3,0,1,0,0,0,1953,0
2.3,0,0,0,0,1,1953,1
2.3,0,0,0,0,0,1953,0
2.3,0,1,0,0,1,1953,0
2.3,0,1,0,0,0,1954,0
2.3,0,1,0,0,0,1954,1
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,1,1,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,1,1954,0
2.3,0,0,0,0,1,1954,0
2.3,0,0,0,0,0,1954,1
2.3,0,1,1,1,1,1954,0
2.3,0,1,0,0,0,1954,0
2.3,0,1,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,0,1954,1
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,1,1954,1
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,1,1954,0
2.3,0,1,0,0,0,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,1
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,0,1954,0
2.3,0,0,0,0,0,1954,1
2.3,0,1,0,0,0,1954,1
2.3,0,1,0,0,0,1954,0
2.3,0,0,0,0,0,1954,1
2.3,0,1,0,0,1,1954,1
2.3,0,1,0,0,0,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,1
2.3,0,0,0,0,0,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,1,1,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,1,1,1,1954,0
2.3,6,0,0,0,0,1954,0
2.3,0,1,0,0,1,1954,1
2.3,0,0,0,0,1,1954,1
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,1
2.3,0,1,0,0,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,0,0,0,0,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,1,0,0,1,1954,0
2.3,0,1,0,0,0,1954,1
2.3,0,0,0,0,1,1954,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,0,0,0,0,1955,1
2.3,1,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,1
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,1
2.3,0,0,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,0,0,0,0,1955,1
2.3,0,0,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,1
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,1
2.3,2,0,0,0,0,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,1,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,1
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,0,1955,1
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,1,0,0,1,1955,0
2.3,0,0,0,0,1,1955,0
2.3,0,1,0,0,0,1955,0
2.3,0,1,0,0,0,1956,0
2.3,0,1,0,0,1,1956,0
2.3,0,1,0,0,1,1956,0
2.3,0,1,0,0,0,1956,0
2.3,0,1,0,0,1,1956,0
2.3,0,1,0,0,1,1956,0
2.3,0,1,0,0,0,1956,0
2.3,0,1,0,0,0,1956,0
2.3,0,0,0,0,1,1956,0
2.3,0,1,0,0,1,1956,0
2.3,0,1,0,0,0,1956,1
2.3,0,1,0,0,0,1956,0
2.3,0,1,0,0,0,1956,1
2.3,0,1,1,0,0,1956,1
2.3,0,1,0,0,1,1956,0
2.3,0,1,0,0,0,1956,0
2.3,0,1,0,0,0,1956,1
2.3,0,0,0,0,0,1956,0
2.3,0,1,0,0,0,1956,0
2.3,0,0,0,0,1,1956,0
