REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
79.99,540,0,0,162,2.5,1040,676,28
61.89,540,0,0,162,2.5,1055,676,28
40.27,332.5,142.5,0,228,0,932,594,270
41.05,332.5,142.5,0,228,0,932,594,365
44.3,198.6,132.4,0,192,0,978.4,825.5,360
47.03,266,114,0,228,0,932,670,90
43.7,380,95,0,228,0,932,594,365
36.45,380,95,0,228,0,932,594,28
45.85,266,114,0,228,0,932,670,28
39.29,475,0,0,228,0,932,594,28
38.07,198.6,132.4,0,192,0,978.4,825.5,90
28.02,198.6,132.4,0,192,0,978.4,825.5,28
43.01,427.5,47.5,0,228,0,932,594,270
42.33,190,190,0,228,0,932,670,90
47.81,304,76,0,228,0,932,670,28
52.91,380,0,0,228,0,932,670,90
39.36,139.6,209.4,0,192,0,1047,806.9,90
56.14,342,38,0,228,0,932,670,365
40.56,380,95,0,228,0,932,594,90
42.62,475,0,0,228,0,932,594,180
41.84,427.5,47.5,0,228,0,932,594,180
28.24,139.6,209.4,0,192,0,1047,806.9,28
8.06,139.6,209.4,0,192,0,1047,806.9,3
44.21,139.6,209.4,0,192,0,1047,806.9,180
52.52,380,0,0,228,0,932,670,365
53.3,380,0,0,228,0,932,670,270
41.15,380,95,0,228,0,932,594,270
52.12,342,38,0,228,0,932,670,180
37.43,427.5,47.5,0,228,0,932,594,28
38.6,475,0,0,228,0,932,594,7
55.26,304,76,0,228,0,932,670,365
52.91,266,114,0,228,0,932,670,365
41.72,198.6,132.4,0,192,0,978.4,825.5,180
42.13,475,0,0,228,0,932,594,270
53.69,190,190,0,228,0,932,670,365
38.41,237.5,237.5,0,228,0,932,594,270
30.08,237.5,237.5,0,228,0,932,594,28
37.72,332.5,142.5,0,228,0,932,594,90
42.23,475,0,0,228,0,932,594,90
36.25,237.5,237.5,0,228,0,932,594,180
50.46,342,38,0,228,0,932,670,90
43.7,427.5,47.5,0,228,0,932,594,365
39,237.5,237.5,0,228,0,932,594,365
53.1,380,0,0,228,0,932,670,180
41.54,427.5,47.5,0,228,0,932,594,90
35.08,427.5,47.5,0,228,0,932,594,7
15.05,349,0,0,192,0,1047,806.9,3
40.76,380,95,0,228,0,932,594,180
26.26,237.5,237.5,0,228,0,932,594,7
32.82,380,95,0,228,0,932,594,7
39.78,332.5,142.5,0,228,0,932,594,180
46.93,190,190,0,228,0,932,670,180
33.12,237.5,237.5,0,228,0,932,594,90
49.19,304,76,0,228,0,932,670,90
14.59,139.6,209.4,0,192,0,1047,806.9,7
14.64,198.6,132.4,0,192,0,978.4,825.5,7
41.93,475,0,0,228,0,932,594,365
9.13,198.6,132.4,0,192,0,978.4,825.5,3
50.95,304,76,0,228,0,932,670,180
33.02,332.5,142.5,0,228,0,932,594,28
54.38,304,76,0,228,0,932,670,270
51.73,266,114,0,228,0,932,670,270
9.87,310,0,0,192,0,971,850.6,3
50.66,190,190,0,228,0,932,670,270
48.7,266,114,0,228,0,932,670,180
55.06,342,38,0,228,0,932,670,270
44.7,139.6,209.4,0,192,0,1047,806.9,360
30.28,332.5,142.5,0,228,0,932,594,7
40.86,190,190,0,228,0,932,670,28
71.99,485,0,0,146,0,1120,800,28
34.4,374,189.2,0,170.1,10.1,926.1,756.7,3
28.8,313.3,262.2,0,175.5,8.6,1046.9,611.8,3
33.4,425,106.3,0,153.5,16.5,852.1,887.1,3
36.3,425,106.3,0,151.4,18.6,936,803.7,3
29,375,93.8,0,126.6,23.4,852.1,992.6,3
37.8,475,118.8,0,181.1,8.9,852.1,781.5,3
40.2,469,117.2,0,137.8,32.2,852.1,840.5,3
33.4,425,106.3,0,153.5,16.5,852.1,887.1,3
28.1,388.6,97.1,0,157.9,12.1,852.1,925.7,3
41.3,531.3,0,0,141.8,28.2,852.1,893.7,3
33.4,425,106.3,0,153.5,16.5,852.1,887.1,3
25.2,318.8,212.5,0,155.7,14.3,852.1,880.4,3
41.1,401.8,94.7,0,147.4,11.4,946.8,852.1,3
35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
28.3,323.7,282.8,0,183.8,10.3,942.7,659.9,3
28.6,379.5,151.2,0,153.9,15.9,1134.3,605,3
35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
24.4,286.3,200.9,0,144.7,11.2,1004.6,803.7,3
35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
39.3,439,177,0,186,11.1,884.9,707.9,3
40.6,389.9,189,0,145.9,22,944.7,755.8,3
35.3,362.6,189,0,164.9,11.6,944.7,755.8,3
24.1,337.9,189,0,174.9,9.5,944.7,755.8,3
46.2,374,189.2,0,170.1,10.1,926.1,756.7,7
42.8,313.3,262.2,0,175.5,8.6,1046.9,611.8,7
49.2,425,106.3,0,153.5,16.5,852.1,887.1,7
46.8,425,106.3,0,151.4,18.6,936,803.7,7
45.7,375,93.8,0,126.6,23.4,852.1,992.6,7
55.6,475,118.8,0,181.1,8.9,852.1,781.5,7
54.9,469,117.2,0,137.8,32.2,852.1,840.5,7
49.2,425,106.3,0,153.5,16.5,852.1,887.1,7
34.9,388.6,97.1,0,157.9,12.1,852.1,925.7,7
46.9,531.3,0,0,141.8,28.2,852.1,893.7,7
49.2,425,106.3,0,153.5,16.5,852.1,887.1,7
33.4,318.8,212.5,0,155.7,14.3,852.1,880.4,7
54.1,401.8,94.7,0,147.4,11.4,946.8,852.1,7
55.9,362.6,189,0,164.9,11.6,944.7,755.8,7
49.8,323.7,282.8,0,183.8,10.3,942.7,659.9,7
47.1,379.5,151.2,0,153.9,15.9,1134.3,605,7
55.9,362.6,189,0,164.9,11.6,944.7,755.8,7
38,286.3,200.9,0,144.7,11.2,1004.6,803.7,7
55.9,362.6,189,0,164.9,11.6,944.7,755.8,7
56.1,439,177,0,186,11.1,884.9,707.9,7
59.09,389.9,189,0,145.9,22,944.7,755.8,7
22.9,362.6,189,0,164.9,11.6,944.7,755.8,7
35.1,337.9,189,0,174.9,9.5,944.7,755.8,7
61.09,374,189.2,0,170.1,10.1,926.1,756.7,28
59.8,313.3,262.2,0,175.5,8.6,1046.9,611.8,28
60.29,425,106.3,0,153.5,16.5,852.1,887.1,28
61.8,425,106.3,0,151.4,18.6,936,803.7,28
56.7,375,93.8,0,126.6,23.4,852.1,992.6,28
68.3,475,118.8,0,181.1,8.9,852.1,781.5,28
66.9,469,117.2,0,137.8,32.2,852.1,840.5,28
60.29,425,106.3,0,153.5,16.5,852.1,887.1,28
50.7,388.6,97.1,0,157.9,12.1,852.1,925.7,28
56.4,531.3,0,0,141.8,28.2,852.1,893.7,28
60.29,425,106.3,0,153.5,16.5,852.1,887.1,28
55.5,318.8,212.5,0,155.7,14.3,852.1,880.4,28
68.5,401.8,94.7,0,147.4,11.4,946.8,852.1,28
71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
74.7,323.7,282.8,0,183.8,10.3,942.7,659.9,28
52.2,379.5,151.2,0,153.9,15.9,1134.3,605,28
71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
67.7,286.3,200.9,0,144.7,11.2,1004.6,803.7,28
71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
66,439,177,0,186,11.1,884.9,707.9,28
74.5,389.9,189,0,145.9,22,944.7,755.8,28
71.3,362.6,189,0,164.9,11.6,944.7,755.8,28
49.9,337.9,189,0,174.9,9.5,944.7,755.8,28
63.4,374,189.2,0,170.1,10.1,926.1,756.7,56
64.9,313.3,262.2,0,175.5,8.6,1046.9,611.8,56
64.3,425,106.3,0,153.5,16.5,852.1,887.1,56
64.9,425,106.3,0,151.4,18.6,936,803.7,56
60.2,375,93.8,0,126.6,23.4,852.1,992.6,56
72.3,475,118.8,0,181.1,8.9,852.1,781.5,56
69.3,469,117.2,0,137.8,32.2,852.1,840.5,56
64.3,425,106.3,0,153.5,16.5,852.1,887.1,56
55.2,388.6,97.1,0,157.9,12.1,852.1,925.7,56
58.8,531.3,0,0,141.8,28.2,852.1,893.7,56
