REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6
-0.0001,0.002,0.0025,0.015,0.01,-4.0E-05
0.0003,-0.0023,0.0003,0.022,-0.011,5.0E-05
-0.0002,0.0059,-0.0006,0.014,-0.005,0.00017
-0.0002,0.0046,0.0001,0.011,0.015,-9.0E-05
0.0002,-0.0076,0.0012,0.01,0.001,-0.0001
0.0001,-0.0073,0.0013,0.01,-0.013,6.0E-05
-0.0001,0.0054,0.0027,0.017,-0.022,0.00014
-0.0001,0.0061,0.0018,0.019,-0.008,-1.0E-05
0.0001,-0.0038,0.0008,0.015,-0.014,1.0E-05
0.0001,0.0041,0.0012,0.013,-0.011,5.0E-05
-0.0001,0.0058,0.0012,0.014,0.002,4.0E-05
-0.0001,0.0056,0.0013,0.014,0.01,-4.0E-05
0.0002,-0.0067,0.0001,0.012,0.004,-0.00011
-0.0002,0.0042,0.0027,0.008,-0.007,9.0E-05
0.0001,-0.0033,0.0004,0.013,-0.013,0
-0.0001,0.0044,0.0015,0.009,-0.001,1.0E-05
-0.0002,0.0044,0.0004,0.008,0.01,8.0E-05
0.0002,-0.0047,-0.0004,0.016,0.008,-8.0E-05
-0.0001,0.0047,-0.0002,0.003,0.005,0.00014
-0.0002,0.0059,0.0017,0.005,0.013,4.0E-05
0.0001,-0.0054,0.0007,0.017,0.015,-0.00011
0.0001,-0.0061,0.0008,0.017,0.005,-2.0E-05
-0.0002,0.0043,-0.0004,0.007,-0.006,0.00013
0.0002,-0.0051,0.0014,0.011,-0.014,-3.0E-05
-0.0002,0.0067,0.0002,0.01,0,4.0E-05
0.0001,0.0048,0.0012,0.011,0.011,-0.00017
0.0001,-0.0038,0.0008,0.011,0.015,-0.0002
0.0002,-0.0067,0.0001,0.009,0.006,-0.00014
-0.0001,0.0053,0.0007,0.005,-0.002,4.0E-05
-0.0002,0.0031,0.0019,0.008,0.01,-0.00011
0.0001,-0.0065,0.0022,0.014,0.005,-0.00017
0.0002,-0.0068,-0.0008,0.011,-0.01,0.0001
-0.0001,0.0067,0.002,0.003,-0.004,8.0E-05
-0.0002,0.0044,0.0023,0.007,0.011,-0.00013
0.0003,-0.0088,0.0016,0.014,-0.009,-0.0001
0.0001,-0.0047,-0.0001,0.012,-0.028,0.00024
-0.0001,0.0057,-0.0001,0.007,-0.026,0.00022
-0.0001,0.0088,0.0001,0.004,-0.004,3.0E-05
-0.0001,0.0068,0.0013,0.006,0.013,-0.00014
0.0001,-0.0074,0.0014,0.011,0.006,-0.0001
-0.0001,0.005,0.001,0.012,-0.022,0.00016
0.0001,-0.0045,0.0005,0.011,-0.011,-5.0E-05
0.0002,-0.0058,0.0016,0.009,-0.014,-5.0E-05
-0.0001,0.008,0.0011,0.01,-0.005,8.0E-05
-0.0001,0.0054,0.0014,0.012,0.015,-0.00014
0.0001,-0.0036,0.0015,0.015,0.019,-0.00017
0.0001,-0.0061,0.0014,0.017,0.002,-3.0E-05
0.0001,-0.0035,-0.0005,0.017,-0.012,0.00012
-0.0002,0.0065,-0.0001,0.012,-0.003,0.00014
-0.0002,0.0023,0.0012,0.012,0.027,-0.00015
0.0002,-0.0052,0.0009,0.013,0.023,-0.00029
0.0001,-0.0038,-0.0008,0.007,-0.01,0.00012
-0.0002,0.0045,0.0019,0,-0.006,0.00011
0.0001,-0.004,0.0015,0.009,-0.01,-1.0E-05
-0.0001,0.0051,0.0011,0.008,-0.007,0.00011
-0.0001,0.0022,0.0014,0.01,0.01,-0.0001
0.0002,-0.0034,0.0016,0.013,0.008,-0.00013
-0.0001,0.0039,0.0002,0.008,0.01,1.0E-05
0.0001,-0.0059,0.0008,0.011,0.006,-0.00016
0.0001,-0.0053,0.0004,0.01,-0.01,7.0E-05
-0.0002,0.0059,0.0021,0.003,0.003,1.0E-05
0.0003,-0.0078,0.002,0.01,0.002,-0.00022
-0.0001,0.0065,0.0002,0.004,-0.014,0.00018
-0.0003,0.0084,0.0023,0.004,0.002,4.0E-05
0.0001,0.0042,0.0028,0.009,0.017,-0.00028
0.0001,-0.0046,0.0026,0.018,0.015,-0.00016
0.0001,-0.0022,0.002,0.001,-0.01,-2.0E-05
-0.0002,0.004,0.0013,0.004,-0.007,0.00011
0.0001,-0.0031,0.0012,0.016,-0.01,0
-0.0003,0.0048,-0.0009,0.01,-0.007,0.00018
0.0002,-0.0059,0.0008,0.009,-0.014,-3.0E-05
-0.0001,0.0045,0.0003,0.005,-0.024,0.00022
-0.0001,0.0077,0.0005,0.003,-0.007,4.0E-05
-0.0002,0.0056,0.0018,0.005,0.011,-0.00012
-0.0003,0.0055,0.0001,0.01,0.013,9.0E-05
-0.0001,-0.0003,0.0005,0.012,0.027,-0.00013
-0.0001,0.0033,0.0002,0.006,0.028,1.0E-05
0.0002,-0.0051,0.0007,0.006,-0.01,7.0E-05
-0.0002,0.009,0.0012,0.004,0.004,0.00014
0.0001,-0.0042,0.0028,0.018,0.024,-0.00019
-0.0001,0.0039,-0.0007,0.009,0.007,0.00013
0.0001,-0.0051,0.0007,0.008,-0.01,7.0E-05
-0.0002,0.0055,0.0025,0.005,-0.002,3.0E-05
-0.0001,0.0002,0.0019,0.01,0.01,-0.00016
0.0003,-0.0045,0.0021,0.013,0.005,-0.00018
-0.0002,0.004,0.0004,0.01,-0.008,0.00017
-0.0001,0.0039,0.0007,0.01,0.011,-4.0E-05
0.0002,-0.0047,0.0009,0.011,0.008,-0.00011
0.0001,-0.0007,0.0006,0.01,-0.01,0.0001
-0.0002,0.0031,-0.0005,0.006,-0.007,0.00014
0.0001,-0.003,0.001,0.006,-0.012,0
-0.0001,0.0068,0.0006,0.004,0.004,7.0E-05
