REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
-0.001,2,-50,-0.0048,-0.001,0.2,0
0.003,6.5,-40,-0.001,-0.009,0.2,0
-0.001,-5.9,-10,-0.0033,-0.004,-0.1,0
-0.002,-6.2,-30,-0.0022,-0.011,0.1,0
0.001,-0.2,-40,0.0059,-0.005,0.1,0
-0.001,-2,10,0.0051,-0.023,-0.1,0
-0.002,-5.6,0,0.0046,0,-0.1,0
-0.001,-3.9,-30,-0.0025,0.005,0,0
0.001,-1.7,-60,0.0053,0.013,-0.1,0
-0.001,-2.9,-60,0.0024,0.019,-0.1,0
0.001,1.8,-70,-0.0069,-0.008,0.1,0
-0.001,-0.7,-50,0.0033,-0.02,-0.2,0
-0.005,-6.1,-70,0.0006,-0.011,-0.1,0
0.002,1,-80,0.0023,-0.007,0.3,0
0.001,6.3,-70,0.0002,-0.003,0.1,0
-0.001,8.3,-40,-0.0032,-0.01,0,0
0.003,9.3,-20,-0.0012,-0.014,0.1,0
-0.002,-2.2,10,0.001,0.002,-0.2,0
-0.001,-4.6,0,-0.0021,0,-0.1,0
0.002,3.3,-10,0.0007,-0.019,0.2,0
-0.002,-2.1,10,-0.0028,0.007,-0.1,-0.01
0.001,1.7,0,0.0028,0.004,0.1,0
-0.001,-3.9,0,-0.0019,0.017,-0.2,0
-0.002,-5.4,-10,-0.0037,0.012,0,0
-0.002,-5.4,-10,-0.005,0.006,0.1,0
0.002,3.3,-20,0.0014,-0.002,0.3,0
0.002,6.4,-10,0.0047,0.005,0.1,0.01
0.001,5.3,0,0.006,0.015,-0.2,0.02
-0.003,-5.5,0,-0.0035,0.021,-0.2,0
-0.001,-7.1,-20,-0.0061,0.005,0,0
0.001,2.3,-40,0.004,-0.007,0.1,0
-0.001,-1.9,-30,0.0055,-0.013,0,0
-0.001,-1.2,-40,0.0051,0.01,-0.1,0.01
0.001,-1.3,-40,0.0029,0.017,0,-0.01
0.001,-0.4,-50,-0.0065,0.007,0.1,-0.01
0.001,4.9,-20,0.0053,-0.002,0,0
-0.003,-3,-10,-0.0056,0.007,-0.2,0
-0.001,-1.5,-10,-0.0064,-0.013,0.2,0
0.002,5.5,-10,-0.0014,-0.022,0.3,0
0.001,9.2,10,0.0038,-0.018,0,0.01
-0.002,-4.4,40,-0.0088,-0.009,-0.1,0
0.001,4.6,40,0.0086,-0.008,0.1,0
-0.001,-4.6,10,0.0036,-0.003,-0.1,0
0.001,7.7,20,0.0043,-0.007,0.1,0
-0.001,-8.9,10,-0.0047,-0.008,0,0
