REGRESSION,Column 2,Column 3,Column 4,Column 5
48,95,32,138,111
23,41,72,111,48
27,21,111,23,19
59,32,48,19,27
129,72,23,27,59
129,138,19,59,129
27,48,59,129,58
19,23,129,58,27
46,27,58,19,24
112,59,27,24,46
144,129,19,46,112
73,129,24,112,144
30,58,46,144,73
20,27,112,73,30
19,19,144,30,20
37,24,73,20,19
92,46,30,19,37
93,144,19,92,152
36,73,37,152,93
18,20,152,36,20
29,19,93,20,18
71,37,36,18,29
146,92,20,29,71
117,152,18,71,146
23,36,71,117,46
18,20,146,46,23
22,18,117,23,18
52,29,46,18,22
128,71,23,22,52
142,146,18,52,128
26,46,52,142,62
17,23,128,62,26
19,18,142,26,17
100,52,26,19,37
158,128,17,37,100
86,142,19,100,158
32,62,37,158,86
17,26,100,86,32
17,17,158,32,17
27,19,86,17,17
72,37,32,17,27
118,158,17,72,154
15,17,154,43,20
21,17,118,20,15
47,27,43,15,21
128,72,20,21,47
150,154,15,47,128
63,118,21,128,150
24,43,47,150,63
16,20,128,63,24
17,15,150,24,16
33,21,63,16,17
92,47,24,17,33
166,128,16,33,92
95,150,17,92,166
33,63,33,166,95
16,24,92,95,33
14,16,166,33,16
22,17,95,16,14
137,166,14,58,149
50,95,22,149,137
20,33,58,137,50
15,16,149,50,20
35,22,50,15,16
106,58,20,16,35
169,149,15,35,106
82,137,16,106,169
28,50,35,169,82
15,20,106,82,28
23,16,82,15,14
65,35,28,14,23
160,106,15,23,65
45,82,23,160,133
36,23,45,14,16
111,65,18,16,36
176,160,14,36,111
80,133,16,111,176
26,45,36,176,80
14,18,111,80,26
13,14,176,26,14
20,16,80,14,13
60,36,26,13,20
163,111,14,20,60
140,176,13,60,163
45,80,20,163,140
18,26,60,140,45
12,14,163,45,18
14,13,140,18,12
98,60,18,14,30
93,140,14,98,185
28,45,30,185,93
14,18,98,93,28
12,12,185,28,14
17,14,93,14,12
46,30,28,12,17
145,98,14,17,46
167,185,12,46,145
58,93,17,145,167
19,28,46,167,58
12,12,167,19,11
21,17,58,11,12
68,46,19,12,21
183,145,11,21,68
132,167,12,68,183
38,58,21,183,132
15,19,68,132,38
11,11,183,38,15
13,12,132,15,11
26,21,38,11,13
93,68,15,13,26
202,183,11,26,93
100,132,13,93,202
27,38,26,202,100
12,15,93,100,27
10,11,202,27,12
30,26,27,10,13
114,93,12,13,30
206,202,10,30,114
11,12,114,82,21
10,13,82,11,9
30,30,21,9,10
120,114,11,10,30
215,206,9,30,120
20,21,30,215,77
8,9,215,20,10
21,30,20,8,9
95,120,10,9,21
234,215,8,21,95
99,77,9,95,234
22,20,21,234,99
9,10,95,99,22
8,8,234,22,9
7,9,99,9,8
9,21,22,8,7
35,95,9,7,9
176,234,8,9,35
215,99,7,35,176
46,22,9,176,215
11,9,35,215,46
7,8,176,46,11
5,7,215,11,7
4,9,46,7,5
3,35,11,5,4
4,176,7,4,3
105,46,4,4,19
125,11,3,19,105
55,7,4,105,125
30,5,19,125,55
28,4,105,55,30
71,4,55,28,41
79,105,28,71,98
34,55,71,79,49
47,28,79,34,33
75,41,49,33,47
95,71,34,47,75
76,98,33,75,95
48,79,47,95,76
35,34,95,48,34
49,33,76,34,35
78,47,48,35,49
96,75,34,49,78
75,95,35,78,96
47,76,49,96,75
34,48,78,75,47
34,34,96,47,34
49,35,75,34,34
81,49,47,34,49
99,78,34,49,81
46,75,49,99,76
32,47,81,76,46
33,34,99,46,32
83,49,46,33,49
101,81,32,49,83
74,99,33,83,101
44,76,49,101,74
32,46,83,74,44
33,32,101,44,32
50,33,74,32,33
85,49,44,33,50
103,83,32,50,85
73,101,33,85,103
43,74,50,103,73
30,44,85,73,43
31,32,103,43,30
49,33,73,30,31
85,50,43,31,49
74,103,31,85,106
43,73,49,106,74
31,30,106,43,31
49,31,74,31,31
87,49,43,31,49
109,85,31,49,87
41,74,49,109,76
29,43,87,76,41
30,31,109,41,29
47,31,76,29,30
87,49,41,30,47
76,109,30,87,110
41,76,47,110,76
28,41,87,76,41
30,29,110,41,28
47,30,76,28,30
88,47,41,30,47
114,87,28,47,88
79,110,30,88,114
41,76,47,114,79
28,41,88,79,41
28,28,114,41,28
45,30,79,28,28
86,47,41,28,45
82,114,28,86,117
42,79,45,117,82
26,41,86,82,42
84,45,42,26,43
119,86,26,43,84
85,117,26,84,119
42,82,43,119,85
26,42,84,85,42
25,26,119,42,26
39,26,85,26,25
80,43,42,25,39
121,84,26,39,80
43,85,39,121,90
26,42,80,90,43
24,26,121,43,26
36,25,90,26,24
76,39,43,24,36
123,80,26,36,76
96,121,24,76,123
46,90,36,123,96
26,43,76,96,46
23,26,123,46,26
35,24,96,26,23
72,36,46,23,35
123,76,26,35,72
102,123,23,72,123
27,46,72,102,50
22,26,123,50,27
31,23,102,27,22
64,35,50,22,31
121,72,27,31,64
110,123,22,64,121
27,50,64,110,53
21,27,121,53,27
28,22,110,27,21
57,31,53,21,28
117,64,27,28,57
59,110,28,117,120
28,53,57,120,59
25,21,120,28,20
109,57,28,25,49
20,28,109,68,31
23,20,128,31,20
43,25,68,20,23
135,109,20,43,98
77,128,23,98,135
34,68,43,135,77
22,31,98,77,34
22,20,135,34,22
139,98,22,36,86
91,135,22,86,139
38,77,36,139,91
21,34,86,91,38
19,22,139,38,21
30,22,91,21,19
73,36,38,19,30
137,86,21,30,73
107,139,19,73,137
44,91,30,137,107
23,38,73,107,44
19,21,137,44,23
26,19,107,23,19
59,30,44,19,26
125,137,19,59,129
24,44,59,125,55
18,23,129,55,24
22,19,125,24,18
140,129,18,47,114
68,125,22,114,140
28,55,47,140,68
18,24,114,68,28
19,18,140,28,18
150,114,18,36,93
88,140,19,93,150
34,68,36,150,88
19,28,93,88,34
18,18,150,34,19
28,19,88,19,18
112,150,18,72,147
43,88,28,147,112
20,34,72,112,43
16,19,147,43,20
23,18,112,20,16
53,28,43,16,23
131,72,20,23,53
24,43,53,137,58
16,20,131,58,24
19,16,137,24,16
104,53,24,19,38
156,131,16,38,104
30,58,38,156,80
16,16,156,30,17
28,19,80,17,16
75,38,30,16,28
156,104,17,28,75
112,156,16,75,156
40,80,28,156,112
18,30,75,112,40
15,17,156,40,18
21,16,112,18,15
51,28,40,15,21
132,75,18,21,51
145,156,15,51,132
15,18,132,59,22
17,15,145,22,15
32,21,59,15,17
96,51,22,17,32
89,145,17,96,164
30,59,32,164,89
16,22,96,89,30
24,17,89,16,14
62,32,30,14,24
153,96,16,24,62
130,164,14,62,153
46,89,24,153,130
19,30,62,130,46
13,16,153,46,19
37,24,46,13,17
113,62,19,17,37
165,153,13,37,113
75,130,17,113,165
25,46,37,165,75
13,13,165,25,14
68,37,25,13,24
164,113,14,24,68
123,165,13,68,164
40,75,24,164,123
17,25,68,123,40
13,14,164,40,17
16,13,123,17,13
38,24,40,13,16
118,68,17,16,38
170,164,13,38,118
24,40,38,170,71
12,13,170,24,13
22,16,71,13,12
65,38,24,12,22
167,118,13,22,65
129,170,12,65,167
40,71,22,167,129
16,24,65,129,40
12,13,167,40,16
14,12,129,16,12
33,22,40,12,14
107,65,16,14,33
182,167,12,33,107
81,129,14,107,182
24,40,33,182,81
12,16,107,81,24
11,12,182,24,12
17,14,81,12,11
156,107,12,17,51
155,182,11,51,156
49,81,17,156,155
17,24,51,155,49
11,12,156,49,17
11,11,155,17,11
23,17,49,11,11
77,51,17,11,23
189,156,11,23,77
115,155,11,77,189
32,49,23,189,115
13,17,77,115,32
9,11,189,32,13
12,11,115,13,9
30,23,32,9,12
197,189,9,30,107
82,115,12,107,197
23,32,30,197,82
10,13,107,82,23
9,9,197,23,10
36,30,23,9,12
134,107,10,12,36
192,197,9,36,134
64,82,12,134,192
10,10,134,64,18
8,9,192,18,10
37,36,18,8,13
148,134,10,13,37
195,192,8,37,148
9,10,148,58,16
8,8,195,16,9
132,148,9,10,29
220,195,8,29,132
67,58,10,132,220
15,16,29,220,67
8,9,132,67,15
6,8,220,15,8
7,10,67,8,6
14,29,15,6,7
66,132,8,7,14
237,220,6,14,66
25,15,14,237,137
9,8,66,137,25
6,6,237,25,9
5,7,137,9,6
4,14,25,6,5
5,66,9,5,4
165,137,5,5,25
233,25,4,25,165
51,9,5,165,233
12,6,25,233,51
7,5,165,51,12
7,5,51,7,7
18,25,12,7,7
80,165,7,7,18
201,233,7,18,80
29,12,18,201,109
12,7,80,109,29
10,7,201,29,12
14,7,109,12,10
38,18,29,10,14
128,80,12,14,38
169,201,10,38,128
63,109,14,128,169
11,12,128,63,20
11,10,169,20,11
23,14,63,11,11
74,38,20,11,23
173,128,11,23,74
114,169,11,74,173
34,63,23,173,114
14,20,74,114,34
14,11,114,14,11
37,23,34,11,14
122,74,14,14,37
172,173,11,37,122
67,114,14,122,172
21,34,37,172,67
11,14,122,67,21
11,11,172,21,11
64,37,21,11,20
131,172,11,64,169
39,67,20,169,131
9,11,169,39,13
12,11,131,13,9
28,20,39,9,12
100,64,13,12,28
188,169,9,28,100
10,9,188,25,11
14,12,88,11,10
41,28,25,10,14
141,100,11,14,41
176,188,10,41,141
17,25,41,176,57
10,11,141,57,17
10,10,176,17,10
16,14,57,10,10
175,141,10,16,56
149,176,10,56,175
41,57,16,175,149
8,10,175,41,14
9,10,149,14,8
18,16,41,8,9
67,56,14,9,18
196,175,8,18,67
130,149,9,67,196
32,41,18,196,130
11,14,67,130,32
7,9,130,11,8
17,18,32,8,7
66,67,11,7,17
131,130,7,66,207
30,32,17,207,131
10,11,66,131,30
7,8,207,30,10
12,17,30,7,6
48,66,10,6,12
193,207,7,12,48
172,131,6,48,193
11,10,48,172,39
7,7,193,39,11
6,12,39,7,6
16,48,11,6,6
86,193,7,6,16
255,172,6,16,86
107,39,6,86,255
19,11,16,255,107
8,7,86,107,19
5,6,255,19,8
4,6,107,8,5
3,16,19,5,4
2,255,5,3,2
7,107,4,2,2
23,19,3,2,7
6,5,2,23,8
8,4,7,8,6
16,3,23,6,8
33,2,8,8,16
65,7,8,33,57
46,8,33,65,56
46,6,57,56,46
64,16,56,46,54
66,33,46,54,64
59,57,46,64,66
49,65,54,66,59
46,56,64,59,49
48,46,66,49,46
58,46,59,46,48
67,54,49,48,58
60,66,48,67,67
47,49,67,60,50
51,46,67,50,47
60,48,60,47,51
69,58,50,51,60
68,67,47,60,69
58,67,51,69,68
50,60,60,68,58
46,50,69,58,50
52,47,68,50,46
61,51,58,46,52
46,50,71,58,48
53,46,68,48,46
64,52,58,46,53
72,61,48,53,64
68,71,46,64,72
56,68,53,72,68
47,58,64,68,56
45,48,72,56,47
73,64,47,53,65
67,72,45,65,73
54,68,53,73,67
46,56,65,67,54
46,47,73,54,46
55,45,67,46,46
67,53,54,46,55
66,73,46,67,74
44,54,67,66,54
46,46,74,54,44
55,46,66,44,46
66,74,46,70,76
51,66,55,76,66
45,54,70,66,51
46,44,76,51,45
58,46,66,45,46
73,55,51,46,58
77,70,45,58,73
52,66,58,77,65
59,46,65,44,46
75,58,52,46,59
64,77,46,75,78
49,65,59,78,64
43,52,75,64,49
47,44,78,49,43
61,46,64,43,47
78,59,49,47,61
79,75,43,61,78
63,78,47,78,79
43,49,78,63,47
47,43,79,47,43
63,47,63,43,47
80,61,47,47,63
79,78,43,63,80
61,79,47,80,79
42,47,80,61,46
48,43,79,46,42
66,47,61,42,48
84,63,46,48,66
80,80,42,66,84
60,79,48,84,80
46,61,66,80,60
50,42,80,46,42
68,48,60,42,50
86,66,46,50,68
80,84,42,68,86
59,80,50,86,80
41,46,86,59,43
50,42,80,43,41
71,50,59,41,50
88,68,43,50,71
79,86,41,71,88
41,59,71,79,56
41,43,88,56,41
51,41,79,41,41
73,50,56,41,51
91,71,41,51,73
78,88,41,73,91
55,79,51,91,78
52,41,78,41,40
75,51,55,40,52
94,73,41,52,75
78,91,40,75,94
54,78,52,94,78
39,55,75,78,54
40,41,94,54,39
52,40,78,39,40
95,75,39,52,79
50,78,52,95,76
37,54,79,76,50
38,39,95,50,37
52,40,76,37,38
97,79,37,52,80
50,76,52,97,76
36,50,80,76,50
37,37,97,50,36
54,38,76,36,37
83,52,50,37,54
98,80,36,54,83
34,50,83,74,47
37,36,98,47,34
85,54,47,37,53
74,98,37,85,100
34,47,85,74,45
35,34,100,45,34
54,37,74,34,35
87,53,45,35,54
103,85,34,54,87
72,100,35,87,103
43,74,54,103,72
33,45,87,72,43
35,34,103,43,33
53,35,72,33,35
103,87,33,53,88
73,103,35,88,103
32,43,88,73,43
33,33,103,43,32
53,35,73,32,33
91,53,43,33,53
105,88,32,53,91
72,103,33,91,105
41,73,53,105,72
31,43,91,72,41
33,32,105,41,31
54,33,72,31,33
108,91,31,54,91
72,105,33,91,108
41,72,54,108,72
30,41,91,72,41
32,31,108,41,30
51,33,72,30,32
93,54,41,32,51
111,91,30,51,93
74,108,32,93,111
29,41,93,74,41
51,32,74,29,31
93,51,41,31,51
113,93,29,51,93
40,74,51,113,75
29,41,93,75,40
30,29,113,40,29
49,31,75,29,30
92,51,40,30,49
118,93,29,49,92
41,75,49,118,78
28,40,92,78,41
29,29,118,41,28
90,49,41,29,46
120,92,28,46,90
82,118,29,90,120
29,41,90,82,42
45,29,82,29,28
124,90,29,45,88
86,120,28,88,124
43,82,45,124,86
27,42,88,86,43
41,28,86,27,27
83,45,43,27,41
126,88,27,41,83
27,43,83,91,45
26,27,126,45,27
38,27,91,27,26
127,83,27,38,78
99,126,26,78,127
47,91,38,127,99
27,45,78,99,47
24,27,127,47,27
35,26,99,27,24
106,127,24,72,126
52,99,35,126,106
28,47,72,106,52
23,27,126,52,28
65,35,52,23,32
123,72,28,32,65
116,126,23,65,123
29,52,65,116,56
22,28,123,56,29
28,23,116,29,22
56,32,56,22,28
117,65,29,28,56
126,123,22,56,117
64,116,28,117,126
30,56,56,126,64
27,22,126,30,22
107,56,30,27,49
133,117,22,49,107
74,126,27,107,133
32,64,49,133,74
21,30,107,74,32
23,22,133,32,21
41,27,74,21,23
140,107,21,41,95
21,32,95,84,36
21,21,140,36,21
80,41,36,21,35
42,84,35,141,99
22,36,80,99,42
20,21,141,42,22
29,21,99,22,20
135,80,22,29,67
117,141,20,67,135
49,99,29,135,117
18,22,135,49,24
25,20,117,24,18
122,67,24,25,52
134,135,18,52,122
62,117,25,122,134
26,49,52,134,62
18,24,122,62,26
41,25,62,18,20
104,52,26,20,41
79,134,20,104,148
32,62,41,148,79
18,26,104,79,32
19,18,148,32,18
32,20,79,18,19
82,41,32,19,32
151,104,18,32,82
100,148,19,82,151
39,79,32,151,100
19,32,82,100,39
25,19,100,19,17
140,82,19,25,62
128,151,17,62,140
52,100,25,140,128
22,39,62,128,52
17,19,140,52,22
21,17,128,22,17
44,25,52,17,21
150,140,17,44,116
71,128,21,116,150
18,22,116,71,27
18,17,150,27,18
88,44,27,18,32
159,116,18,32,88
36,71,32,159,98
16,18,159,36,19
61,32,36,16,25
146,88,19,25,61
52,98,25,146,132
21,36,61,132,52
17,19,146,52,21
19,16,132,21,17
41,25,52,17,19
113,61,21,19,41
161,146,17,41,113
76,132,19,113,161
28,52,41,161,76
16,21,113,76,28
16,17,161,28,16
28,19,76,16,16
77,41,28,16,28
114,161,16,77,163
39,76,28,163,114
20,16,114,19,15
156,163,15,47,132
62,114,20,132,156
