decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
9.00,7.00,46.00,2.90,1.02,0.30,1.00,4.00,1.00,1,3,1
6.00,4.00,32.00,3.30,0.24,-0.45,1.00,3.00,0.00,1,3,1
7.00,5.00,41.00,3.90,0.54,-0.20,1.00,4.00,0.00,1,4,1
7.00,8.00,44.00,3.70,0.54,0.84,1.00,3.00,1.00,1,4,1
7.00,7.00,48.00,2.90,0.40,0.52,1.00,5.00,0.00,1,4,1
1.00,1.00,31.30,3.00,-2.13,-2.21,1.00,3.00,1.00,1,3,1
10.00,10.00,48.00,3.50,1.48,1.71,1.00,3.00,1.00,1,6,1
5.00,2.00,38.00,2.80,-0.14,-1.02,1.00,3.00,0.00,1,4,1
1.00,1.00,37.00,3.60,-1.18,-1.68,1.00,3.00,0.00,1,4,1
3.00,4.00,37.00,3.10,-0.58,-0.35,1.00,4.00,0.00,1,3,1
8.00,7.00,40.00,3.80,0.75,0.41,1.00,3.00,0.00,1,4,1
7.00,7.00,29.00,3.20,0.41,0.27,2.00,3.00,0.00,1,3,1
3.00,5.00,46.00,3.30,-0.77,-0.12,1.00,4.00,0.00,1,6,1
8.00,7.00,41.00,2.60,0.63,0.29,1.00,3.00,1.00,1,3,1
9.00,9.00,34.00,3.60,0.98,0.94,1.00,4.00,1.00,1,5,1
2.00,2.00,29.00,2.80,-1.03,-1.21,1.00,4.00,1.00,0,3,1
6.00,5.00,37.00,3.30,0.24,-0.08,1.00,4.00,1.00,1,3,1
10.00,9.00,36.50,2.90,1.59,1.31,1.00,2.00,0.00,0,1,1
8.00,7.00,25.00,3.00,0.77,0.48,1.00,4.00,0.00,1,4,1
9.00,9.00,45.00,3.40,0.94,1.02,1.00,4.00,1.00,1,4,1
4.00,3.00,39.00,2.80,-0.37,-0.67,2.00,4.00,1.00,1,4,1
10.00,9.00,42.00,3.80,1.59,1.15,1.00,4.00,0.00,1,6,1
10.00,10.00,48.00,3.40,2.08,1.89,1.00,4.00,1.00,1,4,1
5.00,3.00,35.50,3.50,-0.13,-0.77,1.00,3.00,0.00,1,3,1
6.00,7.00,41.00,3.40,0.12,0.40,1.00,4.00,0.00,1,4,1
2.00,6.00,34.00,3.30,-0.75,0.25,2.00,2.00,0.00,1,4,1
10.00,10.00,48.00,3.40,2.85,2.23,1.00,4.00,1.00,1,5,1
7.00,8.00,35.00,3.10,0.50,0.65,1.00,3.00,1.00,1,5,1
3.00,4.00,42.00,3.90,-0.63,-0.26,1.00,4.00,1.00,1,6,1
10.00,5.00,37.00,2.80,1.40,0.00,1.00,4.00,1.00,1,5,1
10.00,10.00,44.00,3.10,1.74,1.58,1.00,5.00,1.00,1,4,1
5.00,5.00,27.00,2.80,-0.16,-0.10,1.00,3.00,0.00,1,3,1
9.00,7.00,42.00,3.10,0.96,0.51,1.00,4.00,1.00,1,4,1
4.00,3.00,35.00,3.00,-0.31,-0.67,1.00,3.00,0.00,1,3,0
5.00,3.00,36.00,3.10,-0.10,-0.57,1.00,4.00,1.00,1,3,1
1.00,1.00,42.00,2.90,-2.02,-2.23,1.00,4.00,1.00,1,4,0
8.00,6.00,33.00,3.30,0.80,0.23,1.00,3.00,0.00,1,4,1
7.00,8.00,39.00,3.50,0.39,0.61,1.00,4.00,0.00,1,3,1
3.00,2.00,44.00,2.70,-0.45,-0.98,1.00,5.00,1.00,1,4,0
1.00,2.00,31.50,3.10,-1.72,-1.01,1.00,3.00,1.00,1,3,1
7.00,9.00,45.00,3.00,0.54,1.14,1.00,3.00,1.00,1,4,1
1.00,1.00,46.00,3.60,-1.72,-1.40,1.00,3.00,1.00,1,5,1
7.00,6.00,40.00,3.70,0.42,0.13,1.00,3.00,0.00,1,4,1
6.00,5.00,36.00,2.70,0.26,0.00,1.00,4.00,1.00,1,5,1
7.00,6.00,40.00,3.10,0.50,0.07,1.00,3.00,1.00,1,3,1
6.00,6.00,44.00,3.20,0.17,0.24,1.00,4.00,1.00,1,6,1
2.00,2.00,25.00,2.80,-0.91,-0.95,1.00,2.00,0.00,1,4,0
3.00,3.00,43.00,2.90,-0.65,-0.74,1.00,3.00,0.00,1,4,1
1.00,1.00,25.00,3.10,-1.44,-1.50,1.00,4.00,0.00,0,4,0
8.00,7.00,37.00,3.10,0.65,0.35,1.00,4.00,1.00,1,5,1
1.00,4.00,32.00,3.30,-1.58,-0.43,1.00,3.00,0.00,1,3,0
6.00,7.00,46.00,3.30,0.30,0.51,1.00,4.00,0.00,1,4,1
4.00,5.00,33.00,3.60,-0.34,-0.12,1.00,4.00,0.00,1,3,1
6.00,6.00,39.00,2.70,0.21,0.10,1.00,4.00,0.00,1,4,1
6.00,6.00,37.00,3.30,0.13,0.14,1.00,5.00,0.00,1,3,1
10.00,8.00,30.00,3.60,1.38,0.77,1.00,4.00,1.00,1,3,1
6.00,7.00,44.00,3.50,0.35,0.43,1.00,4.00,0.00,1,6,1
10.00,10.00,43.00,3.80,1.76,1.63,1.00,3.00,0.00,1,4,1
1.00,1.00,40.00,3.20,-1.16,-1.39,1.00,4.00,0.00,1,3,1
8.00,8.00,34.00,3.00,0.58,0.62,1.00,4.00,1.00,1,3,1
1.00,2.00,38.00,3.00,-1.23,-0.86,1.00,5.00,1.00,1,5,1
3.00,5.00,37.00,2.40,-0.51,-0.27,2.00,4.00,1.00,1,2,1
3.00,6.00,39.00,3.60,-0.57,0.07,1.00,4.00,1.00,1,4,1
1.00,1.00,42.00,3.90,-1.30,-1.37,1.00,3.00,0.00,1,6,1
8.00,10.00,40.50,3.70,0.80,1.42,1.00,5.00,1.00,1,4,1
9.00,8.00,44.00,3.30,1.13,0.84,1.00,4.00,1.00,1,3,1
4.00,6.00,35.00,2.90,-0.24,0.10,1.00,4.00,1.00,1,3,1
3.00,2.00,35.00,3.00,-0.62,-0.90,1.00,2.00,1.00,0,4,1
7.00,7.00,38.00,3.30,0.33,0.32,1.00,3.00,0.00,1,5,1
8.00,7.00,35.00,3.10,0.72,0.51,1.00,3.00,1.00,1,4,1
3.00,5.00,36.00,3.10,-0.54,-0.09,2.00,3.00,1.00,1,5,1
6.00,6.00,32.00,3.80,0.13,0.26,1.00,4.00,1.00,1,4,1
1.00,1.00,28.50,2.60,-1.42,-1.83,1.00,3.00,0.00,0,3,1
5.00,5.00,44.00,3.20,-0.11,-0.27,1.00,2.00,1.00,1,3,1
10.00,10.00,41.00,3.60,1.43,1.93,1.00,3.00,0.00,1,3,1
5.00,5.00,40.00,3.00,-0.08,-0.18,1.00,5.00,0.00,1,3,1
8.00,10.00,36.00,4.00,0.64,1.35,1.00,4.00,0.00,1,4,1
2.00,3.00,34.00,3.40,-0.74,-0.54,1.00,3.00,0.00,1,4,1
5.00,2.00,38.00,3.10,-0.07,-1.21,2.00,4.00,0.00,1,3,1
2.00,3.00,29.00,3.00,-1.00,-0.84,2.00,5.00,0.00,1,6,1
3.00,5.00,32.00,2.50,-0.56,-0.13,1.00,4.00,1.00,1,3,1
3.00,3.00,39.00,3.60,-0.69,-0.59,1.00,4.00,1.00,1,4,1
9.00,10.00,39.00,3.50,1.21,1.50,1.00,5.00,0.00,1,4,1
10.00,10.00,42.00,3.60,1.51,1.55,1.00,3.00,1.00,1,3,0
4.00,2.00,21.00,2.90,-0.40,-0.90,1.00,1.00,1.00,1,4,1
7.00,8.00,34.00,3.40,0.55,0.68,1.00,3.00,1.00,1,4,1
2.00,1.00,21.00,2.60,-0.85,-1.78,1.00,3.00,0.00,0,4,1
10.00,10.00,39.00,2.80,1.32,1.99,1.00,3.00,1.00,1,3,1
7.00,6.00,34.00,3.00,0.39,0.23,1.00,5.00,0.00,1,3,1
5.00,4.00,45.00,2.60,-0.03,-0.55,1.00,1.00,1.00,1,3,0
4.00,4.00,48.00,3.80,-0.18,-0.29,1.00,4.00,0.00,1,6,1
6.00,3.00,34.00,3.30,0.30,-0.65,1.00,4.00,0.00,1,4,1
8.00,7.00,33.00,3.70,0.62,0.30,1.00,3.00,0.00,1,4,0
10.00,10.00,47.00,3.90,1.94,1.32,1.00,4.00,1.00,1,5,1
4.00,4.00,36.00,2.30,-0.21,-0.45,1.00,3.00,1.00,1,3,1
9.00,9.00,31.00,3.20,0.94,1.03,1.00,4.00,1.00,1,3,1
6.00,9.00,35.00,3.90,0.20,1.01,1.00,3.00,1.00,1,4,1
4.00,4.00,29.00,3.70,-0.26,-0.41,1.00,2.00,1.00,1,3,1
6.00,7.00,39.00,3.70,0.15,0.48,1.00,3.00,1.00,1,6,1
8.00,9.00,35.00,4.00,0.89,1.23,1.00,2.00,1.00,1,4,1
5.00,6.00,39.00,3.60,-0.11,0.29,1.00,3.00,0.00,1,4,1
10.00,10.00,41.00,3.80,1.60,1.49,1.00,3.00,0.00,1,4,1
8.00,8.00,46.00,3.80,0.74,0.66,1.00,3.00,0.00,1,5,0
2.00,2.00,32.00,3.90,-0.74,-1.22,1.00,3.00,0.00,1,3,0
9.00,9.00,32.50,2.80,0.94,1.12,1.00,3.00,1.00,1,2,1
8.00,8.00,36.00,3.50,0.71,0.69,1.00,4.00,0.00,1,4,1
5.00,4.00,28.00,2.30,-0.16,-0.50,1.00,3.00,0.00,0,3,1
3.00,2.00,42.00,3.20,-0.64,-0.96,1.00,2.00,1.00,1,4,1
6.00,4.00,34.00,3.80,0.21,-0.31,1.00,4.00,1.00,1,4,1
2.00,4.00,32.00,2.50,-0.86,-0.45,2.00,4.00,1.00,1,2,0
7.00,8.00,45.00,3.30,0.48,0.73,1.00,4.00,1.00,1,3,1
7.00,4.00,36.00,3.20,0.39,-0.35,1.00,4.00,1.00,1,3,1
10.00,10.00,32.00,3.90,1.54,1.85,1.00,4.00,0.00,1,4,1
8.00,9.00,42.00,3.60,0.77,0.88,1.00,2.00,1.00,1,4,1
5.00,4.00,37.00,3.40,-0.09,-0.37,1.00,4.00,0.00,1,4,1
10.00,10.00,41.00,3.30,2.08,1.88,1.00,3.00,0.00,1,5,1
10.00,10.00,39.00,3.60,1.88,2.02,1.00,5.00,0.00,1,4,1
1.00,2.00,38.00,3.20,-1.13,-1.03,1.00,2.00,0.00,1,3,1
8.00,8.00,45.00,3.30,0.73,0.75,1.00,4.00,1.00,1,4,1
7.00,6.00,43.00,3.40,0.44,0.15,1.00,5.00,0.00,1,4,1
6.00,5.00,48.00,3.30,0.27,-0.10,1.00,3.00,0.00,1,6,1
9.00,10.00,39.00,3.10,1.25,1.39,1.00,2.00,1.00,1,3,1
9.00,8.00,39.00,3.10,1.01,0.76,1.00,4.00,1.00,1,3,1
1.00,1.00,36.00,3.20,-2.15,-1.33,1.00,4.00,1.00,1,3,1
2.00,3.00,27.00,2.70,-0.72,-0.65,1.00,4.00,1.00,1,3,1
10.00,10.00,41.00,3.10,1.53,1.33,1.00,3.00,1.00,1,3,1
4.00,3.00,37.00,3.10,-0.26,-0.58,1.00,4.00,1.00,1,4,1
2.00,1.00,32.00,2.80,-0.96,-1.44,1.00,4.00,1.00,1,2,1
7.00,6.00,44.00,3.30,0.49,0.05,1.00,3.00,0.00,1,4,1
2.00,3.00,37.00,2.40,-1.10,-0.73,1.00,3.00,0.00,1,3,1
6.00,3.00,38.00,3.10,0.07,-0.83,1.00,3.00,1.00,1,3,1
3.00,3.00,44.00,3.50,-0.56,-0.68,1.00,4.00,0.00,1,5,1
6.00,6.00,41.00,4.00,0.13,0.15,1.00,4.00,0.00,1,4,1
3.00,3.00,48.00,3.30,-0.72,-0.80,1.00,4.00,1.00,1,6,1
8.00,9.00,39.00,3.00,0.86,1.30,2.00,2.00,0.00,1,3,1
9.00,9.00,34.00,4.00,1.01,1.23,1.00,4.00,0.00,1,3,1
4.00,4.00,42.00,3.00,-0.32,-0.42,1.00,4.00,1.00,1,3,1
4.00,9.00,36.00,3.80,-0.36,0.88,1.00,3.00,1.00,1,3,1
9.00,9.00,35.50,3.90,1.01,1.30,1.00,1.00,0.00,1,3,1
4.00,6.00,42.00,3.00,-0.22,0.28,1.00,3.00,0.00,1,4,1
8.00,4.00,29.50,3.10,0.66,-0.57,1.00,4.00,1.00,1,2,1
10.00,5.00,42.00,3.40,2.05,-0.19,1.00,3.00,1.00,1,6,1
6.00,5.00,36.00,2.90,0.08,-0.18,2.00,4.00,1.00,1,3,1
3.00,2.00,33.00,2.80,-0.55,-0.90,1.00,3.00,1.00,1,3,1
1.00,1.00,38.00,3.20,-1.38,-1.58,1.00,3.00,1.00,0,6,1
6.00,4.00,32.00,3.70,0.10,-0.34,1.00,3.00,0.00,1,5,1
3.00,7.00,35.00,2.90,-0.64,0.30,1.00,2.00,0.00,1,3,1
2.00,3.00,39.50,2.90,-0.91,-0.67,1.00,2.00,0.00,1,5,1
8.00,7.00,41.00,3.40,0.88,0.49,1.00,3.00,0.00,1,4,1
2.00,2.00,30.00,2.70,-1.01,-1.20,1.00,5.00,1.00,1,2,1
10.00,9.00,40.00,3.30,1.55,1.19,1.00,3.00,0.00,1,4,1
9.00,8.00,39.00,3.50,1.13,0.58,1.00,4.00,0.00,1,4,1
4.00,4.00,32.00,3.20,-0.20,-0.40,1.00,4.00,1.00,1,4,1
10.00,10.00,33.00,3.70,1.40,1.33,1.00,3.00,0.00,1,3,1
8.00,7.00,34.00,2.60,0.71,0.36,1.00,3.00,0.00,1,3,1
5.00,4.00,33.00,3.10,0.01,-0.39,1.00,4.00,1.00,1,3,1
1.00,1.00,24.00,2.80,-1.86,-1.77,1.00,2.00,1.00,0,3,1
8.00,9.00,48.00,3.90,0.90,1.00,1.00,5.00,1.00,1,6,1
9.00,9.00,43.00,3.90,1.15,0.91,1.00,3.00,1.00,1,5,1
7.00,7.00,45.00,3.30,0.52,0.38,1.00,5.00,1.00,1,5,1
6.00,6.00,44.00,2.70,0.22,0.13,1.00,4.00,1.00,1,4,1
