REGRESSION,Column 2,Column 3
16,30.7,240
18,24.7,250
16,30.6,260
10,32.8,240
20,20.7,240
16,34.5,260
12,41.9,290
12,36.4,280
12,22.2,200
14,20.7,210
14,30.7,250
10,40.6,280
18,20.5,210
18,34.2,290
14,24.2,220
18,18.8,210
10,36.2,260
16,32.6,270
18,24.6,240
10,43,280
16,41,300
16,30.6,260
10,41,270
10,29.5,220
14,28.2,240
18,20.2,220
20,20.5,210
10,24.6,200
16,29.2,260
12,34.8,260
10,33.9,240
10,41.8,270
18,18.6,210
12,33.2,260
18,31.9,270
20,24.2,250
18,22.2,220
16,27.5,240
14,32.2,260
12,32.6,250
16,34.6,280
14,27.3,230
12,30.2,230
18,24.2,240
18,24.4,250
12,22.8,200
14,28.7,250
18,32.2,280
16,28.7,260
14,44.7,300
18,35.3,290
14,32.2,250
14,37.3,280
14,26.5,220
16,36.5,280
12,41.5,290
12,42.6,300
14,38.5,280
18,36.2,300
14,21.3,200
10,30.1,220
12,26.7,200
18,22.8,230
18,30.2,260
20,23.8,230
12,31.7,250
16,26.2,240
16,32.7,280
20,18.6,220
10,39.5,270
18,23.7,240
12,40.4,300
18,34.7,270
18,31.7,280
16,27.2,250
16,22.8,220
16,37.5,290
20,29.3,270
14,30.3,250
20,25.7,260
14,41,290
10,26.2,200
12,26.6,220
10,32.6,240
10,34.2,250
16,27.3,240
20,16.2,210
16,33.8,260
10,30.7,210
20,16.6,210
12,39.8,270
10,28.2,220
14,36.2,280
14,36.2,280
16,29.7,260
10,26.2,210
12,44.1,300
14,33.5,260
14,32.8,260
18,30.8,270
14,20.6,200
18,32.7,280
16,33.7,280
12,31.7,250
18,33,270
18,26.7,260
12,26.8,220
16,34.4,290
16,34.7,290
14,30.7,260
20,28.8,270
12,30.5,230
18,20.7,220
18,20.3,220
14,24.7,220
14,22.2,210
10,27.9,210
10,29,210
14,35.5,280
14,26.1,220
14,34.4,280
20,26.5,250
14,32.2,260
20,27.9,260
20,22.6,240
12,22.7,210
12,26.6,220
10,26.2,210
10,28.1,210
20,25.3,250
18,36.6,300
14,32.7,240
20,30.6,280
16,23.7,230
10,27,200
18,36.2,300
18,17.2,210
18,28.5,250
20,22.5,230
18,34.8,290
16,30.2,260
16,33.7,280
10,36.5,240
14,41.5,300
10,34.7,230
10,25.5,210
10,26.4,220
12,24.1,200
12,43.5,300
16,28.7,260
16,30.2,260
10,32.2,240
12,33.7,260
12,46.7,300
10,38.1,260
14,37.8,270
12,32.6,250
16,34.1,270
20,28.2,270
12,42.7,280
20,38.7,300
14,40.6,300
14,38.7,290
16,26.7,250
14,25.7,230
10,35.5,250
12,29.7,240
16,41.8,300
12,32.7,250
18,29.9,260
12,41.3,290
12,25.8,200
14,25.3,220
18,26.5,240
18,24.3,240
20,20.6,230
12,28.6,230
18,15.7,200
10,40.1,270
20,28.7,280
12,37.3,270
14,20.6,200
16,22.2,220
14,43.8,300
16,21.9,210
12,26.7,230
20,32.2,290
14,29.5,250
14,28.5,220
12,42.5,280
16,27.7,250
20,20.1,220
18,34.1,280
18,26.6,250
10,40.2,270
20,28.4,280
10,26.7,220
18,18.1,200
16,24.7,230
18,36.5,290
14,33.5,270
16,38.2,300
16,33.5,270
12,36.7,270
20,26.4,270
20,24.2,240
16,18.4,210
12,40.7,300
18,40.7,300
10,30.7,240
20,17.5,220
18,24.2,240
18,19.2,220
12,37,260
18,35.8,280
18,23.7,240
12,35.7,270
18,24.6,240
12,22.3,200
18,22.6,230
10,28.2,210
12,30.6,240
12,34.7,270
20,21.5,240
12,20.4,200
18,30.6,270
16,26.6,240
14,36.5,260
12,35.5,260
20,17.3,210
10,24.2,200
20,34.2,300
10,34.3,250
18,19.7,220
18,22.7,240
16,37.7,300
16,39.9,300
18,32.5,260
10,38.2,270
12,22.2,200
10,32.2,240
12,23.2,210
14,32.3,260
16,18.7,210
16,34.2,280
18,22.7,230
16,32.4,280
18,28.7,270
16,25.3,230
12,28.1,220
10,24.7,200
20,18.7,200
20,30.3,280
10,39,260
16,21.3,210
18,32.2,280
14,24.4,230
14,23.5,220
16,32.1,260
12,38.2,270
10,29.5,230
18,29.7,270
18,22.2,230
18,20.4,230
18,31.5,270
10,45.5,300
16,39.5,300
14,42.2,300
18,24.7,220
20,14.4,210
20,25.5,260
10,28.7,230
12,42.2,300
10,26.8,210
18,32.1,270
16,42.5,300
10,24.7,210
12,31.9,240
20,30.8,280
20,15.2,210
16,20.7,210
18,28.2,250
20,24.5,230
12,30.8,240
18,25.2,250
10,30.6,230
16,26.6,240
16,28.5,230
16,32.3,270
16,37.5,300
20,25.8,240
14,30.7,260
10,39.3,270
12,31.5,240
16,38.2,300
18,30.7,270
20,20.2,220
20,17.8,200
10,42.2,280
10,34.5,230
12,42.8,300
14,30.5,240
16,33.2,280
20,24.1,240
14,29.5,240
10,30.6,230
16,31,250
20,22.7,220
10,24.6,200
20,26.2,260
20,26.2,250
12,24.2,200
18,34.4,300
18,20.7,230
16,27.8,230
14,37.2,290
20,13.7,200
16,32.2,270
12,39.3,280
16,36.6,290
14,28.7,250
10,34.8,250
14,30.2,250
12,39.2,290
10,37.7,270
12,36.2,270
20,21.7,240
10,34.1,240
10,31.9,230
20,34.7,300
12,30.7,220
16,24.2,220
14,26.4,240
14,38.4,300
18,23.5,230
16,36.6,290
14,24.5,210
16,28.3,250
18,24.2,230
10,29.3,220
18,22.7,210
14,30.6,250
14,22.2,210
10,40.7,260
18,16.6,200
10,42.3,290
18,31,260
14,27.8,220
10,28.7,220
16,34.2,270
12,24.7,210
12,41.8,280
14,35.5,270
18,31.7,280
18,20.2,220
18,14.7,200
20,32.7,290
14,41.8,290
18,17.7,210
16,32.7,280
12,31,230
20,29,260
12,30.6,240
16,24.2,230
16,26.5,230
20,35.3,300
10,41.2,290
18,18.5,200
16,17.7,200
14,31.7,260
12,34.7,270
10,34.6,250
16,40.2,300
14,30.1,240
12,40.7,290
14,26.8,230
14,30.7,230
18,28.7,240
18,32.7,260
10,34.7,260
10,48.5,300
12,30.1,230
16,35.5,290
14,31.5,250
18,19.8,200
20,34.5,290
10,40.7,290
14,30.2,240
12,36.7,280
12,30.2,240
20,22.2,240
18,16.8,200
16,20.1,200
20,30.4,290
18,34.7,300
18,18.7,220
14,28.5,230
16,30.3,260
12,25.7,220
10,38.7,270
14,31.2,260
12,34.7,240
12,25.2,220
20,12.4,200
20,21.9,230
12,32.5,240
18,22.4,240
20,27.3,260
12,28.5,210
16,31.7,270
16,34.5,270
16,34.8,280
14,34.2,270
16,35.2,290
12,23.7,210
18,35.7,300
20,25.9,250
10,33.7,250
20,29.2,280
14,34.5,260
12,32.8,250
14,36.7,290
10,32.7,220
10,26.2,210
14,26.2,230
14,22.7,210
20,33.5,300
16,24.4,240
10,43.9,290
18,34.5,280
14,32.6,260
10,40.7,280
16,29.3,250
14,38.2,290
14,39.9,290
14,24.2,210
12,28.2,230
12,27.3,220
10,42.1,280
12,29.5,240
12,27.7,230
12,32.7,230
18,30.4,280
18,16.4,210
18,35.5,300
20,33.9,290
10,34.2,250
20,17,200
16,28.7,230
20,33.5,290
20,30.7,290
16,21.5,210
20,33.7,300
10,28.6,220
16,34.7,290
14,31.3,250
20,33.3,290
14,23,200
16,27.7,250
18,26.7,230
16,30.5,250
14,20.2,200
14,36.7,280
18,18.2,210
10,24.4,210
10,30.8,230
16,24.7,210
14,20.8,200
10,45.8,290
16,34.2,280
12,40.2,280
14,37,270
16,25.8,220
14,28.7,240
10,31.5,240
16,18.2,200
18,37.9,300
12,43.3,300
10,32.7,240
20,34.2,300
16,30.4,270
14,39.3,290
18,38.5,290
12,30.5,220
16,35.7,290
20,20.2,230
12,34.3,260
12,33.9,250
14,23.8,200
18,28.7,270
20,28.5,250
10,44.8,300
10,33.8,230
18,29.5,260
12,25.7,220
18,27.7,260
18,21.7,230
14,25.5,220
18,33.5,280
12,24.8,210
10,42.4,300
10,43.7,300
10,33,230
12,44.2,300
20,30.6,280
14,27.9,230
16,36.2,290
10,34.4,260
12,39.9,280
14,21.9,200
14,36.6,280
14,39.7,300
12,25.9,210
16,20.5,200
10,37.8,250
16,38.8,300
14,29.7,250
10,37.3,260
20,13.5,200
10,37.5,270
12,41.5,300
12,38.5,270
18,33.7,290
16,24.7,240
10,29.2,230
20,23.9,240
12,30.3,240
10,36.2,250
16,20.2,200
12,40.1,280
12,38.1,270
18,15.2,200
20,28.6,270
20,32.2,280
16,31.8,250
16,28.2,250
12,42.2,290
14,29.2,250
14,40.8,300
18,30.3,270
20,24.2,250
16,20.6,210
12,28.7,230
20,18.7,230
12,38.2,280
12,37.5,280
20,15.7,210
16,34.2,280
12,36.2,260
14,33.7,270
16,24.5,220
14,24.2,220
20,17.7,220
12,36.8,270
20,32.6,290
12,41,280
18,17.5,210
16,30.7,270
10,24.2,200
12,27,210
20,19.7,230
18,36.7,280
10,37.2,270
18,32.5,270
14,22.3,210
14,23.9,210
12,42.6,300
14,24.8,220
20,26.2,260
18,29.2,270
14,18.4,200
10,36.5,250
10,28.5,210
16,25.7,240
18,34.2,290
18,36.5,280
10,43.7,300
10,43.5,290
10,41.5,280
14,21.7,210
20,23.5,250
10,24.3,200
20,21.8,220
18,26.1,240
20,14.7,210
18,28.2,260
12,37.8,260
18,27.8,240
18,25.7,250
10,27.7,220
12,34.5,250
16,22.2,220
14,40.2,300
12,22.4,210
18,33.8,270
10,32.7,250
12,24.2,210
10,43.3,290
18,21.2,230
20,22.3,240
12,35.7,270
16,19.7,210
10,36.6,260
12,36.6,270
18,18.7,210
10,46.5,300
16,40.7,290
18,25.8,230
14,25.7,230
18,36.2,290
10,45,290
10,42.6,290
18,21.8,210
12,23.9,200
18,27.5,250
12,45.8,300
12,38.4,290
18,30.2,270
10,29.8,210
18,17.5,200
14,26.7,240
10,25.9,200
16,23.3,220
10,27.2,220
12,26.7,230
14,32.2,260
20,20.8,230
14,21.2,210
20,20.7,240
14,35.2,280
12,23.7,210
12,39,270
10,25.7,210
14,25,210
20,36.5,300
20,18.7,230
18,38.5,300
12,28.3,230
14,26.5,210
12,43.8,290
16,27.5,250
