REGRESSION,Column 2,Column 3,Column 4
6.7,33,-52.26,28.3
5.8,36,45.53,150.93
5.8,57,41.85,142.78
6.2,67,29.19,141.15
6,30,-21.66,169.81
6.2,0,23.09,120.58
6.1,139,-20.7,169.92
6,60,22.33,93.58
6,50,-13.64,165.96
6,119,-16.31,-71.66
6.3,197,36.48,70.95
6.1,13,55.72,-155.95
5.9,26,55.75,-155.88
6,58,-5.14,151.77
6,33,-44.6,37.34
5.8,0,-44.2,167.96
6.2,27,36.23,-7.61
5.9,50,36.95,95.5
5.8,46,14.42,56.36
5.8,373,-6.44,127.96
6.1,44,59.79,-149.3
5.8,33,57.2,-153
6.1,4,58.26,-151.25
6,17,58.83,-149.29
6.1,23,56.42,-152.01
6,26,57.17,-152.45
5.9,32,60.05,-148.39
6.1,160,0.4,122.11
6.1,25,56.45,-153.94
6,12,60.36,-146.61
6,10,60.51,-146.7
6.2,35,59.79,-148.67
5.8,22,56.65,-152.82
5.8,51,3.91,96.56
5.8,41,61.62,-147.39
5.9,36,60.11,-146.71
5.8,14,56.85,-152.69
5.8,24,56.3,-154.4
5.8,2,60.25,-146.71
5.8,184,0.02,123.18
5.8,22,56.6,-152.21
5.9,6,61.51,-147.2
6.5,33,-5.42,133.99
6.3,99,-5.07,144.2
5.9,23,45.35,150.5
6.3,49,-3.88,35.06
6.3,22,40.39,139.05
5.9,16,40.55,139.21
5.9,49,-2.73,139.33
5.8,114,-56.45,-27.7
5.8,101,-56.09,-27.55
6,54,-56.17,-27.66
6.5,42,43.43,147.05
6.2,12,38.4,139.26
6.4,76,43.16,146.17
5.9,7,-1.76,149.75
5.8,15,-0.5,122.61
6,26,11.7,144.57
6.3,96,18.31,-100.5
6.5,189,-5.54,129.79
6.4,127,-15.56,167.62
5.9,20,47.09,153.77
5.8,7,46.96,153.8
5.8,4,47.09,153.72
6,4,-27.82,-71.1
5.9,22,14.17,96.12
6.1,7,-41.13,-74.99
5.8,392,-5.48,154.25
6.1,32,-26.37,-71.78
6.2,34,78.15,126.65
6,107,-4.42,144.08
6.1,33,-48.95,164.46
6.3,89,8.9,93.03
5.8,50,29.96,80.46
5.9,41,-10.42,162.42
