seed,model,n_dim,method,significance,metric,value
0,logreg,2,standard,0.01,representative_violation_rate,0.037
0,logreg,2,standard,0.01,rule_count,2.0
0,logreg,2,standard,0.01,candidate_violation_auroc,
0,logreg,2,multibin_noguard,0.01,representative_violation_rate,0.003
0,logreg,2,multibin_noguard,0.01,rule_count,2.0
0,logreg,2,multibin_noguard,0.01,candidate_violation_auroc,0.9608179170642912
0,logreg,2,guarded,0.01,representative_violation_rate,0.0010050251256281408
0,logreg,2,guarded,0.01,rule_count,1.99
0,logreg,2,guarded,0.01,candidate_violation_auroc,0.9608179170642912
0,logreg,2,random_pruned_multibin,0.01,representative_violation_rate,0.003015075376884422
0,logreg,2,random_pruned_multibin,0.01,rule_count,1.99
0,logreg,2,random_pruned_multibin,0.01,candidate_violation_auroc,
0,logreg,2,standard,0.05,representative_violation_rate,0.037
0,logreg,2,standard,0.05,rule_count,2.0
0,logreg,2,standard,0.05,candidate_violation_auroc,
0,logreg,2,multibin_noguard,0.05,representative_violation_rate,0.003
0,logreg,2,multibin_noguard,0.05,rule_count,2.0
0,logreg,2,multibin_noguard,0.05,candidate_violation_auroc,0.9608179170642912
0,logreg,2,guarded,0.05,representative_violation_rate,0.0
0,logreg,2,guarded,0.05,rule_count,1.93
0,logreg,2,guarded,0.05,candidate_violation_auroc,0.9608179170642912
0,logreg,2,random_pruned_multibin,0.05,representative_violation_rate,0.002072538860103627
0,logreg,2,random_pruned_multibin,0.05,rule_count,1.93
0,logreg,2,random_pruned_multibin,0.05,candidate_violation_auroc,
0,logreg,2,standard,0.1,representative_violation_rate,0.037
0,logreg,2,standard,0.1,rule_count,2.0
0,logreg,2,standard,0.1,candidate_violation_auroc,
0,logreg,2,multibin_noguard,0.1,representative_violation_rate,0.003
0,logreg,2,multibin_noguard,0.1,rule_count,2.0
0,logreg,2,multibin_noguard,0.1,candidate_violation_auroc,0.9608179170642912
0,logreg,2,guarded,0.1,representative_violation_rate,0.0
0,logreg,2,guarded,0.1,rule_count,1.814
0,logreg,2,guarded,0.1,candidate_violation_auroc,0.9608179170642912
0,logreg,2,random_pruned_multibin,0.1,representative_violation_rate,0.002205071664829107
0,logreg,2,random_pruned_multibin,0.1,rule_count,1.814
0,logreg,2,random_pruned_multibin,0.1,candidate_violation_auroc,
0,logreg,2,standard,0.2,representative_violation_rate,0.037
0,logreg,2,standard,0.2,rule_count,2.0
0,logreg,2,standard,0.2,candidate_violation_auroc,
0,logreg,2,multibin_noguard,0.2,representative_violation_rate,0.003
0,logreg,2,multibin_noguard,0.2,rule_count,2.0
0,logreg,2,multibin_noguard,0.2,candidate_violation_auroc,0.9608179170642912
0,logreg,2,guarded,0.2,representative_violation_rate,0.0
0,logreg,2,guarded,0.2,rule_count,1.668
0,logreg,2,guarded,0.2,candidate_violation_auroc,0.9608179170642912
0,logreg,2,random_pruned_multibin,0.2,representative_violation_rate,0.0035971223021582736
0,logreg,2,random_pruned_multibin,0.2,rule_count,1.668
0,logreg,2,random_pruned_multibin,0.2,candidate_violation_auroc,
0,logreg,10,standard,0.01,representative_violation_rate,0.024
0,logreg,10,standard,0.01,rule_count,9.444
0,logreg,10,standard,0.01,candidate_violation_auroc,
0,logreg,10,multibin_noguard,0.01,representative_violation_rate,0.005
0,logreg,10,multibin_noguard,0.01,rule_count,9.472
0,logreg,10,multibin_noguard,0.01,candidate_violation_auroc,0.8605713783235389
0,logreg,10,guarded,0.01,representative_violation_rate,0.005035246727089627
0,logreg,10,guarded,0.01,rule_count,9.256
0,logreg,10,guarded,0.01,candidate_violation_auroc,0.8605713783235389
0,logreg,10,random_pruned_multibin,0.01,representative_violation_rate,0.005112474437627812
0,logreg,10,random_pruned_multibin,0.01,rule_count,9.256
0,logreg,10,random_pruned_multibin,0.01,candidate_violation_auroc,
0,logreg,10,standard,0.05,representative_violation_rate,0.024
0,logreg,10,standard,0.05,rule_count,9.444
0,logreg,10,standard,0.05,candidate_violation_auroc,
0,logreg,10,multibin_noguard,0.05,representative_violation_rate,0.005
0,logreg,10,multibin_noguard,0.05,rule_count,9.472
0,logreg,10,multibin_noguard,0.05,candidate_violation_auroc,0.8605713783235389
0,logreg,10,guarded,0.05,representative_violation_rate,0.004246284501061571
0,logreg,10,guarded,0.05,rule_count,8.606
0,logreg,10,guarded,0.05,candidate_violation_auroc,0.8605713783235389
0,logreg,10,random_pruned_multibin,0.05,representative_violation_rate,0.0054585152838427945
0,logreg,10,random_pruned_multibin,0.05,rule_count,8.606
0,logreg,10,random_pruned_multibin,0.05,candidate_violation_auroc,
0,logreg,10,standard,0.1,representative_violation_rate,0.024
0,logreg,10,standard,0.1,rule_count,9.444
0,logreg,10,standard,0.1,candidate_violation_auroc,
0,logreg,10,multibin_noguard,0.1,representative_violation_rate,0.005
0,logreg,10,multibin_noguard,0.1,rule_count,9.472
0,logreg,10,multibin_noguard,0.1,candidate_violation_auroc,0.8605713783235389
0,logreg,10,guarded,0.1,representative_violation_rate,0.004454342984409799
0,logreg,10,guarded,0.1,rule_count,8.05
0,logreg,10,guarded,0.1,candidate_violation_auroc,0.8605713783235389
0,logreg,10,random_pruned_multibin,0.1,representative_violation_rate,0.003500583430571762
