task,dataset,n_features,n_classes,n_cal,seed,significance,n_neighbors,normalize_guard,regression_mode,threshold_value,explanation_type,n_test_instances,mean_standard_rules_per_instance,mean_guarded_rules_per_instance,guard_retention_rate,fraction_instances_fully_filtered,n_instances_fully_filtered,task_skipped,skip_reason,error
binary,pc1req,8,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (4 < 500 cal + 100 train),
binary,haberman,3,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (183 < 500 cal + 100 train),
binary,hepati,19,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (55 < 500 cal + 100 train),
binary,transfusion,4,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (402 < 500 cal + 100 train),
binary,spect,22,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (118 < 500 cal + 100 train),
binary,heartS,13,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (170 < 500 cal + 100 train),
binary,heartH,20,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (193 < 500 cal + 100 train),
binary,heartC,22,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (202 < 500 cal + 100 train),
binary,je4243,8,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (263 < 500 cal + 100 train),
binary,vote,16,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (417 < 500 cal + 100 train),
binary,kc2,21,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (269 < 500 cal + 100 train),
binary,wbc,9,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (363 < 500 cal + 100 train),
binary,kc3,39,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (225 < 500 cal + 100 train),
binary,creditA,42,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (590 < 500 cal + 100 train),
binary,diabetes,8,2,100,0,0.05,5,True,cls,,factual,100,7.55,7.34,0.935031847133758,0.03,3,False,,
binary,diabetes,8,2,100,0,0.05,5,True,cls,,alternative,100,12.59,32.09,0.8823205938960682,0.0,0,False,,
binary,diabetes,8,2,100,0,0.1,5,True,cls,,factual,100,7.55,7.17,0.9180537772087067,0.05,5,False,,
binary,diabetes,8,2,100,0,0.1,5,True,cls,,alternative,100,12.59,29.76,0.8049770083851772,0.01,1,False,,
binary,diabetes,8,2,100,0,0.2,5,True,cls,,factual,100,7.55,6.95,0.8933161953727506,0.06,6,False,,
binary,diabetes,8,2,100,0,0.2,5,True,cls,,alternative,100,12.59,28.17,0.7490029247540547,0.02,2,False,,
binary,diabetes,8,2,300,0,0.05,5,True,cls,,factual,100,7.77,7.63,0.9633838383838383,0.02,2,False,,
binary,diabetes,8,2,300,0,0.05,5,True,cls,,alternative,100,12.57,38.71,0.8962722852512156,0.0,0,False,,
binary,diabetes,8,2,300,0,0.1,5,True,cls,,factual,100,7.77,7.28,0.9309462915601023,0.03,3,False,,
binary,diabetes,8,2,300,0,0.1,5,True,cls,,alternative,100,12.57,34.71,0.7908407382091592,0.0,0,False,,
binary,diabetes,8,2,300,0,0.2,5,True,cls,,factual,100,7.77,6.81,0.8686224489795918,0.09,9,False,,
binary,diabetes,8,2,300,0,0.2,5,True,cls,,alternative,100,12.57,30.96,0.6907630522088354,0.01,1,False,,
binary,diabetes,8,2,500,0,0.05,5,True,cls,,factual,100,7.49,7.53,0.9507575757575758,0.03,3,False,,
binary,diabetes,8,2,500,0,0.05,5,True,cls,,alternative,100,12.77,34.19,0.8339024390243902,0.0,0,False,,
binary,diabetes,8,2,500,0,0.1,5,True,cls,,factual,100,7.49,7.27,0.920253164556962,0.06,6,False,,
binary,diabetes,8,2,500,0,0.1,5,True,cls,,alternative,100,12.77,31.97,0.7683249218937755,0.0,0,False,,
binary,diabetes,8,2,500,0,0.2,5,True,cls,,factual,100,7.49,6.64,0.8645833333333334,0.09,9,False,,
binary,diabetes,8,2,500,0,0.2,5,True,cls,,alternative,100,12.77,27.5,0.6405776846028418,0.04,4,False,,
binary,diabetes,8,2,100,1,0.05,5,True,cls,,factual,100,7.29,7.13,0.9094387755102041,0.03,3,False,,
binary,diabetes,8,2,100,1,0.05,5,True,cls,,alternative,100,12.73,30.77,0.8811569301260023,0.01,1,False,,
binary,diabetes,8,2,100,1,0.1,5,True,cls,,factual,100,7.29,6.56,0.841025641025641,0.09,9,False,,
binary,diabetes,8,2,100,1,0.1,5,True,cls,,alternative,100,12.73,27.62,0.7769338959212377,0.01,1,False,,
binary,diabetes,8,2,100,1,0.2,5,True,cls,,factual,100,7.29,6.12,0.7866323907455013,0.13,13,False,,
binary,diabetes,8,2,100,1,0.2,5,True,cls,,alternative,100,12.73,23.88,0.6582138919514884,0.02,2,False,,
binary,diabetes,8,2,300,1,0.05,5,True,cls,,factual,100,7.49,7.34,0.939820742637644,0.04,4,False,,
binary,diabetes,8,2,300,1,0.05,5,True,cls,,alternative,100,11.27,34.39,0.839599609375,0.01,1,False,,
binary,diabetes,8,2,300,1,0.1,5,True,cls,,factual,100,7.49,6.8,0.8831168831168831,0.06,6,False,,
binary,diabetes,8,2,300,1,0.1,5,True,cls,,alternative,100,11.27,31.43,0.7504775549188156,0.02,2,False,,
binary,diabetes,8,2,300,1,0.2,5,True,cls,,factual,100,7.49,5.71,0.7513157894736842,0.13,13,False,,
binary,diabetes,8,2,300,1,0.2,5,True,cls,,alternative,100,11.27,24.97,0.573100757401882,0.04,4,False,,
binary,diabetes,8,2,500,1,0.05,5,True,cls,,factual,100,7.19,7.08,0.9303547963206308,0.04,4,False,,
binary,diabetes,8,2,500,1,0.05,5,True,cls,,alternative,100,12.76,35.1,0.8274398868458275,0.01,1,False,,
binary,diabetes,8,2,500,1,0.1,5,True,cls,,factual,100,7.19,6.53,0.8569553805774278,0.06,6,False,,
binary,diabetes,8,2,500,1,0.1,5,True,cls,,alternative,100,12.76,30.28,0.6906934306569343,0.03,3,False,,
binary,diabetes,8,2,500,1,0.2,5,True,cls,,factual,100,7.19,5.46,0.718421052631579,0.17,17,False,,
binary,diabetes,8,2,500,1,0.2,5,True,cls,,alternative,100,12.76,23.99,0.5264428351985956,0.05,5,False,,
binary,diabetes,8,2,100,2,0.05,5,True,cls,,factual,100,6.37,6.91,0.9718706047819972,0.0,0,False,,
binary,diabetes,8,2,100,2,0.05,5,True,cls,,alternative,100,11.0,27.98,0.9500848896434635,0.0,0,False,,
binary,diabetes,8,2,100,2,0.1,5,True,cls,,factual,100,6.37,6.67,0.9315642458100558,0.01,1,False,,
binary,diabetes,8,2,100,2,0.1,5,True,cls,,alternative,100,11.0,26.71,0.8780407626561473,0.0,0,False,,
binary,diabetes,8,2,100,2,0.2,5,True,cls,,factual,100,6.37,5.88,0.8364153627311522,0.07,7,False,,
binary,diabetes,8,2,100,2,0.2,5,True,cls,,alternative,100,11.0,23.25,0.7279273638071384,0.01,1,False,,
binary,diabetes,8,2,300,2,0.05,5,True,cls,,factual,100,6.37,7.09,0.9659400544959128,0.01,1,False,,
binary,diabetes,8,2,300,2,0.05,5,True,cls,,alternative,100,12.39,27.89,0.8718349484213817,0.0,0,False,,
binary,diabetes,8,2,300,2,0.1,5,True,cls,,factual,100,6.37,6.43,0.8905817174515236,0.06,6,False,,
binary,diabetes,8,2,300,2,0.1,5,True,cls,,alternative,100,12.39,23.91,0.7015845070422535,0.0,0,False,,
binary,diabetes,8,2,300,2,0.2,5,True,cls,,factual,100,6.37,5.75,0.796398891966759,0.13,13,False,,
binary,diabetes,8,2,300,2,0.2,5,True,cls,,alternative,100,12.39,19.85,0.5507769145394007,0.03,3,False,,
binary,diabetes,8,2,500,2,0.05,5,True,cls,,factual,100,7.08,7.22,0.95,0.02,2,False,,
binary,diabetes,8,2,500,2,0.05,5,True,cls,,alternative,100,12.47,30.06,0.8561663343776702,0.0,0,False,,
binary,diabetes,8,2,500,2,0.1,5,True,cls,,factual,100,7.08,6.97,0.921957671957672,0.02,2,False,,
binary,diabetes,8,2,500,2,0.1,5,True,cls,,alternative,100,12.47,28.07,0.7814587973273942,0.0,0,False,,
binary,diabetes,8,2,500,2,0.2,5,True,cls,,factual,100,7.08,6.03,0.7997347480106101,0.11,11,False,,
