task,dataset,n_features,n_classes,n_cal,seed,significance,n_neighbors,use_bonferroni,audit_field_completeness,fraction_instances_fully_filtered,n_instances_fully_filtered,mean_intervals_removed_per_instance,n_test_instances,task_skipped,skip_reason,error
binary,pc1req,8,2.0,0,0,,,,False,,-1,,0,True,not enough remaining samples after test (4 < 500 cal + 100 train),
binary,haberman,3,2.0,0,0,,,,False,,-1,,0,True,not enough remaining samples after test (183 < 500 cal + 100 train),
multiclass,iris,4,3.0,0,0,,,,False,,-1,,0,True,not enough remaining samples after test (50 < 500 cal + 100 train),
multiclass,tae,5,3.0,0,0,,,,False,,-1,,0,True,not enough remaining samples after test (51 < 500 cal + 100 train),
regression,HousingData,13,,0,0,,,,False,,-1,,0,True,not enough remaining samples after test (406 < 500 cal + 100 train),
regression,abalone,8,,100,0,0.1,5.0,False,True,0.08,8,22.73,100,False,,
regression,abalone,8,,300,0,0.1,5.0,False,True,0.05,5,30.21,100,False,,
regression,abalone,8,,500,0,0.1,5.0,False,True,0.04,4,33.71,100,False,,
binary,pc1req,8,2.0,0,1,,,,False,,-1,,0,True,not enough remaining samples after test (4 < 500 cal + 100 train),
binary,haberman,3,2.0,0,1,,,,False,,-1,,0,True,not enough remaining samples after test (183 < 500 cal + 100 train),
multiclass,iris,4,3.0,0,1,,,,False,,-1,,0,True,not enough remaining samples after test (50 < 500 cal + 100 train),
multiclass,tae,5,3.0,0,1,,,,False,,-1,,0,True,not enough remaining samples after test (51 < 500 cal + 100 train),
regression,HousingData,13,,0,1,,,,False,,-1,,0,True,not enough remaining samples after test (406 < 500 cal + 100 train),
regression,abalone,8,,100,1,0.1,5.0,False,True,0.02,2,12.43,100,False,,
regression,abalone,8,,300,1,0.1,5.0,False,True,0.03,3,24.63,100,False,,
regression,abalone,8,,500,1,0.1,5.0,False,True,0.03,3,28.98,100,False,,
