dataset,model,seed,instance_id,method,mode,significance,metric,value
scenario_a,logreg,0,24,guarded,factual,0.01,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.01,runtime_ms,70.27629998628981
scenario_a,logreg,0,24,standard,factual,0.01,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.01,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.01,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.01,runtime_ms,24.38739998615347
scenario_a,logreg,0,24,standard,factual,0.01,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.01,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.01,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.01,runtime_ms,23.702200007392094
scenario_a,logreg,0,24,standard,factual,0.01,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.01,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.01,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.01,runtime_ms,36.03089999523945
scenario_a,logreg,0,24,standard,factual,0.01,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.01,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.01,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.01,runtime_ms,46.29299999214709
scenario_a,logreg,0,24,standard,factual,0.01,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.01,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.01,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.01,runtime_ms,36.62230001646094
scenario_a,logreg,0,24,standard,factual,0.01,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.01,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.01,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.05,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.05,runtime_ms,41.70460000750609
scenario_a,logreg,0,24,standard,factual,0.05,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.05,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.05,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.05,runtime_ms,44.598100008443
scenario_a,logreg,0,24,standard,factual,0.05,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.05,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.05,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.05,runtime_ms,42.23490000003949
scenario_a,logreg,0,24,standard,factual,0.05,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.05,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.05,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.05,runtime_ms,30.84130000206642
scenario_a,logreg,0,24,standard,factual,0.05,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.05,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.05,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.05,runtime_ms,24.606099992524832
scenario_a,logreg,0,24,standard,factual,0.05,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.05,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.05,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.05,runtime_ms,31.474499992327765
scenario_a,logreg,0,24,standard,factual,0.05,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.05,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.05,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.1,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.1,runtime_ms,23.14840001054108
scenario_a,logreg,0,24,standard,factual,0.1,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.1,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.1,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.1,runtime_ms,26.00969999912195
scenario_a,logreg,0,24,standard,factual,0.1,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.1,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.1,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.1,runtime_ms,22.907700011273846
scenario_a,logreg,0,24,standard,factual,0.1,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.1,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.1,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.1,runtime_ms,29.809100000420585
scenario_a,logreg,0,24,standard,factual,0.1,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.1,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.1,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.1,runtime_ms,24.60469998186454
scenario_a,logreg,0,24,standard,factual,0.1,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.1,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.1,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.1,runtime_ms,32.229899981757626
scenario_a,logreg,0,24,standard,factual,0.1,rule_count,4.0
scenario_a,logreg,0,24,standard,factual,0.1,violation_rate,0.0
scenario_a,logreg,0,24,standard,factual,0.1,runtime_ms,81.9597999798134
scenario_a,logreg,0,24,guarded,factual,0.2,rule_count,2.0
scenario_a,logreg,0,24,guarded,factual,0.2,violation_rate,0.0
scenario_a,logreg,0,24,guarded,factual,0.2,runtime_ms,29.395899997325614
