metric,model,mode,significance,guarded_mean,standard_mean,multibin_noguard_mean,median_difference_guarded_minus_standard,wilcoxon_p_value
constraint_rule_count,logreg,factual,0.01,1.982,2.0,1.9992,-0.015000000000000013,0.001953125
constraint_rule_count,rf,factual,0.01,1.9789999999999996,1.9880000000000002,1.9986000000000002,-0.008000000000000007,0.03515625
constraint_rule_count,logreg,factual,0.05,1.9078,2.0,1.9992,-0.08700000000000008,0.001953125
constraint_rule_count,rf,factual,0.05,1.8938,1.9880000000000002,1.9986000000000002,-0.09100000000000008,0.001953125
constraint_rule_count,logreg,factual,0.1,1.8004000000000002,2.0,1.9992,-0.18799999999999994,0.001953125
constraint_rule_count,rf,factual,0.1,1.7742,1.9880000000000002,1.9986000000000002,-0.22099999999999997,0.001953125
constraint_rule_count,logreg,factual,0.2,1.5968,2.0,1.9992,-0.4049999999999999,0.001953125
constraint_rule_count,rf,factual,0.2,1.5578,1.9880000000000002,1.9986000000000002,-0.42499999999999993,0.001953125
fraction_nonempty,logreg,factual,0.01,0.9959999999999999,1.0,0.9998000000000001,-0.0030000000000000027,0.0078125
fraction_nonempty,rf,factual,0.01,0.9972,1.0,0.9998000000000001,-0.0020000000000000018,0.015625
fraction_nonempty,logreg,factual,0.05,0.9842000000000001,1.0,0.9998000000000001,-0.014000000000000012,0.001953125
fraction_nonempty,rf,factual,0.05,0.9865999999999999,1.0,0.9998000000000001,-0.013000000000000012,0.001953125
fraction_nonempty,logreg,factual,0.1,0.9572,1.0,0.9998000000000001,-0.04300000000000004,0.001953125
fraction_nonempty,rf,factual,0.1,0.9652000000000001,1.0,0.9998000000000001,-0.030000000000000027,0.001953125
fraction_nonempty,logreg,factual,0.2,0.9014000000000001,1.0,0.9998000000000001,-0.09699999999999998,0.001953125
fraction_nonempty,rf,factual,0.2,0.9141999999999999,1.0,0.9998000000000001,-0.08499999999999996,0.001953125
rule_count,logreg,factual,0.01,8.747,8.5578,8.898,0.18900000000000095,0.021484375
rule_count,rf,factual,0.01,9.3578,8.869800000000001,9.504999999999999,0.532,0.001953125
rule_count,logreg,factual,0.05,8.2464,8.5578,8.898,-0.2519999999999998,0.001953125
rule_count,rf,factual,0.05,8.7944,8.869800000000001,9.504999999999999,-0.04199999999999893,0.322265625
rule_count,logreg,factual,0.1,7.645599999999999,8.5578,8.898,-0.8550000000000009,0.001953125
rule_count,rf,factual,0.1,8.095600000000001,8.869800000000001,9.504999999999999,-0.7289999999999992,0.001953125
rule_count,logreg,factual,0.2,6.646399999999998,8.5578,8.898,-1.8600000000000008,0.001953125
rule_count,rf,factual,0.2,6.9872,8.869800000000001,9.504999999999999,-1.9460000000000002,0.001953125
runtime_ms,logreg,factual,0.01,54.991921339987314,31.09096238051425,79.54701113997726,22.903965599107323,0.001953125
runtime_ms,rf,factual,0.01,561.5704352800443,1719.7899804599,160.6475225798844,-38.58399179944536,0.064453125
runtime_ms,logreg,factual,0.05,55.44446624002303,31.09096238051425,79.54701113997726,23.155684198078234,0.001953125
runtime_ms,rf,factual,0.05,86.40157785980846,1719.7899804599,160.6475225798844,-43.31933290074812,0.001953125
runtime_ms,logreg,factual,0.1,793.514418139879,31.09096238051425,79.54701113997726,24.40562319982564,0.001953125
runtime_ms,rf,factual,0.1,2507.0851332199236,1719.7899804599,160.6475225798844,-32.5532126998005,0.322265625
runtime_ms,logreg,factual,0.2,7457.66377772019,31.09096238051425,79.54701113997726,23.829713000304764,0.001953125
runtime_ms,rf,factual,0.2,86.22940945979208,1719.7899804599,160.6475225798844,-43.66218540008413,0.001953125
violation_rate,logreg,factual,0.01,0.1447,0.028300000000000002,0.14600000000000002,0.113,0.001953125
violation_rate,rf,factual,0.01,0.1606,0.028500000000000004,0.16229999999999997,0.131,0.001953125
violation_rate,logreg,factual,0.05,0.1366,0.028300000000000002,0.14600000000000002,0.10200000000000001,0.001953125
violation_rate,rf,factual,0.05,0.1516,0.028500000000000004,0.16229999999999997,0.1235,0.001953125
violation_rate,logreg,factual,0.1,0.12669999999999998,0.028300000000000002,0.14600000000000002,0.093,0.001953125
violation_rate,rf,factual,0.1,0.13830000000000003,0.028500000000000004,0.16229999999999997,0.10650000000000001,0.001953125
violation_rate,logreg,factual,0.2,0.1106,0.028300000000000002,0.14600000000000002,0.079,0.001953125
violation_rate,rf,factual,0.2,0.1169,0.028500000000000004,0.16229999999999997,0.0865,0.001953125
