seed,model,instance_id,method,significance,top1_correct,top2_correct,noise_rules,total_rules,noise_rule_fraction
0,logreg,1,standard_multibin,,1,0,4,7,0.5714285714285714
0,logreg,1,guarded,0.05,1,1,2,4,0.5
0,logreg,1,guarded,0.1,1,1,1,3,0.3333333333333333
0,logreg,1,guarded,0.2,1,0,1,2,0.5
0,logreg,2,standard_multibin,,1,1,4,7,0.5714285714285714
0,logreg,2,guarded,0.05,1,1,2,4,0.5
0,logreg,2,guarded,0.1,1,1,2,4,0.5
0,logreg,2,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,4,standard_multibin,,1,1,4,7,0.5714285714285714
0,logreg,4,guarded,0.05,1,1,2,4,0.5
0,logreg,4,guarded,0.1,1,1,2,4,0.5
0,logreg,4,guarded,0.2,0,0,0,0,0.0
0,logreg,8,standard_multibin,,1,1,4,8,0.5
0,logreg,8,guarded,0.05,1,1,0,2,0.0
0,logreg,8,guarded,0.1,1,1,0,2,0.0
0,logreg,8,guarded,0.2,1,1,0,2,0.0
0,logreg,12,standard_multibin,,0,0,2,4,0.5
0,logreg,12,guarded,0.05,1,1,2,4,0.5
0,logreg,12,guarded,0.1,1,1,2,4,0.5
0,logreg,12,guarded,0.2,1,1,2,4,0.5
0,logreg,13,standard_multibin,,1,1,4,6,0.6666666666666666
0,logreg,13,guarded,0.05,1,1,2,4,0.5
0,logreg,13,guarded,0.1,1,1,2,4,0.5
0,logreg,13,guarded,0.2,1,1,2,4,0.5
0,logreg,15,standard_multibin,,1,0,4,7,0.5714285714285714
0,logreg,15,guarded,0.05,1,1,2,4,0.5
0,logreg,15,guarded,0.1,1,0,2,3,0.6666666666666666
0,logreg,15,guarded,0.2,1,1,0,1,0.0
0,logreg,24,standard_multibin,,1,1,4,8,0.5
0,logreg,24,guarded,0.05,1,1,2,4,0.5
0,logreg,24,guarded,0.1,1,1,2,4,0.5
0,logreg,24,guarded,0.2,1,1,2,4,0.5
0,logreg,25,standard_multibin,,0,0,3,5,0.6
0,logreg,25,guarded,0.05,1,1,2,4,0.5
0,logreg,25,guarded,0.1,1,1,2,4,0.5
0,logreg,25,guarded,0.2,1,1,2,4,0.5
0,logreg,26,standard_multibin,,0,0,4,6,0.6666666666666666
0,logreg,26,guarded,0.05,1,1,2,4,0.5
0,logreg,26,guarded,0.1,1,1,2,4,0.5
0,logreg,26,guarded,0.2,1,1,2,4,0.5
0,logreg,31,standard_multibin,,1,1,4,6,0.6666666666666666
0,logreg,31,guarded,0.05,1,1,2,4,0.5
0,logreg,31,guarded,0.1,1,1,2,4,0.5
0,logreg,31,guarded,0.2,1,1,2,4,0.5
0,logreg,32,standard_multibin,,1,1,0,2,0.0
0,logreg,32,guarded,0.05,1,1,0,2,0.0
0,logreg,32,guarded,0.1,1,1,0,1,0.0
0,logreg,32,guarded,0.2,1,1,0,1,0.0
0,logreg,37,standard_multibin,,1,1,4,8,0.5
0,logreg,37,guarded,0.05,1,1,2,4,0.5
0,logreg,37,guarded,0.1,1,1,2,4,0.5
0,logreg,37,guarded,0.2,1,1,2,4,0.5
0,logreg,38,standard_multibin,,1,1,0,4,0.0
0,logreg,38,guarded,0.05,1,1,1,3,0.3333333333333333
0,logreg,38,guarded,0.1,1,1,0,2,0.0
0,logreg,38,guarded,0.2,1,1,0,2,0.0
0,logreg,40,standard_multibin,,1,1,4,8,0.5
0,logreg,40,guarded,0.05,1,1,2,4,0.5
0,logreg,40,guarded,0.1,1,1,1,3,0.3333333333333333
0,logreg,40,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,42,standard_multibin,,1,1,4,6,0.6666666666666666
0,logreg,42,guarded,0.05,1,1,2,4,0.5
0,logreg,42,guarded,0.1,1,1,2,4,0.5
0,logreg,42,guarded,0.2,1,1,2,4,0.5
0,logreg,43,standard_multibin,,1,1,4,6,0.6666666666666666
0,logreg,43,guarded,0.05,1,1,2,4,0.5
0,logreg,43,guarded,0.1,1,1,2,4,0.5
0,logreg,43,guarded,0.2,1,1,2,4,0.5
0,logreg,46,standard_multibin,,1,1,4,8,0.5
0,logreg,46,guarded,0.05,1,1,2,4,0.5
0,logreg,46,guarded,0.1,1,1,2,4,0.5
0,logreg,46,guarded,0.2,1,1,2,4,0.5
0,logreg,51,standard_multibin,,1,1,0,4,0.0
0,logreg,51,guarded,0.05,1,1,0,2,0.0
0,logreg,51,guarded,0.1,1,1,0,2,0.0
0,logreg,51,guarded,0.2,1,1,0,2,0.0
0,logreg,52,standard_multibin,,1,1,0,4,0.0
0,logreg,52,guarded,0.05,1,1,1,3,0.3333333333333333
0,logreg,52,guarded,0.1,1,1,0,2,0.0
0,logreg,52,guarded,0.2,1,1,0,2,0.0
0,logreg,53,standard_multibin,,1,1,0,4,0.0
0,logreg,53,guarded,0.05,1,1,1,3,0.3333333333333333
0,logreg,53,guarded,0.1,1,1,0,2,0.0
0,logreg,53,guarded,0.2,1,1,0,2,0.0
0,logreg,55,standard_multibin,,1,0,2,5,0.4
0,logreg,55,guarded,0.05,1,1,2,4,0.5
0,logreg,55,guarded,0.1,1,1,1,3,0.3333333333333333
0,logreg,55,guarded,0.2,1,1,0,1,0.0
0,logreg,56,standard_multibin,,1,1,4,7,0.5714285714285714
0,logreg,56,guarded,0.05,1,1,2,4,0.5
0,logreg,56,guarded,0.1,1,0,2,3,0.6666666666666666
0,logreg,56,guarded,0.2,0,0,0,0,0.0
0,logreg,57,standard_multibin,,1,1,0,4,0.0
0,logreg,57,guarded,0.05,1,1,0,2,0.0
0,logreg,57,guarded,0.1,1,1,0,2,0.0
0,logreg,57,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,59,standard_multibin,,1,1,1,3,0.3333333333333333
0,logreg,59,guarded,0.05,1,1,1,3,0.3333333333333333
0,logreg,59,guarded,0.1,1,1,0,2,0.0
0,logreg,59,guarded,0.2,1,1,0,1,0.0
0,logreg,60,standard_multibin,,1,1,3,7,0.42857142857142855
0,logreg,60,guarded,0.05,1,1,2,4,0.5
0,logreg,60,guarded,0.1,1,1,2,4,0.5
0,logreg,60,guarded,0.2,1,1,2,4,0.5
0,logreg,68,standard_multibin,,0,0,3,5,0.6
0,logreg,68,guarded,0.05,1,1,2,4,0.5
0,logreg,68,guarded,0.1,1,1,2,4,0.5
0,logreg,68,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,70,standard_multibin,,1,0,4,7,0.5714285714285714
0,logreg,70,guarded,0.05,1,1,2,4,0.5
0,logreg,70,guarded,0.1,1,1,2,4,0.5
0,logreg,70,guarded,0.2,1,1,2,4,0.5
0,logreg,71,standard_multibin,,1,1,2,4,0.5
0,logreg,71,guarded,0.05,1,0,1,2,0.5
0,logreg,71,guarded,0.1,1,0,1,2,0.5
0,logreg,71,guarded,0.2,1,1,0,1,0.0
0,logreg,72,standard_multibin,,1,1,3,6,0.5
0,logreg,72,guarded,0.05,1,1,2,4,0.5
0,logreg,72,guarded,0.1,1,1,2,4,0.5
0,logreg,72,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,73,standard_multibin,,1,1,0,4,0.0
0,logreg,73,guarded,0.05,1,1,2,4,0.5
0,logreg,73,guarded,0.1,1,1,1,3,0.3333333333333333
0,logreg,73,guarded,0.2,1,1,0,2,0.0
0,logreg,75,standard_multibin,,1,1,4,8,0.5
0,logreg,75,guarded,0.05,1,1,2,4,0.5
0,logreg,75,guarded,0.1,1,1,2,4,0.5
0,logreg,75,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,76,standard_multibin,,0,0,3,5,0.6
0,logreg,76,guarded,0.05,1,1,2,4,0.5
0,logreg,76,guarded,0.1,1,1,1,3,0.3333333333333333
0,logreg,76,guarded,0.2,1,0,1,2,0.5
0,logreg,77,standard_multibin,,1,1,3,7,0.42857142857142855
0,logreg,77,guarded,0.05,1,1,2,4,0.5
0,logreg,77,guarded,0.1,1,1,1,3,0.3333333333333333
0,logreg,77,guarded,0.2,1,1,1,3,0.3333333333333333
0,logreg,80,standard_multibin,,1,1,3,7,0.42857142857142855
0,logreg,80,guarded,0.05,1,1,2,4,0.5
