seed,model,instance_id,draw,method,stability_jaccard
0,logreg,87,0,standard_multibin,0.1
0,logreg,87,0,guarded,0.0
0,logreg,123,0,standard_multibin,0.0
0,logreg,123,0,guarded,0.0
0,logreg,128,0,standard_multibin,0.16666666666666666
0,logreg,128,0,guarded,0.3333333333333333
0,logreg,155,0,standard_multibin,0.3333333333333333
0,logreg,155,0,guarded,0.3333333333333333
0,logreg,199,0,standard_multibin,0.0
0,logreg,199,0,guarded,0.0
0,logreg,204,0,standard_multibin,0.0
0,logreg,204,0,guarded,0.0
0,logreg,214,0,standard_multibin,0.0
0,logreg,214,0,guarded,0.0
0,logreg,230,0,standard_multibin,0.0
0,logreg,230,0,guarded,0.0
0,logreg,234,0,standard_multibin,0.09090909090909091
0,logreg,234,0,guarded,0.0
0,logreg,245,0,standard_multibin,0.0
0,logreg,245,0,guarded,0.0
0,logreg,261,0,standard_multibin,0.0
0,logreg,261,0,guarded,0.0
0,logreg,274,0,standard_multibin,0.08333333333333333
0,logreg,274,0,guarded,0.0
0,logreg,334,0,standard_multibin,0.0
0,logreg,334,0,guarded,0.0
0,logreg,352,0,standard_multibin,0.0
0,logreg,352,0,guarded,0.0
0,logreg,451,0,standard_multibin,0.09090909090909091
0,logreg,451,0,guarded,0.0
0,logreg,499,0,standard_multibin,0.0
0,logreg,499,0,guarded,0.0
0,logreg,87,1,standard_multibin,0.18181818181818182
0,logreg,87,1,guarded,0.16666666666666666
0,logreg,123,1,standard_multibin,0.2222222222222222
0,logreg,123,1,guarded,0.14285714285714285
0,logreg,128,1,standard_multibin,0.16666666666666666
0,logreg,128,1,guarded,0.25
0,logreg,155,1,standard_multibin,0.3333333333333333
0,logreg,155,1,guarded,0.3333333333333333
0,logreg,199,1,standard_multibin,0.6
0,logreg,199,1,guarded,0.0
0,logreg,204,1,standard_multibin,0.3333333333333333
0,logreg,204,1,guarded,0.0
0,logreg,214,1,standard_multibin,0.3
0,logreg,214,1,guarded,0.0
0,logreg,230,1,standard_multibin,0.18181818181818182
0,logreg,230,1,guarded,0.0
0,logreg,234,1,standard_multibin,0.07142857142857142
0,logreg,234,1,guarded,0.0
0,logreg,245,1,standard_multibin,0.25
0,logreg,245,1,guarded,0.14285714285714285
0,logreg,261,1,standard_multibin,0.2
0,logreg,261,1,guarded,0.14285714285714285
0,logreg,274,1,standard_multibin,0.2222222222222222
0,logreg,274,1,guarded,0.16666666666666666
0,logreg,334,1,standard_multibin,0.3333333333333333
0,logreg,334,1,guarded,0.25
0,logreg,352,1,standard_multibin,0.3
0,logreg,352,1,guarded,0.16666666666666666
0,logreg,451,1,standard_multibin,0.09090909090909091
0,logreg,451,1,guarded,0.0
0,logreg,499,1,standard_multibin,0.6
0,logreg,499,1,guarded,0.0
0,logreg,87,2,standard_multibin,0.18181818181818182
0,logreg,87,2,guarded,0.0
0,logreg,123,2,standard_multibin,0.09090909090909091
0,logreg,123,2,guarded,0.0
0,logreg,128,2,standard_multibin,0.16666666666666666
0,logreg,128,2,guarded,0.0
0,logreg,155,2,standard_multibin,0.14285714285714285
0,logreg,155,2,guarded,0.3333333333333333
0,logreg,199,2,standard_multibin,0.0
0,logreg,199,2,guarded,0.0
0,logreg,204,2,standard_multibin,0.0
0,logreg,204,2,guarded,0.0
0,logreg,214,2,standard_multibin,0.08333333333333333
0,logreg,214,2,guarded,0.0
0,logreg,230,2,standard_multibin,0.07692307692307693
0,logreg,230,2,guarded,0.0
0,logreg,234,2,standard_multibin,0.06666666666666667
0,logreg,234,2,guarded,0.0
0,logreg,245,2,standard_multibin,0.09090909090909091
0,logreg,245,2,guarded,0.0
0,logreg,261,2,standard_multibin,0.08333333333333333
0,logreg,261,2,guarded,0.14285714285714285
0,logreg,274,2,standard_multibin,0.08333333333333333
0,logreg,274,2,guarded,0.0
0,logreg,334,2,standard_multibin,0.09090909090909091
0,logreg,334,2,guarded,0.2
0,logreg,352,2,standard_multibin,0.07692307692307693
0,logreg,352,2,guarded,0.14285714285714285
0,logreg,451,2,standard_multibin,0.0
0,logreg,451,2,guarded,0.0
0,logreg,499,2,standard_multibin,0.0
0,logreg,499,2,guarded,0.0
0,rf,87,0,standard_multibin,0.2222222222222222
0,rf,87,0,guarded,0.0
0,rf,123,0,standard_multibin,0.14285714285714285
0,rf,123,0,guarded,0.0
0,rf,128,0,standard_multibin,0.2857142857142857
0,rf,128,0,guarded,0.3333333333333333
0,rf,155,0,standard_multibin,0.2857142857142857
0,rf,155,0,guarded,1.0
0,rf,199,0,standard_multibin,0.2857142857142857
0,rf,199,0,guarded,0.0
0,rf,204,0,standard_multibin,0.3
0,rf,204,0,guarded,0.0
0,rf,214,0,standard_multibin,0.0
0,rf,214,0,guarded,0.0
0,rf,230,0,standard_multibin,0.09090909090909091
0,rf,230,0,guarded,0.0
0,rf,234,0,standard_multibin,0.3
0,rf,234,0,guarded,0.0
0,rf,245,0,standard_multibin,0.0
0,rf,245,0,guarded,0.0
0,rf,261,0,standard_multibin,0.2
0,rf,261,0,guarded,0.14285714285714285
0,rf,274,0,standard_multibin,0.09090909090909091
0,rf,274,0,guarded,0.0
0,rf,334,0,standard_multibin,0.2222222222222222
0,rf,334,0,guarded,0.2
0,rf,352,0,standard_multibin,0.2222222222222222
0,rf,352,0,guarded,0.14285714285714285
0,rf,451,0,standard_multibin,0.2857142857142857
0,rf,451,0,guarded,0.0
0,rf,499,0,standard_multibin,0.09090909090909091
0,rf,499,0,guarded,0.0
0,rf,87,1,standard_multibin,0.09090909090909091
0,rf,87,1,guarded,0.0
0,rf,123,1,standard_multibin,0.125
0,rf,123,1,guarded,0.0
0,rf,128,1,standard_multibin,0.1111111111111111
0,rf,128,1,guarded,0.0
0,rf,155,1,standard_multibin,0.1111111111111111
0,rf,155,1,guarded,1.0
0,rf,199,1,standard_multibin,0.08333333333333333
0,rf,199,1,guarded,0.0
0,rf,204,1,standard_multibin,0.07142857142857142
0,rf,204,1,guarded,0.0
0,rf,214,1,standard_multibin,0.0
0,rf,214,1,guarded,0.0
0,rf,230,1,standard_multibin,0.2
0,rf,230,1,guarded,0.0
0,rf,234,1,standard_multibin,0.08333333333333333
0,rf,234,1,guarded,0.0
0,rf,245,1,standard_multibin,0.1111111111111111
0,rf,245,1,guarded,0.0
0,rf,261,1,standard_multibin,0.1
0,rf,261,1,guarded,0.14285714285714285
0,rf,274,1,standard_multibin,0.1
0,rf,274,1,guarded,0.0
0,rf,334,1,standard_multibin,0.09090909090909091
0,rf,334,1,guarded,0.16666666666666666
0,rf,352,1,standard_multibin,0.09090909090909091
0,rf,352,1,guarded,0.14285714285714285
0,rf,451,1,standard_multibin,0.1
0,rf,451,1,guarded,0.0
0,rf,499,1,standard_multibin,0.1
0,rf,499,1,guarded,0.0
0,rf,87,2,standard_multibin,0.0
0,rf,87,2,guarded,0.0
0,rf,123,2,standard_multibin,0.0
0,rf,123,2,guarded,0.0
0,rf,128,2,standard_multibin,0.0
0,rf,128,2,guarded,0.0
0,rf,155,2,standard_multibin,0.0
0,rf,155,2,guarded,0.0
0,rf,199,2,standard_multibin,0.0
0,rf,199,2,guarded,0.0
0,rf,204,2,standard_multibin,0.0
0,rf,204,2,guarded,0.0
0,rf,214,2,standard_multibin,0.0
0,rf,214,2,guarded,0.0
0,rf,230,2,standard_multibin,0.0
0,rf,230,2,guarded,0.0
0,rf,234,2,standard_multibin,0.0
0,rf,234,2,guarded,0.0
0,rf,245,2,standard_multibin,0.0
0,rf,245,2,guarded,0.0
0,rf,261,2,standard_multibin,0.0
0,rf,261,2,guarded,0.0
0,rf,274,2,standard_multibin,0.0
0,rf,274,2,guarded,0.0
0,rf,334,2,standard_multibin,0.0
0,rf,334,2,guarded,0.0
0,rf,352,2,standard_multibin,0.0
0,rf,352,2,guarded,0.0
0,rf,451,2,standard_multibin,0.0
0,rf,451,2,guarded,0.0
0,rf,499,2,standard_multibin,0.0
0,rf,499,2,guarded,0.0
1,logreg,17,0,standard_multibin,0.2
1,logreg,17,0,guarded,0.0
1,logreg,23,0,standard_multibin,0.125
1,logreg,23,0,guarded,0.0
1,logreg,44,0,standard_multibin,0.1111111111111111
1,logreg,44,0,guarded,0.0
1,logreg,59,0,standard_multibin,0.25
1,logreg,59,0,guarded,0.0
1,logreg,80,0,standard_multibin,0.2
1,logreg,80,0,guarded,0.0
1,logreg,127,0,standard_multibin,0.2857142857142857
1,logreg,127,0,guarded,0.3333333333333333
1,logreg,139,0,standard_multibin,0.16666666666666666
1,logreg,139,0,guarded,0.0
1,logreg,161,0,standard_multibin,0.125
1,logreg,161,0,guarded,0.0
1,logreg,184,0,standard_multibin,0.42857142857142855
1,logreg,184,0,guarded,0.0
1,logreg,299,0,standard_multibin,0.125
1,logreg,299,0,guarded,0.0
1,logreg,323,0,standard_multibin,0.5
1,logreg,323,0,guarded,0.0
1,logreg,343,0,standard_multibin,0.5
1,logreg,343,0,guarded,0.0
1,logreg,347,0,standard_multibin,0.25
1,logreg,347,0,guarded,0.2
1,logreg,351,0,standard_multibin,0.6
1,logreg,351,0,guarded,0.0
1,logreg,435,0,standard_multibin,0.25
1,logreg,435,0,guarded,0.16666666666666666
1,logreg,446,0,standard_multibin,0.2857142857142857
1,logreg,446,0,guarded,0.2
1,logreg,17,1,standard_multibin,0.08333333333333333
1,logreg,17,1,guarded,0.0
1,logreg,23,1,standard_multibin,0.1
1,logreg,23,1,guarded,0.0
1,logreg,44,1,standard_multibin,0.25
1,logreg,44,1,guarded,0.0
1,logreg,59,1,standard_multibin,0.1111111111111111
1,logreg,59,1,guarded,0.0
1,logreg,80,1,standard_multibin,1.0
1,logreg,80,1,guarded,0.25
1,logreg,127,1,standard_multibin,0.3333333333333333
1,logreg,127,1,guarded,0.25
1,logreg,139,1,standard_multibin,0.3333333333333333
1,logreg,139,1,guarded,0.16666666666666666
1,logreg,161,1,standard_multibin,0.25
1,logreg,161,1,guarded,1.0
1,logreg,184,1,standard_multibin,0.1111111111111111
1,logreg,184,1,guarded,0.0
1,logreg,299,1,standard_multibin,0.1111111111111111
1,logreg,299,1,guarded,0.0
1,logreg,323,1,standard_multibin,0.0
1,logreg,323,1,guarded,0.0
1,logreg,343,1,standard_multibin,0.0
1,logreg,343,1,guarded,0.0
1,logreg,347,1,standard_multibin,0.25
1,logreg,347,1,guarded,0.2
1,logreg,351,1,standard_multibin,0.1111111111111111
1,logreg,351,1,guarded,0.0
1,logreg,435,1,standard_multibin,0.3333333333333333
1,logreg,435,1,guarded,0.0
1,logreg,446,1,standard_multibin,0.5
1,logreg,446,1,guarded,0.4
1,logreg,17,2,standard_multibin,0.0
1,logreg,17,2,guarded,0.0
1,logreg,23,2,standard_multibin,0.0
1,logreg,23,2,guarded,0.0
1,logreg,44,2,standard_multibin,0.0
1,logreg,44,2,guarded,0.0
1,logreg,59,2,standard_multibin,0.0
1,logreg,59,2,guarded,0.0
1,logreg,80,2,standard_multibin,0.3333333333333333
1,logreg,80,2,guarded,0.0
1,logreg,127,2,standard_multibin,0.0
1,logreg,127,2,guarded,0.0
1,logreg,139,2,standard_multibin,0.2
1,logreg,139,2,guarded,0.0
1,logreg,161,2,standard_multibin,0.14285714285714285
1,logreg,161,2,guarded,0.0
1,logreg,184,2,standard_multibin,0.0
1,logreg,184,2,guarded,0.0
1,logreg,299,2,standard_multibin,0.0
1,logreg,299,2,guarded,0.0
1,logreg,323,2,standard_multibin,0.0
1,logreg,323,2,guarded,0.0
1,logreg,343,2,standard_multibin,0.0
1,logreg,343,2,guarded,0.0
1,logreg,347,2,standard_multibin,0.0
1,logreg,347,2,guarded,0.0
1,logreg,351,2,standard_multibin,0.0
1,logreg,351,2,guarded,0.0
1,logreg,435,2,standard_multibin,0.0
1,logreg,435,2,guarded,0.0
1,logreg,446,2,standard_multibin,0.0
1,logreg,446,2,guarded,0.0
1,rf,17,0,standard_multibin,0.14285714285714285
1,rf,17,0,guarded,0.0
1,rf,23,0,standard_multibin,0.25
1,rf,23,0,guarded,0.0
1,rf,44,0,standard_multibin,0.16666666666666666
1,rf,44,0,guarded,0.0
1,rf,59,0,standard_multibin,0.23076923076923078
1,rf,59,0,guarded,0.0
1,rf,80,0,standard_multibin,0.1
1,rf,80,0,guarded,0.0
1,rf,127,0,standard_multibin,0.3333333333333333
1,rf,127,0,guarded,0.3333333333333333
1,rf,139,0,standard_multibin,0.0
1,rf,139,0,guarded,0.0
1,rf,161,0,standard_multibin,0.1
1,rf,161,0,guarded,0.0
1,rf,184,0,standard_multibin,0.07142857142857142
1,rf,184,0,guarded,0.0
1,rf,299,0,standard_multibin,0.2
1,rf,299,0,guarded,0.0
1,rf,323,0,standard_multibin,0.09090909090909091
1,rf,323,0,guarded,0.0
1,rf,343,0,standard_multibin,0.15384615384615385
1,rf,343,0,guarded,0.0
1,rf,347,0,standard_multibin,0.3
1,rf,347,0,guarded,0.14285714285714285
1,rf,351,0,standard_multibin,0.0
1,rf,351,0,guarded,0.0
1,rf,435,0,standard_multibin,0.25
1,rf,435,0,guarded,0.2
1,rf,446,0,standard_multibin,0.3333333333333333
1,rf,446,0,guarded,0.14285714285714285
1,rf,17,1,standard_multibin,0.14285714285714285
1,rf,17,1,guarded,0.0
1,rf,23,1,standard_multibin,0.08333333333333333
1,rf,23,1,guarded,0.0
1,rf,44,1,standard_multibin,0.0
1,rf,44,1,guarded,0.0
1,rf,59,1,standard_multibin,0.0
1,rf,59,1,guarded,0.0
1,rf,80,1,standard_multibin,0.1
1,rf,80,1,guarded,0.14285714285714285
1,rf,127,1,standard_multibin,0.0
1,rf,127,1,guarded,0.0
1,rf,139,1,standard_multibin,0.1111111111111111
1,rf,139,1,guarded,0.14285714285714285
1,rf,161,1,standard_multibin,0.1
1,rf,161,1,guarded,0.5
1,rf,184,1,standard_multibin,0.08333333333333333
1,rf,184,1,guarded,0.0
1,rf,299,1,standard_multibin,0.1
1,rf,299,1,guarded,0.0
1,rf,323,1,standard_multibin,0.08333333333333333
1,rf,323,1,guarded,0.0
1,rf,343,1,standard_multibin,0.06666666666666667
1,rf,343,1,guarded,0.0
1,rf,347,1,standard_multibin,0.0
1,rf,347,1,guarded,0.0
1,rf,351,1,standard_multibin,0.1
1,rf,351,1,guarded,0.0
1,rf,435,1,standard_multibin,0.08333333333333333
