model,cal_size,nonempty_rate,feature_retention,rule_retention,violation_rate,mean_rules
logreg,250,0.96875,0.890625,0.14302884615384615,0.078125,1.78125
logreg,500,0.96875,0.921875,0.13701923076923078,0.078125,1.84375
logreg,1000,0.96875,0.921875,0.1287560096153846,0.078125,1.84375
logreg,2000,1.0,0.921875,0.115234375,0.078125,1.84375
logreg,5000,0.96875,0.921875,0.115234375,0.078125,1.84375
rf,250,0.96875,0.90625,0.13942307692307693,0.046875,1.8125
rf,500,0.96875,0.9375,0.12961309523809522,0.078125,1.875
rf,1000,0.96875,0.890625,0.12276785714285714,0.078125,1.78125
rf,2000,1.0,0.921875,0.12723214285714285,0.078125,1.84375
rf,5000,0.96875,0.921875,0.115234375,0.0625,1.84375
