model,significance,nonempty_rate,feature_retention,rule_retention,violation_rate,mean_rules
logreg,0.01,1.0,1.0,0.1380952380952381,0.078125,2.0
logreg,0.05,1.0,0.96875,0.13363095238095238,0.078125,1.9375
logreg,0.1,0.96875,0.921875,0.12738095238095237,0.078125,1.84375
logreg,0.2,0.9375,0.8125,0.11249999999999999,0.046875,1.625
logreg,0.3,0.9375,0.765625,0.10610119047619047,0.046875,1.53125
logreg,0.5,0.75,0.515625,0.07142857142857142,0.015625,1.03125
rf,0.01,1.0,1.0,0.1380952380952381,0.078125,2.0
rf,0.05,1.0,0.9375,0.1294642857142857,0.078125,1.875
rf,0.1,0.96875,0.90625,0.125,0.078125,1.8125
rf,0.2,0.90625,0.8125,0.11205357142857142,0.0625,1.625
rf,0.3,0.90625,0.75,0.10342261904761904,0.0625,1.5
rf,0.5,0.6875,0.53125,0.07321428571428572,0.03125,1.0625
