model,significance,variant,violation_rate_mean,rule_count_mean,wilcoxon_p_vs_v2_violation
logreg,0.01,V1_binary,0.0,2.0,
logreg,0.01,V2_multibin,0.041666666666666664,3.1875,
logreg,0.01,V3_multibin_guard,0.078125,2.0,
logreg,0.01,V4_multibin_guard_merge,0.03125,1.71875,
logreg,0.05,V1_binary,0.0,2.0,
logreg,0.05,V2_multibin,0.041666666666666664,3.1875,
logreg,0.05,V3_multibin_guard,0.078125,1.9375,
logreg,0.05,V4_multibin_guard_merge,0.078125,1.71875,
logreg,0.1,V1_binary,0.0,2.0,
logreg,0.1,V2_multibin,0.041666666666666664,3.1875,
logreg,0.1,V3_multibin_guard,0.078125,1.84375,
logreg,0.1,V4_multibin_guard_merge,0.078125,1.625,
logreg,0.2,V1_binary,0.0,2.0,
logreg,0.2,V2_multibin,0.041666666666666664,3.1875,
logreg,0.2,V3_multibin_guard,0.046875,1.625,
logreg,0.2,V4_multibin_guard_merge,0.078125,1.65625,
rf,0.01,V1_binary,0.0,2.0,
rf,0.01,V2_multibin,0.041666666666666664,3.21875,
rf,0.01,V3_multibin_guard,0.078125,2.0,
rf,0.01,V4_multibin_guard_merge,0.03125,1.75,
rf,0.05,V1_binary,0.0,2.0,
rf,0.05,V2_multibin,0.041666666666666664,3.21875,
rf,0.05,V3_multibin_guard,0.078125,1.875,
rf,0.05,V4_multibin_guard_merge,0.078125,1.65625,
rf,0.1,V1_binary,0.0,2.0,
rf,0.1,V2_multibin,0.041666666666666664,3.21875,
rf,0.1,V3_multibin_guard,0.078125,1.8125,
rf,0.1,V4_multibin_guard_merge,0.078125,1.625,
rf,0.2,V1_binary,0.0,2.0,
rf,0.2,V2_multibin,0.041666666666666664,3.21875,
rf,0.2,V3_multibin_guard,0.0625,1.625,
rf,0.2,V4_multibin_guard_merge,0.09375,1.53125,
