;DataSet;Metric;Criteria;Value
0;iris;Brier;NoCal;0.0367916669480007
1;iris;Acc;NoCal;0.954
2;iris;Log;NoCal;0.12220784376449778
3;iris;Diff;NoCal;0.010100002090136284
4;iris;ECE;NoCal;0.018900002439816793
5;iris;treeSize;NoCal;0.0
6;iris;AUC;NoCal;0.9258550319529265
7;iris;Brier;VA;0.04892407140678513
8;iris;Acc;VA;0.95
9;iris;Log;VA;0.1980904327378186
10;iris;Diff;VA;-0.09462518638372419
11;iris;ECE;VA;0.0953652909795443
12;iris;treeSize;VA;0.0
13;iris;AUC;VA;0.9173801169590644
14;iris;Low;VA;0.810325026512146
15;iris;High;VA;0.9854351282119751
16;tae;Brier;NoCal;0.2060304359743507
17;tae;Acc;NoCal;0.6655629139072847
18;tae;Log;NoCal;0.6156902951733995
19;tae;Diff;NoCal;0.038255046416592164
20;tae;ECE;NoCal;0.054913808296847805
21;tae;treeSize;NoCal;0.0
22;tae;AUC;NoCal;0.6791222107285355
23;tae;Brier;VA;0.2262931992291935
24;tae;Acc;VA;0.5894039735099338
25;tae;Log;VA;0.6445046705570611
26;tae;Diff;VA;-0.0005128604489446076
27;tae;ECE;VA;0.012196651416898551
28;tae;treeSize;VA;0.0
29;tae;AUC;VA;0.651350126857557
30;tae;Low;VA;0.5182331204414368
31;tae;High;VA;0.7007139921188354
32;image;Brier;NoCal;0.01855346312610633
33;image;Acc;NoCal;0.9807359307359307
34;image;Log;NoCal;0.07473091008683208
35;image;Diff;NoCal;-0.03998701026106799
36;image;ECE;NoCal;0.04019826566824662
37;image;treeSize;NoCal;0.0
38;image;AUC;NoCal;0.9790802933102547
39;image;Brier;VA;0.020198957220342508
40;image;Acc;VA;0.974935064935065
41;image;Log;VA;0.0828959828879529
42;image;Diff;VA;-0.031668251434187944
43;image;ECE;VA;0.031668251434187916
44;image;treeSize;VA;0.0
45;image;AUC;VA;0.962434293718877
46;image;Low;VA;0.9324890375137329
47;image;High;VA;0.9838064908981323
48;wineW;Brier;NoCal;0.1759223908286549
49;wineW;Acc;NoCal;0.7012658227848101
50;wineW;Log;NoCal;0.51941609960289
51;wineW;Diff;NoCal;-0.053936097310934294
52;wineW;ECE;NoCal;0.054438340032633675
53;wineW;treeSize;NoCal;0.0
54;wineW;AUC;NoCal;0.7634252733081649
55;wineW;Brier;VA;0.19207486360394088
56;wineW;Acc;VA;0.6557982850142915
57;wineW;Log;VA;0.5540792748719857
58;wineW;Diff;VA;-0.005867255832003537
59;wineW;ECE;VA;0.009324386843361149
60;wineW;treeSize;VA;0.0
61;wineW;AUC;VA;0.7244849568140196
62;wineW;Low;VA;0.6427429914474487
63;wineW;High;VA;0.6682778596878052
64;wineR;Brier;NoCal;0.17843182617135786
65;wineR;Acc;NoCal;0.7055034396497811
66;wineR;Log;NoCal;0.5280261159499423
67;wineR;Diff;NoCal;-0.04495747442950748
68;wineR;ECE;NoCal;0.044957474429507496
69;wineR;treeSize;NoCal;0.0
70;wineR;AUC;NoCal;0.7467410958979149
71;wineR;Brier;VA;0.19557491055412654
72;wineR;Acc;VA;0.669355847404628
73;wineR;Log;VA;0.5690700519259516
74;wineR;Diff;VA;-0.012631620455526349
75;wineR;ECE;VA;0.012678815569819472
76;wineR;treeSize;VA;0.0
77;wineR;AUC;VA;0.707184097354503
78;wineR;Low;VA;0.6416930556297302
79;wineR;High;VA;0.6890370845794678
80;wine;Brier;NoCal;0.028639775201819172
81;wine;Acc;NoCal;0.9797752808988764
82;wine;Log;NoCal;0.1267877660433396
83;wine;Diff;NoCal;-0.0822696596718906
84;wine;ECE;NoCal;0.08226965967189062
85;wine;treeSize;NoCal;0.0
86;wine;AUC;NoCal;0.9718001401630989
87;wine;Brier;VA;0.0400731298473689
88;wine;Acc;VA;0.9702247191011236
89;wine;Log;VA;0.17842138329194912
90;wine;Diff;VA;-0.11335587935166413
91;wine;ECE;VA;0.11377722766627087
92;wine;treeSize;VA;0.0
93;wine;AUC;VA;0.939463132709137
94;wine;Low;VA;0.8054901957511902
95;wine;High;VA;0.9961329698562622
96;glass;Brier;NoCal;0.15131196298689512
97;glass;Acc;NoCal;0.7948598130841121
98;glass;Log;NoCal;0.4613091044050846
99;glass;Diff;NoCal;-0.0916728966564776
100;glass;ECE;NoCal;0.09384112412405907
101;glass;treeSize;NoCal;0.0
102;glass;AUC;NoCal;0.7626165233100187
103;glass;Brier;VA;0.1732201387233428
104;glass;Acc;VA;0.735981308411215
105;glass;Log;VA;0.5225419024793035
106;glass;Diff;VA;-0.038698389019086066
107;glass;ECE;VA;0.03944007099092561
108;glass;treeSize;VA;0.0
109;glass;AUC;VA;0.720763590391909
110;glass;Low;VA;0.6116437315940857
111;glass;High;VA;0.8571727275848389
112;vehicle;Brier;NoCal;0.13516882965544463
113;vehicle;Acc;NoCal;0.7539007092198582
114;vehicle;Log;NoCal;0.40977380352931203
115;vehicle;Diff;NoCal;-0.028282505731774266
116;vehicle;ECE;NoCal;0.05620685378992244
117;vehicle;treeSize;NoCal;0.0
118;vehicle;AUC;NoCal;0.8531542595539602
119;vehicle;Brier;VA;0.13877285105005177
120;vehicle;Acc;VA;0.7520094562647754
121;vehicle;Log;VA;0.4131930866577949
122;vehicle;Diff;VA;-0.016333164572363557
123;vehicle;ECE;VA;0.0265845791368479
124;vehicle;treeSize;VA;0.0
125;vehicle;AUC;VA;0.8302348698735251
126;vehicle;Low;VA;0.7124887108802795
127;vehicle;High;VA;0.7950415015220642
128;cmc;Brier;NoCal;0.25103740837514466
129;cmc;Acc;NoCal;0.5211133740665309
130;cmc;Log;NoCal;0.7081501298127589
131;cmc;Diff;NoCal;0.13143626179973522
132;cmc;ECE;NoCal;0.13143626179973528
133;cmc;treeSize;NoCal;0.0
134;cmc;AUC;NoCal;0.6422356464602035
135;cmc;Brier;VA;0.23011854028719025
136;cmc;Acc;VA;0.5212491513917176
137;cmc;Log;VA;0.6476045235057493
138;cmc;Diff;VA;0.015975020361529313
139;cmc;ECE;VA;0.02172834118531012
140;cmc;treeSize;VA;0.0
141;cmc;AUC;VA;0.636893839785336
142;cmc;Low;VA;0.5221726894378662
143;cmc;High;VA;0.5608383417129517
144;balance;Brier;NoCal;0.08065171162613696
145;balance;Acc;NoCal;0.83136
146;balance;Log;NoCal;0.24592838431572112
147;balance;Diff;NoCal;0.0015072014141083168
148;balance;ECE;NoCal;0.0638495968723297
149;balance;treeSize;NoCal;0.0
150;balance;AUC;NoCal;0.93825676735717
151;balance;Brier;VA;0.09126887052187567
152;balance;Acc;VA;0.86192
153;balance;Log;VA;0.2803905452277249
154;balance;Diff;VA;-0.04304565101385116
155;balance;ECE;VA;0.043045651013851195
156;balance;treeSize;VA;0.0
157;balance;AUC;VA;0.8836471906424226
158;balance;Low;VA;0.7972270250320435
159;balance;High;VA;0.8738012313842773
160;wave;Brier;NoCal;0.11952901207217054
161;wave;Acc;NoCal;0.85164
162;wave;Log;NoCal;0.38880209762186047
163;wave;Diff;NoCal;-0.11255320016980164
164;wave;ECE;NoCal;0.1125532001698017
165;wave;treeSize;NoCal;0.0
166;wave;AUC;NoCal;0.8182454630951433
167;wave;Brier;VA;0.10766413043172522
168;wave;Acc;VA;0.84822
169;wave;Log;VA;0.340180792706379
170;wave;Diff;VA;-0.00840895902156824
171;wave;ECE;VA;0.010886570436954509
172;wave;treeSize;VA;0.0
173;wave;AUC;VA;0.8128682575908172
174;wave;Low;VA;0.8357886075973511
175;wave;High;VA;0.8574895262718201
176;vowel;Brier;NoCal;0.10592791951619403
177;vowel;Acc;NoCal;0.9673737373737373
178;vowel;Log;NoCal;0.36395994905545137
179;vowel;Diff;NoCal;-0.25803434358853283
180;vowel;ECE;NoCal;0.25803434358853283
181;vowel;treeSize;NoCal;0.0
182;vowel;AUC;NoCal;0.9330416558505268
183;vowel;Brier;VA;0.060921552029464525
184;vowel;Acc;VA;0.9311111111111111
185;vowel;Log;VA;0.22479463758098678
186;vowel;Diff;VA;-0.09124232540226951
187;vowel;ECE;VA;0.09126187574532295
188;vowel;treeSize;VA;0.0
189;vowel;AUC;VA;0.9017221501473912
190;vowel;Low;VA;0.7997351884841919
191;vowel;High;VA;0.9502503275871277
192;cars;Brier;NoCal;0.02415942702474026
193;cars;Acc;NoCal;0.9829861111111111
194;cars;Log;NoCal;0.10358019669143459
195;cars;Diff;NoCal;-0.06835705688809635
196;cars;ECE;NoCal;0.06837326060049234
197;cars;treeSize;NoCal;0.0
198;cars;AUC;NoCal;0.981570256738042
199;cars;Brier;VA;0.020860958203397388
200;cars;Acc;VA;0.973900462962963
201;cars;Log;VA;0.07838777353811568
202;cars;Diff;VA;-0.023354660253971815
203;cars;ECE;VA;0.0233546602539718
204;cars;treeSize;VA;0.0
205;cars;AUC;VA;0.9620435977964865
206;cars;Low;VA;0.9421672821044922
207;cars;High;VA;0.9821454286575317
208;steel;Brier;NoCal;0.13909302428673517
209;steel;Acc;NoCal;0.785059247810407
210;steel;Log;NoCal;0.4508362938156539
211;steel;Diff;NoCal;-0.07582483282874142
212;steel;ECE;NoCal;0.0763173624466277
213;steel;treeSize;NoCal;0.0
214;steel;AUC;NoCal;0.8204974597995601
215;steel;Brier;VA;0.14191053458574018
216;steel;Acc;VA;0.7698093766099948
217;steel;Log;VA;0.4281614998428596
218;steel;Diff;VA;-0.021977619936575543
219;steel;ECE;VA;0.021977619936575564
220;steel;treeSize;VA;0.0
221;steel;AUC;VA;0.8040391513254413
222;steel;Low;VA;0.7284256815910339
223;steel;High;VA;0.7968124151229858
224;heat;Brier;NoCal;0.011359270796900137
225;heat;Acc;NoCal;0.985546875
226;heat;Log;NoCal;0.05799649386607218
227;heat;Diff;NoCal;-0.01996874709924068
228;heat;ECE;NoCal;0.02318228866594526
229;heat;treeSize;NoCal;0.0
230;heat;AUC;NoCal;0.9329597135780251
231;heat;Brier;VA;0.015698452829567673
232;heat;Acc;VA;0.984765625
233;heat;Log;VA;0.07859506040991962
234;heat;Diff;VA;-0.04066666685199982
235;heat;ECE;VA;0.04066666685199989
236;heat;treeSize;VA;0.0
237;heat;AUC;VA;0.9157589072305453
238;heat;Low;VA;0.9326006770133972
239;heat;High;VA;0.9927437901496887
240;cool;Brier;NoCal;0.03200385419812062
241;cool;Acc;NoCal;0.9470052083333333
242;cool;Log;NoCal;0.09868896921625936
243;cool;Diff;NoCal;0.006049480522051454
244;cool;ECE;NoCal;0.011046873483185966
245;cool;treeSize;NoCal;0.0
246;cool;AUC;NoCal;0.9644369755053105
247;cool;Brier;VA;0.03974589095945165
248;cool;Acc;VA;0.9430989583333333
249;cool;Log;VA;0.1366604962580517
250;cool;Diff;VA;-0.020028402341995433
251;cool;ECE;VA;0.021396454730226295
252;cool;treeSize;VA;0.0
253;cool;AUC;VA;0.9373221078917512
254;cool;Low;VA;0.9117174744606018
255;cool;High;VA;0.9627850651741028
256;user;Brier;NoCal;0.08018297753147126
257;user;Acc;NoCal;0.9052109181141439
258;user;Log;NoCal;0.27400481596164183
259;user;Diff;NoCal;-0.0737915610113451
260;user;ECE;NoCal;0.07379156101134518
261;user;treeSize;NoCal;0.0
262;user;AUC;NoCal;0.8352798205428493
263;user;Brier;VA;0.08472329878037745
264;user;Acc;VA;0.8925558312655086
265;user;Log;VA;0.2899332885436502
266;user;Diff;VA;-0.05538465909419521
267;user;ECE;VA;0.05538465909419522
268;user;treeSize;VA;0.0
269;user;AUC;VA;0.8211985096638781
270;user;Low;VA;0.8016921281814575
271;user;High;VA;0.9368115663528442
272;whole;Brier;NoCal;0.2229743639736666
273;whole;Acc;NoCal;0.6988636363636364
274;whole;Log;NoCal;0.6526277628780359
275;whole;Diff;NoCal;0.004209090396761872
276;whole;ECE;NoCal;0.090490909374573
277;whole;treeSize;NoCal;0.0
