ncf,repeat,coverage,reject_rate,error_rate,ambiguity_rate,novelty_rate,accepted_accuracy,accepted_accuracy_delta,mean_prediction_set_size
hinge,0,0.0,1.0,0.0,1.0,0.0,,,2.0
entropy,0,0.13333333333333333,0.8666666666666667,0.37500000000000033,0.8666666666666667,0.0,1.0,0.06666666666666665,1.8666666666666667
margin,0,0.0,1.0,0.0,1.0,0.0,,,2.0
ensured,0,0.0,1.0,0.0,1.0,0.0,,,2.0
hinge,1,0.7,0.3,0.0714285714285715,0.3,0.0,1.0,0.06666666666666665,1.3
entropy,1,0.03333333333333333,0.9666666666666667,1.0,0.9666666666666667,0.0,1.0,0.06666666666666665,1.9666666666666666
margin,1,0.0,1.0,0.0,1.0,0.0,,,2.0
ensured,1,0.7,0.3,0.0714285714285715,0.3,0.0,1.0,0.06666666666666665,1.3
hinge,2,0.6333333333333333,0.36666666666666664,0.0789473684210527,0.36666666666666664,0.0,1.0,0.033333333333333326,1.3666666666666667
entropy,2,0.2,0.8,0.2500000000000002,0.8,0.0,0.8333333333333334,-0.1333333333333333,1.8
margin,2,0.0,1.0,0.0,0.9666666666666667,0.03333333333333333,,,1.9333333333333333
ensured,2,0.6333333333333333,0.36666666666666664,0.0789473684210527,0.36666666666666664,0.0,1.0,0.033333333333333326,1.3666666666666667
hinge,3,0.9333333333333333,0.06666666666666667,0.05357142857142862,0.06666666666666667,0.0,0.9642857142857143,0.030952380952380953,1.0666666666666667
entropy,3,0.4,0.6,0.1250000000000001,0.6,0.0,0.9166666666666666,-0.01666666666666672,1.6
margin,3,0.0,1.0,0.0,1.0,0.0,,,2.0
ensured,3,0.8333333333333334,0.16666666666666666,0.06000000000000005,0.16666666666666666,0.0,0.96,0.026666666666666616,1.1666666666666667
hinge,4,0.6333333333333333,0.36666666666666664,0.0789473684210527,0.36666666666666664,0.0,1.0,0.06666666666666665,1.3666666666666667
entropy,4,0.23333333333333334,0.7666666666666667,0.21428571428571447,0.7666666666666667,0.0,0.8571428571428571,-0.07619047619047625,1.7666666666666666
margin,4,0.0,1.0,0.0,1.0,0.0,,,2.0
ensured,4,0.6333333333333333,0.36666666666666664,0.0789473684210527,0.36666666666666664,0.0,1.0,0.06666666666666665,1.3666666666666667
