arm,strategy,dataset,seed,epsilon,confidence,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,breast_cancer,42,0.05,0.95,114,114,0.9385964912280702,0.877573083780254,0.9749586803252369,True,False,0.02631578947368421,0.963963963963964,0.9385964912280702,107,111,True
C,experimental.difficulty_normalized,breast_cancer,42,0.05,0.95,114,114,0.9298245614035088,0.8664043679142315,0.9692180142215856,True,False,0.043859649122807015,0.9724770642201835,0.9298245614035088,106,109,True
A,builtin.default,breast_cancer,42,0.1,0.9,114,114,0.9210526315789473,0.8554198780593214,0.9632646932993097,False,False,0.05263157894736842,0.9722222222222222,0.9210526315789473,105,108,True
C,experimental.difficulty_normalized,breast_cancer,42,0.1,0.9,114,114,0.9298245614035088,0.8664043679142315,0.9692180142215856,False,False,0.043859649122807015,0.9724770642201835,0.9298245614035088,106,109,True
A,builtin.default,breast_cancer,43,0.05,0.95,114,114,0.9210526315789473,0.8554198780593214,0.9632646932993097,True,False,0.02631578947368421,0.9459459459459459,0.9210526315789473,105,111,True
C,experimental.difficulty_normalized,breast_cancer,43,0.05,0.95,114,114,0.9122807017543859,0.8445942069299102,0.957130857969191,True,False,0.03508771929824561,0.9454545454545454,0.9122807017543859,104,110,True
A,builtin.default,breast_cancer,43,0.1,0.9,114,114,0.9035087719298246,0.833907678769954,0.9508408722199633,False,False,0.05263157894736842,0.9537037037037037,0.9035087719298246,103,108,True
C,experimental.difficulty_normalized,breast_cancer,43,0.1,0.9,114,114,0.9035087719298246,0.833907678769954,0.9508408722199633,False,False,0.05263157894736842,0.9537037037037037,0.9035087719298246,103,108,True
A,builtin.default,breast_cancer,44,0.05,0.95,114,114,0.9824561403508771,0.9380613067700988,0.9978682505790368,False,False,0.0,0.9824561403508771,0.9824561403508771,112,114,True
C,experimental.difficulty_normalized,breast_cancer,44,0.05,0.95,114,114,0.9736842105263158,0.9250181548996931,0.9945398216817498,False,False,0.03508771929824561,0.9818181818181818,0.9473684210526315,108,110,True
A,builtin.default,breast_cancer,44,0.1,0.9,114,114,0.9385964912280702,0.877573083780254,0.9749586803252369,False,False,0.05263157894736842,0.9907407407407407,0.9385964912280702,107,108,True
C,experimental.difficulty_normalized,breast_cancer,44,0.1,0.9,114,114,0.9385964912280702,0.877573083780254,0.9749586803252369,False,False,0.05263157894736842,0.9907407407407407,0.9385964912280702,107,108,True
A,builtin.default,breast_cancer,45,0.05,0.95,114,114,0.956140350877193,0.9006113471996758,0.9856076911329386,False,False,0.0,0.956140350877193,0.956140350877193,109,114,True
C,experimental.difficulty_normalized,breast_cancer,45,0.05,0.95,114,114,0.956140350877193,0.9006113471996758,0.9856076911329386,False,False,0.02631578947368421,0.954954954954955,0.9298245614035088,106,111,True
A,builtin.default,breast_cancer,45,0.1,0.9,114,114,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.08771929824561403,0.9807692307692307,0.8947368421052632,102,104,True
C,experimental.difficulty_normalized,breast_cancer,45,0.1,0.9,114,114,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.09649122807017543,0.9805825242718447,0.8859649122807017,101,103,True
A,builtin.default,breast_cancer,46,0.05,0.95,114,114,0.9736842105263158,0.9250181548996931,0.9945398216817498,False,False,0.043859649122807015,0.9724770642201835,0.9298245614035088,106,109,True
C,experimental.difficulty_normalized,breast_cancer,46,0.05,0.95,114,114,0.9298245614035088,0.8664043679142315,0.9692180142215856,True,False,0.08771929824561403,0.9807692307692307,0.8947368421052632,102,104,True
A,builtin.default,breast_cancer,46,0.1,0.9,114,114,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.08771929824561403,0.9807692307692307,0.8947368421052632,102,104,True
