arm,strategy,dataset,seed,n_cal_target,n_cal,n_test,epsilon,confidence,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,breast_cancer,42,50,50,114,0.05,0.95,0.956140350877193,0.9006113471996758,0.9856076911329386,False,False,0.008771929824561403,0.9557522123893806,0.9473684210526315,108,113,True
C,experimental.difficulty_normalized,breast_cancer,42,50,50,114,0.05,0.95,0.9210526315789473,0.8554198780593214,0.9632646932993097,True,False,0.05263157894736842,0.9629629629629629,0.9122807017543859,104,108,True
A,builtin.default,breast_cancer,42,50,50,114,0.1,0.9,0.8859649122807017,0.8128925847615672,0.9378645588097528,True,False,0.10526315789473684,0.9901960784313726,0.8859649122807017,101,102,True
C,experimental.difficulty_normalized,breast_cancer,42,50,50,114,0.1,0.9,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.09649122807017543,0.9902912621359223,0.8947368421052632,102,103,True
A,builtin.default,breast_cancer,42,100,100,114,0.05,0.95,0.9385964912280702,0.877573083780254,0.9749586803252369,True,False,0.017543859649122806,0.9553571428571429,0.9385964912280702,107,112,True
C,experimental.difficulty_normalized,breast_cancer,42,100,100,114,0.05,0.95,0.9385964912280702,0.877573083780254,0.9749586803252369,True,False,0.017543859649122806,0.9553571428571429,0.9385964912280702,107,112,True
A,builtin.default,breast_cancer,42,100,100,114,0.1,0.9,0.9210526315789473,0.8554198780593214,0.9632646932993097,False,False,0.043859649122807015,0.963302752293578,0.9210526315789473,105,109,True
C,experimental.difficulty_normalized,breast_cancer,42,100,100,114,0.1,0.9,0.9210526315789473,0.8554198780593214,0.9632646932993097,False,False,0.06140350877192982,0.9813084112149533,0.9210526315789473,105,107,True
A,builtin.default,breast_cancer,42,200,200,114,0.05,0.95,0.9473684210526315,0.8889598328915044,0.9804427961144583,True,False,0.05263157894736842,0.9444444444444444,0.8947368421052632,102,108,True
C,experimental.difficulty_normalized,breast_cancer,42,200,200,114,0.05,0.95,0.9122807017543859,0.8445942069299102,0.957130857969191,True,False,0.06140350877192982,0.9439252336448598,0.8859649122807017,101,107,True
