dataset,seed,n_cal,n_test,confidence,i1_flag_rejected_length,i2_flag_prediction_set_shape,i3_flag_original_count,i4_only_accepted_indices,i5_only_rejected_indices,i6_index_consistency,i7_no_degraded_mode,contract_pass,degraded_mode_flag,degraded_mode_accepted,degraded_mode_rejected,degraded,n_accepted,n_rejected
breast_cancer,42,114,114,0.9,True,True,True,True,True,True,True,True,(),(),(),False,108,6
breast_cancer,43,114,114,0.9,True,True,True,True,True,True,True,True,(),(),(),False,108,6
breast_cancer,44,114,114,0.9,True,True,True,True,True,True,True,True,(),(),(),False,108,6
breast_cancer,45,114,114,0.9,True,True,True,True,True,True,True,True,(),(),(),False,104,10
breast_cancer,46,114,114,0.9,True,True,True,True,True,True,True,True,(),(),(),False,104,10
colic,42,72,72,0.9,True,True,True,True,True,True,True,True,(),(),(),False,72,0
colic,43,72,72,0.9,True,True,True,True,True,True,True,True,(),(),(),False,55,17
colic,44,72,72,0.9,True,True,True,True,True,True,True,True,(),(),(),False,67,5
colic,45,72,72,0.9,True,True,True,True,True,True,True,True,(),(),(),False,59,13
colic,46,72,72,0.9,True,True,True,True,True,True,True,True,(),(),(),False,57,15
creditA,42,138,138,0.9,True,True,True,True,True,True,True,True,(),(),(),False,133,5
creditA,43,138,138,0.9,True,True,True,True,True,True,True,True,(),(),(),False,130,8
creditA,44,138,138,0.9,True,True,True,True,True,True,True,True,(),(),(),False,133,5
creditA,45,138,138,0.9,True,True,True,True,True,True,True,True,(),(),(),False,125,13
creditA,46,138,138,0.9,True,True,True,True,True,True,True,True,(),(),(),False,123,15
diabetes,42,154,154,0.9,True,True,True,True,True,True,True,True,(),(),(),False,97,57
diabetes,43,154,154,0.9,True,True,True,True,True,True,True,True,(),(),(),False,69,85
diabetes,44,154,154,0.9,True,True,True,True,True,True,True,True,(),(),(),False,91,63
diabetes,45,154,154,0.9,True,True,True,True,True,True,True,True,(),(),(),False,96,58
diabetes,46,154,154,0.9,True,True,True,True,True,True,True,True,(),(),(),False,78,76
german,42,191,191,0.9,True,True,True,True,True,True,True,True,(),(),(),False,76,115
german,43,191,191,0.9,True,True,True,True,True,True,True,True,(),(),(),False,78,113
german,44,191,191,0.9,True,True,True,True,True,True,True,True,(),(),(),False,54,137
german,45,191,191,0.9,True,True,True,True,True,True,True,True,(),(),(),False,63,128
german,46,191,191,0.9,True,True,True,True,True,True,True,True,(),(),(),False,70,121
haberman,42,57,57,0.9,True,True,True,True,True,True,True,True,(),(),(),False,29,28
haberman,43,57,57,0.9,True,True,True,True,True,True,True,True,(),(),(),False,26,31
haberman,44,57,57,0.9,True,True,True,True,True,True,True,True,(),(),(),False,32,25
