dataset,epsilon,ncf,n_cal,n_test,n_classes,accepted_top1_accuracy,reject_rate,correct_singleton_rate,error_singleton_rate,ambiguity_rate,novelty_rate,expected_collapse,guarantee_status
balance,0.05,default,125,125,3,0.970873786407767,0.176,0.824,0.04,0.136,0.0,False,empirical
balance,0.05,ensured,125,125,3,0.9777777777777777,0.28,0.72,0.0,0.28,0.0,False,empirical
balance,0.1,default,125,125,3,0.9279279279279279,0.112,0.888,0.104,0.0,0.008,False,empirical
balance,0.1,ensured,125,125,3,0.9777777777777777,0.28,0.72,0.0,0.28,0.0,False,empirical
cars,0.05,default,346,346,4,0.9727272727272728,0.046242774566473986,0.953757225433526,0.0,0.0,0.046242774566473986,False,empirical
cars,0.05,ensured,346,346,4,0.9697885196374623,0.04335260115606936,0.9566473988439307,0.0,0.04335260115606936,0.0,False,empirical
cars,0.1,default,346,346,4,0.9841772151898734,0.08670520231213873,0.9132947976878613,0.0,0.0,0.08670520231213873,False,empirical
cars,0.1,ensured,346,346,4,0.9697885196374623,0.04335260115606936,0.9566473988439307,0.0,0.04335260115606936,0.0,False,empirical
cmc,0.05,default,295,295,3,0.8085106382978723,0.8406779661016949,0.15932203389830507,0.023728813559322035,0.8169491525423729,0.0,False,empirical
cmc,0.05,ensured,295,295,3,0.7804878048780488,0.8610169491525423,0.13898305084745763,0.0,0.8203389830508474,0.04067796610169491,False,empirical
cmc,0.1,default,295,295,3,0.8301886792452831,0.8203389830508474,0.17966101694915254,0.1288135593220339,0.6915254237288135,0.0,False,empirical
cmc,0.1,ensured,295,295,3,0.6551724137931034,0.9016949152542373,0.09830508474576272,0.0,0.8,0.1016949152542373,False,empirical
cool,0.05,default,154,154,3,0.9733333333333334,0.025974025974025976,0.974025974025974,0.0,0.0,0.025974025974025976,False,empirical
cool,0.05,ensured,154,154,3,0.9731543624161074,0.032467532467532464,0.9675324675324676,0.0,0.032467532467532464,0.0,False,empirical
cool,0.1,default,154,154,3,0.9924812030075187,0.13636363636363635,0.8636363636363636,0.0,0.0,0.13636363636363635,False,empirical
cool,0.1,ensured,154,154,3,0.9731543624161074,0.032467532467532464,0.9675324675324676,0.0,0.032467532467532464,0.0,False,empirical
ecoli,0.05,default,67,68,6,1.0,0.5294117647058824,0.47058823529411764,0.10294117647058823,0.4264705882352941,0.0,False,empirical
ecoli,0.05,ensured,67,68,6,1.0,0.5147058823529411,0.4852941176470588,0.0,0.5147058823529411,0.0,False,empirical
ecoli,0.1,default,67,68,6,0.9714285714285714,0.4852941176470588,0.5147058823529411,0.14705882352941177,0.3382352941176471,0.0,False,empirical
ecoli,0.1,ensured,67,68,6,1.0,0.5735294117647058,0.4264705882352941,0.0,0.5147058823529411,0.058823529411764705,False,empirical
glass,0.05,default,43,43,6,1.0,0.7209302325581395,0.27906976744186046,0.11627906976744186,0.6046511627906976,0.0,False,empirical
glass,0.05,ensured,43,43,6,1.0,0.6744186046511628,0.32558139534883723,0.0,0.6744186046511628,0.0,False,empirical
glass,0.1,default,43,43,6,1.0,0.6744186046511628,0.32558139534883723,0.13953488372093023,0.5348837209302325,0.0,False,empirical
glass,0.1,ensured,43,43,6,1.0,0.6744186046511628,0.32558139534883723,0.0,0.6046511627906976,0.06976744186046512,False,empirical
heat,0.05,default,154,154,3,0.9932885906040269,0.032467532467532464,0.9675324675324676,0.0,0.0,0.032467532467532464,False,empirical
heat,0.05,ensured,154,154,3,0.9932885906040269,0.032467532467532464,0.9675324675324676,0.0,0.032467532467532464,0.0,False,empirical
heat,0.1,default,154,154,3,1.0,0.12987012987012986,0.8701298701298701,0.0,0.0,0.12987012987012986,False,empirical
heat,0.1,ensured,154,154,3,0.9932885906040269,0.032467532467532464,0.9675324675324676,0.0,0.032467532467532464,0.0,False,empirical
image,0.05,default,462,462,7,0.9887892376681614,0.03463203463203463,0.9653679653679653,0.010822510822510822,0.0,0.023809523809523808,False,empirical
image,0.05,ensured,462,462,7,0.9952941176470588,0.08008658008658008,0.9199134199134199,0.0,0.05194805194805195,0.02813852813852814,False,empirical
image,0.1,default,462,462,7,0.9954022988505747,0.05844155844155844,0.9415584415584416,0.0021645021645021645,0.0,0.05627705627705628,False,empirical
image,0.1,ensured,462,462,7,0.9949109414758269,0.14935064935064934,0.8506493506493507,0.0,0.05194805194805195,0.09740259740259741,False,empirical
iris,0.05,default,30,30,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
iris,0.05,ensured,30,30,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
iris,0.1,default,30,30,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
iris,0.1,ensured,30,30,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
