task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
binary,breast_cancer,default,0.3,0.9736842105263158,0.963963963963964,0.007823613086771042,0.963963963963964,0.9385964912280702,107,111,True
binary,breast_cancer,default,0.5,0.9736842105263158,0.963963963963964,0.007823613086771042,0.963963963963964,0.9385964912280702,107,111,True
binary,breast_cancer,default,0.7,0.9736842105263158,0.963963963963964,0.007823613086771042,0.963963963963964,0.9385964912280702,107,111,True
binary,breast_cancer,default,1.0,0.9736842105263158,0.963963963963964,0.007823613086771042,0.963963963963964,0.9385964912280702,107,111,True
binary,breast_cancer,ensured,0.3,0.5877192982456141,0.9850746268656716,0.02893427598847864,0.9850746268656716,0.5789473684210527,66,67,True
binary,breast_cancer,ensured,0.5,0.631578947368421,0.9722222222222222,0.016081871345029253,0.9722222222222222,0.6140350877192983,70,72,True
binary,breast_cancer,ensured,0.7,0.9473684210526315,0.9722222222222222,0.016081871345029253,0.9722222222222222,0.9210526315789473,105,108,True
binary,breast_cancer,ensured,1.0,0.9736842105263158,0.963963963963964,0.007823613086771042,0.963963963963964,0.9385964912280702,107,111,True
binary,colic,default,0.3,0.6944444444444444,0.9,0.06666666666666665,0.9,0.625,45,50,True
binary,colic,default,0.5,0.6944444444444444,0.9,0.06666666666666665,0.9,0.625,45,50,True
binary,colic,default,0.7,0.6944444444444444,0.9,0.06666666666666665,0.9,0.625,45,50,True
binary,colic,default,1.0,0.6944444444444444,0.9,0.06666666666666665,0.9,0.625,45,50,True
binary,colic,ensured,0.3,0.6388888888888888,0.8478260869565217,0.01449275362318836,0.8478260869565217,0.5416666666666666,39,46,True
binary,colic,ensured,0.5,0.6388888888888888,0.8478260869565217,0.01449275362318836,0.8478260869565217,0.5416666666666666,39,46,True
binary,colic,ensured,0.7,0.6388888888888888,0.8478260869565217,0.01449275362318836,0.8478260869565217,0.5416666666666666,39,46,True
binary,colic,ensured,1.0,0.6944444444444444,0.9,0.06666666666666665,0.9,0.625,45,50,True
binary,creditA,default,0.3,0.9057971014492754,0.872,0.024173913043478268,0.872,0.7898550724637681,109,125,True
binary,creditA,default,0.5,0.9057971014492754,0.872,0.024173913043478268,0.872,0.7898550724637681,109,125,True
binary,creditA,default,0.7,0.9057971014492754,0.872,0.024173913043478268,0.872,0.7898550724637681,109,125,True
binary,creditA,default,1.0,0.9057971014492754,0.872,0.024173913043478268,0.872,0.7898550724637681,109,125,True
binary,creditA,ensured,0.3,0.391304347826087,0.8888888888888888,0.04106280193236711,0.8888888888888888,0.34782608695652173,48,54,True
binary,creditA,ensured,0.5,0.4782608695652174,0.8939393939393939,0.04611330698287219,0.8939393939393939,0.427536231884058,59,66,True
binary,creditA,ensured,0.7,0.8840579710144928,0.8770491803278688,0.029223093371347098,0.8770491803278688,0.7753623188405797,107,122,True
binary,creditA,ensured,1.0,0.9057971014492754,0.872,0.024173913043478268,0.872,0.7898550724637681,109,125,True
binary,diabetes,default,0.3,0.45454545454545453,0.9,0.15974025974025974,0.9,0.4090909090909091,63,70,True
binary,diabetes,default,0.5,0.45454545454545453,0.9,0.15974025974025974,0.9,0.4090909090909091,63,70,True
binary,diabetes,default,0.7,0.45454545454545453,0.9,0.15974025974025974,0.9,0.4090909090909091,63,70,True
binary,diabetes,default,1.0,0.45454545454545453,0.9,0.15974025974025974,0.9,0.4090909090909091,63,70,True
