dataset,task_type,n_test,confidence,reject_rate,regime,baseline_accuracy,accepted_accuracy,accuracy_delta,baseline_ece,accepted_ece,ece_delta,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
breast_cancer,binary,114,0.95,0.02631578947368421,low,0.956140350877193,0.963963963963964,0.007823613086771042,0.1850877192982456,0.18738738738738736,-0.0022996680891417542,0.963963963963964,0.9385964912280702,107,111,True
colic,binary,72,0.95,0.3055555555555556,moderate,0.8333333333333334,0.9,0.06666666666666665,0.2387731481481482,0.2880000000000001,-0.04922685185185188,0.9,0.625,45,50,True
creditA,binary,138,0.95,0.09420289855072464,low,0.8478260869565217,0.872,0.024173913043478268,0.3082125603864735,0.32946666666666663,-0.02125410628019314,0.872,0.7898550724637681,109,125,True
diabetes,binary,154,0.95,0.5454545454545454,high,0.7402597402597403,0.9,0.15974025974025974,0.11839826839826846,0.11071428571428571,0.007683982683982751,0.9,0.4090909090909091,63,70,True
german,binary,191,0.95,0.7382198952879581,high,0.6492146596858639,0.84,0.19078534031413608,0.4399650959860384,0.7414999999999999,-0.30153490401396155,0.84,0.2198952879581152,42,50,True
haberman,binary,57,0.95,0.7192982456140351,high,0.6666666666666666,0.8125,0.14583333333333337,0.4504385964912281,0.6234375,-0.1729989035087719,0.8125,0.22807017543859648,13,16,True
heartC,binary,61,0.95,0.6065573770491803,high,0.7704918032786885,0.9583333333333334,0.18784153005464488,0.3542349726775957,0.45972222222222214,-0.10548724954462646,0.9583333333333334,0.3770491803278688,23,24,True
heartH,binary,59,0.95,0.1694915254237288,moderate,0.7966101694915254,0.8571428571428571,0.060532687651331685,0.46412429378531067,0.5267006802721088,-0.06257638648679814,0.8571428571428571,0.711864406779661,42,49,True
heartS,binary,54,0.95,0.2777777777777778,moderate,0.7407407407407407,0.7692307692307693,0.028490028490028574,0.26481481481481484,0.325,-0.060185185185185175,0.7692307692307693,0.5555555555555556,30,39,True
hepati,binary,31,0.95,0.6774193548387096,high,0.9032258064516129,1.0,0.09677419354838712,0.6172043010752688,0.85,-0.23279569892473118,1.0,0.3225806451612903,10,10,True
iono,binary,70,0.95,0.15714285714285714,moderate,0.9571428571428572,1.0,0.042857142857142816,0.5501190476190477,0.5341807909604519,0.01593825665859583,1.0,0.8428571428571429,59,59,True
je4042,binary,54,0.95,0.4444444444444444,high,0.7407407407407407,0.8,0.059259259259259345,0.4049382716049383,0.5569444444444444,-0.15200617283950607,0.8,0.4444444444444444,24,30,True
je4243,binary,73,0.95,0.7123287671232876,high,0.6164383561643836,0.6666666666666666,0.05022831050228305,0.27397260273972596,0.3821428571428571,-0.10817025440313116,0.6666666666666666,0.1917808219178082,14,21,True
kc1,binary,239,0.95,0.7238493723849372,high,0.7656903765690377,0.8181818181818182,0.05249144161278052,0.49009762900976295,0.6637626262626262,-0.17366499725286322,0.8181818181818182,0.22594142259414227,54,66,True
kc2,binary,74,0.95,0.44594594594594594,high,0.7567567567567568,0.8292682926829268,0.07251153592616999,0.41813063063063066,0.5152439024390243,-0.09711327180839363,0.8292682926829268,0.4594594594594595,34,41,True
kc3,binary,65,0.95,0.16923076923076924,moderate,0.8461538461538461,0.8888888888888888,0.042735042735042694,0.5337179487179489,0.5814814814814814,-0.04776353276353251,0.8703703703703703,0.7230769230769231,47,54,True
liver,binary,69,0.95,0.5507246376811594,high,0.7101449275362319,0.9032258064516129,0.19308087891538095,0.221256038647343,0.30967741935483867,-0.08842138070749567,0.9032258064516129,0.4057971014492754,28,31,True
pc1req,binary,21,0.95,0.9047619047619048,high,0.6190476190476191,1.0,0.38095238095238093,0.24563492063492068,0.5166666666666666,-0.27103174603174596,1.0,0.09523809523809523,2,2,True
pc4,binary,269,0.95,0.1412639405204461,low,0.8884758364312267,0.9523809523809523,0.06390511594972559,0.5081164807930607,0.5520562770562771,-0.043939796263216424,0.9567099567099567,0.8215613382899628,221,231,True
sonar,binary,42,0.95,0.38095238095238093,moderate,0.8809523809523809,0.8846153846153846,0.00366300366300365,0.3628968253968254,0.398397435897436,-0.0355006105006106,0.8846153846153846,0.5476190476190477,23,26,True
spect,binary,44,0.95,0.4318181818181818,high,0.8863636363636364,0.92,0.033636363636363686,0.6903409090909091,0.7266666666666667,-0.03632575757575762,0.92,0.5227272727272727,23,25,True
spectf,binary,54,0.95,0.42592592592592593,high,0.7777777777777778,0.967741935483871,0.1899641577060932,0.6023148148148147,0.8516129032258064,-0.24929808841099166,0.967741935483871,0.5555555555555556,30,31,True
transfusion,binary,101,0.95,0.504950495049505,high,0.7128712871287128,0.8,0.0871287128712872,0.16122112211221123,0.14600000000000005,0.015221122112211188,0.8,0.39603960396039606,40,50,True
ttt,binary,192,0.95,0.03125,low,0.984375,1.0,0.015625,0.6396701388888889,0.6585573476702508,-0.018887208781361853,1.0,0.96875,186,186,True
vote,binary,104,0.95,0.3557692307692308,moderate,0.8461538461538461,0.9104477611940298,0.06429391504018367,0.1889423076923078,0.17462686567164193,0.01431544202066587,0.9104477611940298,0.5865384615384616,61,67,True
wbc,binary,93,0.95,0.0,low,0.9354838709677419,0.9354838709677419,0.0,0.18109318996415769,0.18109318996415769,0.0,0.9247311827956989,0.9247311827956989,86,93,True
balance,multiclass,125,0.95,0.136,low,0.848,0.9351851851851852,0.08718518518518525,0.07720000000000003,0.07484567901234572,0.0023543209876543125,0.9629629629629629,0.832,104,108,True
cars,multiclass,346,0.95,0.046242774566473986,low,0.9595375722543352,0.9727272727272728,0.013189700472937549,0.0727119460500964,0.06386363636363643,0.00884830968645997,0.9727272727272728,0.9277456647398844,321,330,True
cmc,multiclass,295,0.95,0.8169491525423729,high,0.5152542372881356,0.7777777777777778,0.2625235404896422,0.1589260043942247,0.13496656378600824,0.023959440608216448,0.7592592592592593,0.13898305084745763,41,54,True
cool,multiclass,154,0.95,0.025974025974025976,low,0.961038961038961,0.9733333333333334,0.012294372294372358,0.03106060606060626,0.03822222222222244,-0.007161616161616181,0.9733333333333334,0.948051948051948,146,150,True
ecoli,multiclass,68,0.95,0.4264705882352941,high,0.8823529411764706,0.9743589743589743,0.09200603318250378,0.07818627450980395,0.10940170940170936,-0.03121543489190541,0.8461538461538461,0.4852941176470588,33,39,True
glass,multiclass,43,0.95,0.6046511627906976,high,0.7674418604651163,0.8823529411764706,0.11491108071135425,0.09069767441860464,0.20637254901960783,-0.11567487460100319,0.8235294117647058,0.32558139534883723,14,17,True
heat,multiclass,154,0.95,0.032467532467532464,low,0.9935064935064936,0.9932885906040269,-0.00021790290246670452,0.04090909090909081,0.035738255033556945,0.005170835875533866,0.9932885906040269,0.961038961038961,148,149,True
image,multiclass,462,0.95,0.023809523809523808,low,0.9718614718614719,0.9822616407982262,0.010400168936754328,0.03939393939393942,0.03813747228381377,0.0012564671101256489,0.9844789356984479,0.961038961038961,444,451,True
iris,multiclass,30,0.95,1.0,high,0.9333333333333333,,,0.057499999999999996,,,,0.0,0,0,False
steel,multiclass,389,0.95,0.41645244215938304,high,0.7634961439588689,0.9251101321585903,0.1616139881997214,0.09912167952013712,0.09794419970631432,0.001177479813822796,0.9074889867841409,0.5295629820051414,206,227,True
tae,multiclass,31,0.95,0.7096774193548387,high,0.41935483870967744,0.4444444444444444,0.025089605734766984,0.30349462365591395,0.48148148148148145,-0.1779868578255675,0.5555555555555556,0.16129032258064516,5,9,True
user,multiclass,81,0.95,0.12345679012345678,low,0.9135802469135802,0.9295774647887324,0.01599721787515218,0.08117283950617286,0.06948356807511735,0.011689271431055512,0.8732394366197183,0.7654320987654321,62,71,True
vehicle,multiclass,170,0.95,0.38823529411764707,moderate,0.7294117647058823,0.8942307692307693,0.16481900452488696,0.06279411764705876,0.07019230769230761,-0.007398190045248845,0.9038461538461539,0.5529411764705883,94,104,True
vowel,multiclass,198,0.95,0.020202020202020204,low,0.9242424242424242,0.9278350515463918,0.0035926273039675882,0.2776515151515152,0.27637457044673536,0.0012769447047798477,0.9536082474226805,0.9343434343434344,185,194,True
wave,multiclass,1000,0.95,0.277,moderate,0.86,0.9363762102351314,0.07637621023513141,0.12919166666666665,0.13852005532503456,-0.009328388658367909,0.9363762102351314,0.677,677,723,True
whole,multiclass,88,0.95,0.8863636363636364,high,0.7159090909090909,0.9,0.18409090909090908,0.06979166666666664,0.03416666666666656,0.03562500000000008,0.9,0.10227272727272728,9,10,True
wine,multiclass,36,0.95,1.0,high,1.0,,,0.10879629629629618,,,,0.0,0,0,False
wineR,multiclass,320,0.95,0.7125,high,0.68125,0.8804347826086957,0.19918478260869565,0.06427083333333329,0.07998188405797098,-0.015711050724637687,0.8695652173913043,0.25,80,92,True
wineW,multiclass,980,0.95,0.639795918367347,high,0.6316326530612245,0.8583569405099151,0.22672428744869055,0.04627551020408165,0.07339471199244568,-0.02711920178836403,0.8640226628895185,0.3112244897959184,305,353,True
