dataset,probe,n_cal,epsilon,coverage,reject_rate,error_rate,violation,matched_count,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
breast_cancer,small_calibration,10,0.05,1.0,1.0,0.0,False,0,,0.0,0,0,False
breast_cancer,small_calibration,10,0.1,1.0,0.23684210526315788,0.13103448275862065,False,87,1.0,0.7631578947368421,87,87,True
breast_cancer,small_calibration,10,0.25,0.7631578947368421,0.23684210526315788,0.017241379310344827,False,87,1.0,0.7631578947368421,87,87,True
breast_cancer,small_calibration,20,0.05,0.9736842105263158,0.05263157894736842,0.05277777777777782,False,108,0.9722222222222222,0.9210526315789473,105,108,True
breast_cancer,small_calibration,20,0.1,0.9210526315789473,0.05263157894736842,0.04999999999999997,False,108,0.9722222222222222,0.9210526315789473,105,108,True
breast_cancer,small_calibration,20,0.25,0.8070175438596491,0.19298245614035087,0.07065217391304347,False,92,1.0,0.8070175438596491,92,92,True
breast_cancer,small_calibration,50,0.05,0.956140350877193,0.008771929824561403,0.050442477876106236,False,113,0.9557522123893806,0.9473684210526315,108,113,True
breast_cancer,small_calibration,50,0.1,0.8859649122807017,0.10526315789473684,0.0,True,102,0.9901960784313726,0.8859649122807017,101,102,True
breast_cancer,small_calibration,50,0.25,0.7017543859649122,0.2982456140350877,0.0,True,80,1.0,0.7017543859649122,80,80,True
breast_cancer,small_calibration,100,0.05,0.9385964912280702,0.017543859649122806,0.03303571428571433,True,112,0.9553571428571429,0.9385964912280702,107,112,True
breast_cancer,small_calibration,100,0.1,0.9210526315789473,0.043859649122807015,0.0587155963302752,False,109,0.963302752293578,0.9210526315789473,105,109,True
breast_cancer,small_calibration,100,0.25,0.7631578947368421,0.23684210526315788,0.017241379310344827,False,87,1.0,0.7631578947368421,87,87,True
breast_cancer,small_calibration,200,0.05,0.9473684210526315,0.05263157894736842,0.05277777777777782,True,108,0.9444444444444444,0.8947368421052632,102,108,True
breast_cancer,small_calibration,200,0.1,0.8947368421052632,0.05263157894736842,0.04999999999999997,True,108,0.9444444444444444,0.8947368421052632,102,108,True
breast_cancer,small_calibration,200,0.25,0.7192982456140351,0.2807017543859649,0.0,True,82,1.0,0.7192982456140351,82,82,True
breast_cancer,extreme_confidence,114,0.010000000000000009,0.9736842105263158,0.05263157894736842,0.010555555555555565,True,108,0.9722222222222222,0.9210526315789473,105,108,True
breast_cancer,extreme_confidence,114,0.0050000000000000044,1.0,1.0,0.0,False,0,,0.0,0,0,False
colic,small_calibration,10,0.05,1.0,1.0,0.0,False,0,,0.0,0,0,False
colic,small_calibration,10,0.1,0.8472222222222222,0.1527777777777778,0.11803278688524588,True,61,0.819672131147541,0.6944444444444444,50,61,True
colic,small_calibration,10,0.25,0.5138888888888888,0.375,0.0,True,45,0.8222222222222222,0.5138888888888888,37,45,True
colic,small_calibration,20,0.05,0.9027777777777778,0.20833333333333334,0.06315789473684216,True,57,0.8771929824561403,0.6944444444444444,50,57,True
colic,small_calibration,20,0.1,0.875,0.125,0.11428571428571425,True,63,0.8571428571428571,0.75,54,63,True
colic,small_calibration,20,0.25,0.6944444444444444,0.20833333333333334,0.05263157894736842,True,57,0.8771929824561403,0.6944444444444444,50,57,True
colic,small_calibration,50,0.05,0.8888888888888888,0.19444444444444445,0.062068965517241434,True,58,0.8620689655172413,0.6944444444444444,50,58,True
colic,small_calibration,50,0.1,0.8333333333333334,0.013888888888888888,0.10140845070422533,True,71,0.8309859154929577,0.8194444444444444,59,71,True
colic,small_calibration,50,0.25,0.7638888888888888,0.08333333333333333,0.18181818181818182,False,66,0.8333333333333334,0.7638888888888888,55,66,True
colic,small_calibration,100,0.05,0.9444444444444444,0.4722222222222222,0.09473684210526324,True,38,0.8947368421052632,0.4722222222222222,34,38,True
colic,small_calibration,100,0.1,0.8194444444444444,0.027777777777777776,0.10285714285714283,True,70,0.8142857142857143,0.7916666666666666,57,70,True
colic,small_calibration,100,0.25,0.75,0.09722222222222222,0.16923076923076924,False,65,0.8307692307692308,0.75,54,65,True
colic,small_calibration,200,0.05,0.9305555555555556,0.4722222222222222,0.09473684210526324,True,38,0.868421052631579,0.4583333333333333,33,38,True
