dataset,epsilon,ncf,n_cal,n_test,accepted_top1_accuracy,reject_rate,ambiguity_rate,guarantee_status
balance,0.05,hinge,125,125,0.9351851851851852,0.136,0.136,empirical
balance,0.05,margin,125,125,0.2857142857142857,0.944,0.936,empirical
balance,0.1,hinge,125,125,0.8548387096774194,0.008,0.0,empirical
balance,0.1,margin,125,125,0.0,0.984,0.928,empirical
cars,0.05,hinge,346,346,0.9727272727272728,0.046242774566473986,0.0,empirical
cars,0.05,margin,346,346,0.9727272727272728,0.046242774566473986,0.0,empirical
cars,0.1,hinge,346,346,0.9841772151898734,0.08670520231213873,0.0,empirical
cars,0.1,margin,346,346,0.9841772151898734,0.08670520231213873,0.0,empirical
cmc,0.05,hinge,295,295,0.7777777777777778,0.8169491525423729,0.8169491525423729,empirical
cmc,0.05,margin,295,295,0.5714285714285714,0.9288135593220339,0.9288135593220339,empirical
cmc,0.1,hinge,295,295,0.7032967032967034,0.6915254237288135,0.6915254237288135,empirical
cmc,0.1,margin,295,295,0.4418604651162791,0.8542372881355932,0.8508474576271187,empirical
cool,0.05,hinge,154,154,0.9733333333333334,0.025974025974025976,0.0,empirical
cool,0.05,margin,154,154,0.8260869565217391,0.8506493506493507,0.8246753246753247,empirical
cool,0.1,hinge,154,154,0.9924812030075187,0.13636363636363635,0.0,empirical
cool,0.1,margin,154,154,0.9924812030075187,0.13636363636363635,0.0,empirical
ecoli,0.05,hinge,67,68,0.9743589743589743,0.4264705882352941,0.4264705882352941,empirical
ecoli,0.05,margin,67,68,0.8333333333333334,0.9117647058823529,0.8382352941176471,empirical
ecoli,0.1,hinge,67,68,0.9555555555555556,0.3382352941176471,0.3382352941176471,empirical
ecoli,0.1,margin,67,68,0.6363636363636364,0.8382352941176471,0.7352941176470589,empirical
glass,0.05,hinge,43,43,0.8823529411764706,0.6046511627906976,0.6046511627906976,empirical
glass,0.05,margin,43,43,1.0,0.9767441860465116,0.9534883720930233,empirical
glass,0.1,hinge,43,43,0.85,0.5348837209302325,0.5348837209302325,empirical
glass,0.1,margin,43,43,0.3333333333333333,0.9302325581395349,0.8837209302325582,empirical
heat,0.05,hinge,154,154,0.9932885906040269,0.032467532467532464,0.0,empirical
heat,0.05,margin,154,154,0.9932885906040269,0.032467532467532464,0.0,empirical
heat,0.1,hinge,154,154,1.0,0.12987012987012986,0.0,empirical
heat,0.1,margin,154,154,1.0,0.12987012987012986,0.0,empirical
image,0.05,hinge,462,462,0.9800884955752213,0.021645021645021644,0.0,empirical
image,0.05,margin,462,462,0.7142857142857143,0.9393939393939394,0.9177489177489178,empirical
