task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta
binary,breast_cancer,hinge,0.3,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,hinge,0.5,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,hinge,0.7,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,hinge,1.0,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,margin,0.3,0.10526315789473684,0.75,-0.20614035087719296
binary,breast_cancer,margin,0.5,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,margin,0.7,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,margin,1.0,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,entropy,0.3,0.10526315789473684,0.75,-0.20614035087719296
binary,breast_cancer,entropy,0.5,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,entropy,0.7,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,entropy,1.0,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,breast_cancer,ensured,0.3,0.5877192982456141,0.9850746268656716,0.02893427598847864
binary,breast_cancer,ensured,0.5,0.631578947368421,0.9722222222222222,0.016081871345029253
binary,breast_cancer,ensured,0.7,0.9473684210526315,0.9722222222222222,0.016081871345029253
binary,breast_cancer,ensured,1.0,0.9736842105263158,0.963963963963964,0.007823613086771042
binary,colic,hinge,0.3,0.6944444444444444,0.9,0.06666666666666665
binary,colic,hinge,0.5,0.6944444444444444,0.9,0.06666666666666665
binary,colic,hinge,0.7,0.6944444444444444,0.9,0.06666666666666665
binary,colic,hinge,1.0,0.6944444444444444,0.9,0.06666666666666665
binary,colic,margin,0.3,0.027777777777777776,0.5,-0.33333333333333337
binary,colic,margin,0.5,0.027777777777777776,0.5,-0.33333333333333337
binary,colic,margin,0.7,0.6944444444444444,0.9,0.06666666666666665
binary,colic,margin,1.0,0.6944444444444444,0.9,0.06666666666666665
binary,colic,entropy,0.3,0.041666666666666664,0.3333333333333333,-0.5
binary,colic,entropy,0.5,0.1111111111111111,0.625,-0.20833333333333337
binary,colic,entropy,0.7,0.19444444444444445,0.7142857142857143,-0.11904761904761907
binary,colic,entropy,1.0,0.6944444444444444,0.9,0.06666666666666665
binary,colic,ensured,0.3,0.6388888888888888,0.8478260869565217,0.01449275362318836
binary,colic,ensured,0.5,0.6388888888888888,0.8478260869565217,0.01449275362318836
binary,colic,ensured,0.7,0.6388888888888888,0.8478260869565217,0.01449275362318836
binary,colic,ensured,1.0,0.6944444444444444,0.9,0.06666666666666665
binary,creditA,hinge,0.3,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,hinge,0.5,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,hinge,0.7,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,hinge,1.0,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,margin,0.3,0.057971014492753624,0.625,-0.22282608695652173
binary,creditA,margin,0.5,0.18840579710144928,0.7307692307692307,-0.117056856187291
binary,creditA,margin,0.7,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,margin,1.0,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,entropy,0.3,0.15942028985507245,0.6818181818181818,-0.16600790513833996
binary,creditA,entropy,0.5,0.18840579710144928,0.7307692307692307,-0.117056856187291
binary,creditA,entropy,0.7,0.6811594202898551,0.851063829787234,0.00323774283071232
binary,creditA,entropy,1.0,0.9057971014492754,0.872,0.024173913043478268
binary,creditA,ensured,0.3,0.391304347826087,0.8888888888888888,0.04106280193236711
binary,creditA,ensured,0.5,0.4782608695652174,0.8939393939393939,0.04611330698287219
binary,creditA,ensured,0.7,0.8840579710144928,0.8770491803278688,0.029223093371347098
binary,creditA,ensured,1.0,0.9057971014492754,0.872,0.024173913043478268
binary,diabetes,hinge,0.3,0.45454545454545453,0.9,0.15974025974025974
binary,diabetes,hinge,0.5,0.45454545454545453,0.9,0.15974025974025974
binary,diabetes,hinge,0.7,0.45454545454545453,0.9,0.15974025974025974
binary,diabetes,hinge,1.0,0.45454545454545453,0.9,0.15974025974025974
binary,diabetes,margin,0.3,0.0,,
binary,diabetes,margin,0.5,0.0,,
binary,diabetes,margin,0.7,0.45454545454545453,0.9,0.15974025974025974
binary,diabetes,margin,1.0,0.45454545454545453,0.9,0.15974025974025974
