dataset,n_test,confidence,baseline_accuracy,accepted_accuracy,accuracy_delta,baseline_ece,accepted_ece,ece_delta,reject_rate,weight_variance_all,weight_variance_accepted
breast_cancer,114,0.95,0.956140350877193,0.963963963963964,0.007823613086771042,0.1850877192982456,0.18738738738738736,-0.0022996680891417542,0.02631578947368421,0.0029394891343527824,0.002319975514281718
colic,72,0.95,0.8333333333333334,0.9,0.06666666666666665,0.2387731481481482,0.2880000000000001,-0.04922685185185188,0.3055555555555556,0.005890733584532785,0.003369608256913702
creditA,138,0.95,0.8478260869565217,0.872,0.024173913043478268,0.3082125603864735,0.32946666666666663,-0.02125410628019314,0.09420289855072464,0.00884030765092256,0.008189264041797165
diabetes,154,0.95,0.7402597402597403,0.9,0.15974025974025974,0.11839826839826846,0.11071428571428571,0.007683982683982751,0.5454545454545454,0.01698267318294034,0.01709426132435459
german,191,0.95,0.6492146596858639,0.84,0.19078534031413608,0.4399650959860384,0.7414999999999999,-0.30153490401396155,0.7382198952879581,0.00291172093623955,0.0033130738797492658
haberman,57,0.95,0.6666666666666666,0.8125,0.14583333333333337,0.4504385964912281,0.6234375,-0.1729989035087719,0.7192982456140351,0.02250460025731459,0.012386912124215423
heartC,61,0.95,0.7704918032786885,0.9583333333333334,0.18784153005464488,0.3542349726775957,0.45972222222222214,-0.10548724954462646,0.6065573770491803,0.005391608607964915,0.003874994781676394
heartH,59,0.95,0.7966101694915254,0.8571428571428571,0.060532687651331685,0.46412429378531067,0.5267006802721088,-0.06257638648679814,0.1694915254237288,0.010184318250702078,0.008634922826003751
heartS,54,0.95,0.7407407407407407,0.7692307692307693,0.028490028490028574,0.26481481481481484,0.325,-0.060185185185185175,0.2777777777777778,0.019613162831947736,0.01569942655483294
hepati,31,0.95,0.9032258064516129,1.0,0.09677419354838712,0.6172043010752688,0.85,-0.23279569892473118,0.6774193548387096,0.006514515262713412,0.0004917010892983711
iono,70,0.95,0.9571428571428572,1.0,0.042857142857142816,0.5501190476190477,0.5341807909604519,0.01593825665859583,0.15714285714285714,0.0188995778517672,0.018455518379635882
je4042,54,0.95,0.7407407407407407,0.8,0.059259259259259345,0.4049382716049383,0.5569444444444444,-0.15200617283950607,0.4444444444444444,0.027311726505591213,0.04158574269121731
je4243,73,0.95,0.6164383561643836,0.6666666666666666,0.05022831050228305,0.27397260273972596,0.3821428571428571,-0.10817025440313116,0.7123287671232876,0.020723446089886348,0.033967552274712806
kc1,239,0.95,0.7656903765690377,0.8181818181818182,0.05249144161278052,0.49009762900976295,0.6637626262626262,-0.17366499725286322,0.7238493723849372,0.004565447945253302,0.0018081986706490862
kc2,74,0.95,0.7567567567567568,0.8292682926829268,0.07251153592616999,0.41813063063063066,0.5152439024390243,-0.09711327180839363,0.44594594594594594,0.004241041557863813,0.004087213925460188
kc3,65,0.95,0.8461538461538461,0.8888888888888888,0.042735042735042694,0.5337179487179489,0.5814814814814814,-0.04776353276353251,0.16923076923076924,0.003263282363702942,0.002682377233663605
liver,69,0.95,0.7101449275362319,0.9032258064516129,0.19308087891538095,0.221256038647343,0.30967741935483867,-0.08842138070749567,0.5507246376811594,0.02640920102459152,0.03015892511481014
pc1req,21,0.95,0.6190476190476191,1.0,0.38095238095238093,0.24563492063492068,0.5166666666666666,-0.27103174603174596,0.9047619047619048,0.01933769887112372,0.008768514513414913
pc4,269,0.95,0.8884758364312267,0.9523809523809523,0.06390511594972559,0.5081164807930607,0.5520562770562771,-0.043939796263216424,0.1412639405204461,0.0035659942444748872,0.0030112902983775417
sonar,42,0.95,0.8809523809523809,0.8846153846153846,0.00366300366300365,0.3628968253968254,0.398397435897436,-0.0355006105006106,0.38095238095238093,0.001499481395535715,0.0017189386644310856
spect,44,0.95,0.8863636363636364,0.92,0.033636363636363686,0.6903409090909091,0.7266666666666667,-0.03632575757575762,0.4318181818181818,0.007824575975131474,0.003637537857887156
spectf,54,0.95,0.7777777777777778,0.967741935483871,0.1899641577060932,0.6023148148148147,0.8516129032258064,-0.24929808841099166,0.42592592592592593,0.0010117435280238634,0.0008081891465307581
transfusion,101,0.95,0.7128712871287128,0.8,0.0871287128712872,0.16122112211221123,0.14600000000000005,0.015221122112211188,0.504950495049505,0.02333651978174338,0.01394065311747661
ttt,192,0.95,0.984375,1.0,0.015625,0.6396701388888889,0.6585573476702508,-0.018887208781361853,0.03125,0.0379872135675496,0.03729996369086076
vote,104,0.95,0.8461538461538461,0.9104477611940298,0.06429391504018367,0.1889423076923078,0.17462686567164193,0.01431544202066587,0.3557692307692308,0.020793144474464453,0.016017390264623337
wbc,93,0.95,0.9354838709677419,0.9354838709677419,0.0,0.18109318996415769,0.18109318996415769,0.0,0.0,0.024440616660653124,0.024440616660653124
balance,125,0.95,0.848,0.9351851851851852,0.08718518518518525,0.07720000000000003,0.07484567901234572,0.0023543209876543125,0.136,0.11317161834768177,0.10327570477747203
cars,346,0.95,0.9595375722543352,0.9727272727272728,0.013189700472937549,0.0727119460500964,0.06386363636363643,0.00884830968645997,0.046242774566473986,0.13696957397946377,0.13667503672287717
cmc,295,0.95,0.5152542372881356,0.7777777777777778,0.2625235404896422,0.1589260043942247,0.13496656378600824,0.023959440608216448,0.8169491525423729,0.019058323896842793,0.02056538436058679
cool,154,0.95,0.961038961038961,0.9733333333333334,0.012294372294372358,0.03106060606060626,0.03822222222222244,-0.007161616161616181,0.025974025974025976,0.016065400031790928,0.014871865092880292
ecoli,68,0.95,0.8823529411764706,0.9743589743589743,0.09200603318250378,0.07818627450980395,0.10940170940170936,-0.03121543489190541,0.4264705882352941,0.028555518749343835,0.02923252465054072
glass,43,0.95,0.7674418604651163,0.8823529411764706,0.11491108071135425,0.09069767441860464,0.20637254901960783,-0.11567487460100319,0.6046511627906976,0.015617595765852607,0.02068417133295019
heat,154,0.95,0.9935064935064936,0.9932885906040269,-0.00021790290246670452,0.04090909090909081,0.035738255033556945,0.005170835875533866,0.032467532467532464,0.028620879000433662,0.028301758695911474
image,462,0.95,0.9718614718614719,0.9800884955752213,0.008227023713749393,0.037445887445887394,0.03842182890855452,-0.0009759414626671278,0.021645021645021644,0.011706393566806736,0.01138966434769202
iris,30,0.95,0.9333333333333333,,,0.057499999999999996,,,1.0,0.035806883231767145,
steel,389,0.95,0.7634961439588689,0.9251101321585903,0.1616139881997214,0.09912167952013712,0.09794419970631432,0.001177479813822796,0.41645244215938304,0.005948409532646419,0.0048626670314801815
tae,31,0.95,0.41935483870967744,0.4444444444444444,0.025089605734766984,0.30349462365591395,0.48148148148148145,-0.1779868578255675,0.7096774193548387,0.020700467014693736,0.021766637387790787
