name,def_file,test_usages,src_usages,is_name_mangled,allow_list_candidate,reason,remediation_strategy
_plugin_manager,calibrated_explanations\core\calibrated_explainer.py,9,2,False,False,,Refactor to public API
_should_raise,calibrated_explanations\utils\deprecations.py,8,4,False,False,,Refactor to public API
_cmd_list,calibrated_explanations\plugins\cli.py,6,1,False,False,,Refactor to public API
_append_bins,calibrated_explanations\calibration\interval_regressor.py,5,1,False,False,,Refactor to public API
_bins_storage,calibrated_explanations\calibration\interval_regressor.py,5,11,False,False,,Refactor to public API
_validate_prediction_result,calibrated_explanations\core\prediction\orchestrator.py,5,1,False,False,,Refactor to public API
_explanation_plugin_instances,calibrated_explanations\plugins\manager.py,4,8,False,False,,Refactor to public API
_plot_proba_triangle,calibrated_explanations\legacy\plotting.py,4,2,False,True,Legacy component maintenance,Add to allow-list (temporary)
_register_builtins,calibrated_explanations\plugins\builtins.py,4,3,False,False,,Refactor to public API
_cmd_show,calibrated_explanations\plugins\cli.py,4,1,False,False,,Refactor to public API
_cmd_trust,calibrated_explanations\plugins\cli.py,4,2,False,False,,Refactor to public API
_read_plot_pyproject,calibrated_explanations\plotting.py,4,4,False,False,,Refactor to public API
_fast_interval_plugin_override,calibrated_explanations\plugins\manager.py,4,8,False,False,,Refactor to public API
_interval_plugin_override,calibrated_explanations\plugins\manager.py,4,8,False,False,,Refactor to public API
_bins_size,calibrated_explanations\calibration\interval_regressor.py,4,9,False,False,,Refactor to public API
_pre_fit_preprocess,calibrated_explanations\core\wrap_explainer.py,4,2,False,False,,Refactor to public API
_format_proba_output,calibrated_explanations\core\wrap_explainer.py,4,1,False,False,,Refactor to public API
_normalize_auto_encode_flag,calibrated_explanations\core\wrap_explainer.py,4,1,False,False,,Refactor to public API
_bridge_monitors,calibrated_explanations\core\calibrated_explainer.py,4,7,False,False,,Refactor to public API
_predict,calibrated_explanations\integrations\shap.py,3,6,False,False,,Refactor to public API
_y_cal_hat_size,calibrated_explanations\calibration\interval_regressor.py,3,3,False,False,,Refactor to public API
_append_calibration_buffer,calibrated_explanations\calibration\interval_regressor.py,3,3,False,False,,Refactor to public API
_serialise_preprocessor_value,calibrated_explanations\core\wrap_explainer.py,3,6,False,False,,Refactor to public API
_resolve_strategy,calibrated_explanations\parallel\parallel.py,3,1,False,False,,Refactor to public API
_build_uncertainty_payload,calibrated_explanations\explanations\explanation.py,3,7,False,False,,Refactor to public API
_build_condition_payload,calibrated_explanations\explanations\explanation.py,3,2,False,False,,Refactor to public API
_build_instance_uncertainty,calibrated_explanations\explanations\explanation.py,3,3,False,False,,Refactor to public API
_safe_feature_name,calibrated_explanations\explanations\explanation.py,3,3,False,False,,Refactor to public API
