rank,risk_score,length,args,branches,file,line,function
1,2601,1473,6,360,src/calibrated_explanations/viz/matplotlib_adapter.py,106,render
2,1190,682,2,164,src/calibrated_explanations/viz/matplotlib_adapter.py,529,_render_body
3,973,504,14,119,src/calibrated_explanations/plotting.py,985,plot_alternative
4,760,527,1,75,src/calibrated_explanations/core/explain/feature_task.py,117,feature_task
5,730,443,10,69,src/calibrated_explanations/core/explain/orchestrator.py,279,invoke
6,639,321,12,74,src/calibrated_explanations/core/narrative_generator.py,509,expand_template
7,587,294,16,55,src/calibrated_explanations/plotting.py,378,plot_probabilistic
8,566,253,20,51,src/calibrated_explanations/viz/builders.py,433,build_alternative_probabilistic_spec
9,552,414,3,38,src/calibrated_explanations/plugins/builtins.py,443,explain_batch
10,515,339,7,40,src/calibrated_explanations/core/explain/_legacy_explain.py,29,explain
11,515,307,8,48,src/calibrated_explanations/core/explain/_computation.py,320,explain_predict_step
12,497,286,2,65,src/calibrated_explanations/plugins/builtins.py,1221,build
13,454,194,19,36,src/calibrated_explanations/viz/builders.py,688,build_alternative_regression_spec
14,440,257,9,37,src/calibrated_explanations/core/narrative_generator.py,187,generate_narrative
15,439,278,4,43,src/calibrated_explanations/explanations/explanation.py,3085,add_conjunctions
16,434,276,4,42,src/calibrated_explanations/explanations/explanation.py,1931,add_conjunctions
17,427,163,21,32,src/calibrated_explanations/viz/builders.py,894,build_probabilistic_bars_spec
18,411,190,16,31,src/calibrated_explanations/plotting.py,675,plot_regression
19,409,247,12,22,src/calibrated_explanations/core/calibrated_explainer.py,74,__init__
20,405,277,4,32,src/calibrated_explanations/core/explain/_feature_filter.py,137,compute_filtered_features_to_ignore
21,391,220,9,33,src/calibrated_explanations/core/prediction/orchestrator.py,331,predict_impl
22,368,164,15,28,src/calibrated_explanations/viz/builders.py,253,build_regression_bars_spec
23,356,156,13,32,src/calibrated_explanations/legacy/plotting.py,86,_plot_probabilistic
24,338,148,11,34,src/calibrated_explanations/legacy/plotting.py,470,plot_alternative
25,318,185,2,39,src/calibrated_explanations/core/narrative_generator.py,554,build_lines
26,305,178,2,37,src/calibrated_explanations/core/explain/orchestrator.py,935,resolve_plugin
27,292,174,5,26,src/calibrated_explanations/legacy/plotting.py,621,plot_global
28,290,178,8,16,src/calibrated_explanations/viz/narrative_plugin.py,87,plot
29,287,117,13,22,src/calibrated_explanations/legacy/plotting.py,250,plot_regression
30,279,171,6,20,src/calibrated_explanations/core/calibrated_explainer.py,2483,predict_proba
31,279,170,2,31,src/calibrated_explanations/explanations/explanations.py,253,from_batch
32,278,191,3,21,src/calibrated_explanations/explanations/explanation.py,2212,plot
33,278,163,5,25,src/calibrated_explanations/plotting.py,1492,plot_global
34,273,189,3,20,src/calibrated_explanations/explanations/explanation.py,3369,plot
35,272,189,4,17,src/calibrated_explanations/core/explain/parallel_instance.py,141,execute
36,272,184,5,16,src/calibrated_explanations/core/calibrated_explainer.py,2298,predict
37,262,163,3,25,src/calibrated_explanations/explanations/explanation.py,1306,add_new_rule_condition
38,258,187,1,21,src/calibrated_explanations/plugins/registry.py,1539,load_entrypoint_plugins
39,258,162,3,24,src/calibrated_explanations/explanations/legacy_conjunctions.py,276,add_conjunctions_alternative_legacy
40,250,114,14,8,src/calibrated_explanations/core/explain/_shared.py,23,build_feature_tasks
41,249,163,4,18,src/calibrated_explanations/core/reject/orchestrator.py,94,_compute_prediction_set
42,241,145,3,24,src/calibrated_explanations/explanations/legacy_conjunctions.py,129,add_conjunctions_factual_legacy
43,238,123,11,9,src/calibrated_explanations/explanations/explanations.py,1128,plot
44,236,140,6,16,src/calibrated_explanations/parallel/parallel.py,293,map
45,233,120,4,27,src/calibrated_explanations/explanations/explanation.py,638,filter_rule_sizes
46,233,86,6,33,src/calibrated_explanations/explanations/explanation.py,2837,__filter_rules
47,228,127,7,15,src/calibrated_explanations/core/reject/orchestrator.py,434,_builtin_strategy
48,228,111,9,15,src/calibrated_explanations/core/discretizer_config.py,55,instantiate_discretizer
49,228,102,12,10,src/calibrated_explanations/plotting.py,868,plot_triangular
50,225,133,1,28,src/calibrated_explanations/viz/serializers.py,545,plotspec_from_dict
51,222,125,8,11,src/calibrated_explanations/explanations/explanation.py,1153,_predict_conjunctive
52,218,131,6,13,src/calibrated_explanations/core/explain/orchestrator.py,134,set_discretizer
53,217,101,1,36,src/calibrated_explanations/viz/serializers.py,300,global_plotspec_to_dict
