file,line,name,type,category,pattern,message
tests\conftest.py,145,_CalibratedExplainer__initialized,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\docs\contributor\test_plugin_advanced_contract.py,338,_resolve_plot_style_chain,function_call,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plotting.py
tests\docs\contributor\test_plugin_advanced_contract.py,369,_resolve_plot_style_chain,function_call,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plotting.py
tests\docs\contributor\test_plugin_advanced_contract.py,49,_resolve_plot_style_chain,function_call,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plotting.py
tests\docs\contributor\test_plugin_advanced_contract.py,89,_resolve_plot_style_chain,function_call,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plotting.py
tests\helpers\explainer_utils.py,23,_CalibratedExplainer__initialized,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\helpers\explainer_utils.py,275,_mode,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\helpers\explainer_utils.py,276,_thresholded,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\helpers\explainer_utils.py,278,_class_labels,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\helpers\explainer_utils.py,283,_explainer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in explanations\explanations.py
tests\helpers\explainer_utils.py,288,_explainer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in explanations\explanations.py
tests\helpers\explainer_utils.py,292,_mode,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\helpers\explainer_utils.py,296,_class_labels,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\helpers\explainer_utils.py,300,_thresholded,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in helpers\explainer_utils.py
tests\integration\core\test_plugin_resolution.py,139,_explanation_plugin_instances,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plugins\manager.py
tests\integration\plugins\test_explanation_plugin_integration.py,81,_context,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in viz\plugins.py
tests\integration\viz\test_plots_integration.py,96,_plot_proba_triangle,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in legacy\plotting.py
tests\integration\viz\test_plots_more.py,12,_plot_proba_triangle,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in legacy\plotting.py
tests\plugins\test_builtins_behaviour.py,659,_register_builtins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plugins\builtins.py
tests\plugins\test_builtins_behaviour.py,673,_register_builtins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plugins\builtins.py
tests\plugins\test_builtins_behaviour.py,136,_supports_calibrated_explainer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in plugins\builtins.py
